code,name,kind,open_qty_aug01,uom,vendor,ordered_on,due_on,at_gate_qty,lead_median_d,lead_p90_d,orders_sampled,typical_order_qty,row_type,credibility,po_num,po_age_days_at_aug01,lead_median_full_d,lead_source,min_order_qty_seen,canonical_code,warehouse,note
RM0CDRO,CRUDE CANOLA,OIL,824175.0,LTR,,2026-07-25,,0,,,0,,EXIM_CONTRACT,LIVE,,7,,NONE,,RM0CDRO,UKRAINE,EXIM item codes do not map to SAP item codes; not additive to SAP open POs without manual matching
RM0VO,VIRGIN OLIVE OIL,OIL,17582.4,LTR,,2026-07-31,,0,,,0,,EXIM_CONTRACT,LIVE,,1,,NONE,,RM0VO,AUSTRALIA,EXIM item codes do not map to SAP item codes; not additive to SAP open POs without manual matching
RM00RBR,RICE BRAN REFINED,OIL,4769.23,LTR,,2026-05-14,,0,,,0,,EXIM_CONTRACT,DUPLICATE_OF_SAP_PO,,79,,NONE,,RM00RBR,,EXIM item codes do not map to SAP item codes; not additive to SAP open POs without manual matching
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,47293403.26,LTR,CONCEPT COLOUR,2025-01-20,2025-01-20,0,13,22,137,45505.4,OPEN_PO,KEYING_ERROR_X1000,125226608,558,13,ITEM,656.04,RM0000025,BH-GJ,qty keyed x1000; ordered MTS vs received MTS ratio ~1000
RM0000001,LOOSE REFINED OLIVE OIL,OIL,47040777.13,LTR,VEE KAY ENTERPRISES,2025-04-21,2025-04-21,0,2.0,10,46,45802.2,OPEN_PO,KEYING_ERROR_X1000,425226634,467,2.0,ITEM,12890.1,RM0000001,BH-GJ,qty keyed x1000; ordered MTS vs received MTS ratio ~1000
RM0000001,LOOSE OIL POMACE,OIL,46700667.59,LTR,CONCEPT COLOUR,2025-02-18,2025-02-18,0,2.0,10,46,45802.2,OPEN_PO,KEYING_ERROR_X1000,225226584,529,2.0,ITEM,12890.1,RM0000001,BH-GJ,qty keyed x1000; ordered MTS vs received MTS ratio ~1000
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,GRAINCORP OILSEEDS PTY LTD,2024-11-21,2024-11-21,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,1124226705,618,20,ITEM,24175.8,RM0000016,BH-CRUDE,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,GRAINCORP OILSEEDS PTY LTD,2025-01-07,2025-01-07,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,125226695,571,20,ITEM,24175.8,RM0000016,BH-GJ,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,GRAINCORP OILSEEDS PTY LTD,2025-01-23,2025-01-23,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,125226696,555,20,ITEM,24175.8,RM0000016,BH-GJ,
RM0000048,RAPESEED REFINED LOOSE OIL,OIL,549450.0,LTR,EDIBLE OIL CO D LLC,2025-04-14,2025-04-14,0,11,25,0,,OPEN_PO,STALE_DEAD,425226657,474,,CLASS_FALLBACK,,RM0000048,BH-GJ,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,AL GHURAIR RESOURCES OILS & PROTIENS L L C,2025-07-29,2025-07-29,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,725226689,368,20,ITEM,24175.8,RM0000016,BH-GJ,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,AL GHURAIR RESOURCES OILS & PROTIENS L L C,2025-07-29,2025-07-29,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,725226690,368,20,ITEM,24175.8,RM0000016,BH-GJ,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,549450.0,LTR,GRAINCORP OILSEEDS PTY LTD,2025-12-01,2025-12-01,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,1225226674,243,20,ITEM,24175.8,RM0000016,BH-CRUDE,
PM0000851,PET BOTTLE 1 LTR 26 GM,BOTTLE,533466.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2026-07-15,2026-07-15,0,12,17,9,129255.0,OPEN_PO,LIVE,220726077,17,15,ITEM,11856.0,PM0000851,BH-PM,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,528120.35,LTR,GRAINCORP OILSEEDS PTY LTD,2026-01-01,2026-01-01,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,126226694,212,20,ITEM,24175.8,RM0000016,BH-GJ,
PM0000851,PET BOTTLE 1 LTR 26 GM,BOTTLE,451332.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2026-07-01,2026-07-01,0,12,17,9,129255.0,OPEN_PO,LIVE,220726021,31,15,ITEM,11856.0,PM0000851,BH-PM,
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,400000.0,PCS,THE LABEL STORE AFOPC8295E,2025-07-01,2025-07-01,0,6.5,10,8,200000.0,OPEN_PO,STALE_DEAD,725226501,396,8.0,ITEM,100000.0,PM0000020,BH-PM,
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,400000.0,PCS,THE LABEL STORE AFOPC8295E,2025-07-01,2025-07-01,0,6.5,10,8,200000.0,OPEN_PO,STALE_DEAD,725226501,396,8.0,ITEM,100000.0,PM0000019,BH-PM,
PM0000817,PREFORM 21/23 GMS,PREFORM,400000.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-03-05,2026-03-05,0,2,6,11,100000.0,OPEN_PO,STALE_DEAD,326226513,149,2,ITEM,5760.0,PM0000817,BH-PM,
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,356197.45,LTR,ALBA EDIBLE OILS PTY LTD,2025-12-31,2025-12-31,0,20,29,19,322137.0,OPEN_PO,STALE_DEAD,1225226667,213,20,ITEM,24175.8,RM0000016,BH-CRUDE,
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,329000.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-05-20,2026-05-20,0,4.0,17,16,100000.0,OPEN_PO,LIVE,220526084,73,11.0,ITEM,500.0,PM0000594,BH-PM,
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAP,300000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-04-15,2026-04-15,0,8,22,13,250000.0,OPEN_PO,STALE_DEAD,220426051,108,13,ITEM,100000.0,PM0000235,BH-BS,
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAP,300000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-04-15,2026-04-15,0,8,22,13,250000.0,OPEN_PO,STALE_DEAD,220426052,108,13,ITEM,100000.0,PM0000235,BH-BS,
RM0000009,REFINED SUNFLOWER OIL,OIL,274725.0,LTR,KUTCH CHEMICAL INDUSTRIES LIMITED,2025-01-23,2025-01-23,0,9.5,12,2,46087.9,OPEN_PO,STALE_DEAD,125226605,555,9.5,ITEM,45208.75,RM0000009,BH-GJ,
RM0000009,REFINED SUNFLOWER OIL,OIL,274725.0,LTR,KUTCH CHEMICAL INDUSTRIES LIMITED,2025-01-27,2025-01-27,0,9.5,12,2,46087.9,OPEN_PO,STALE_DEAD,125226637,551,9.5,ITEM,45208.75,RM0000009,BH-GJ,
