code,name,kind,uom,factory_qty,sap_qty,exim_tank_qty,chosen_qty,source,warehouses,at_zero,notes
PM0000003,CARTON 1 LTR POMACE 16 PCS,PACKAGING,PCS,5184,6384,,6384,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=5362; GP-NM=968; GP-FG=54,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -1200 = net movement ON 1 Aug | outside allow-list: BH-PP 5868.2075 (SAP-inactive, frozen (Daman: ignore)); BH-PC 2450.1725 (issued to production floor); BH-WST 756.5225 (wastage); BH-FG 55 (not counted)"
PM0000005,CARTON 1 LTR 12 POUCHES,PACKAGING,PCS,6582,9588,,9588,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=9563; GP-FG=25,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -3006 = net movement ON 1 Aug | outside allow-list: BH-PP 14328.01 (SAP-inactive, frozen (Daman: ignore)); BH-WST 4952.2167 (wastage); BH-PC 2455.2967 (issued to production floor); PB-ST 1040 (not counted)"
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,PACKAGING,PCS,9731,3023,,3023,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=2500; GP-NM=453; GP-PM=70,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 6708 = net movement ON 1 Aug | outside allow-list: BH-PP 4934.3 (SAP-inactive, frozen (Daman: ignore)); PB-ST 655 (not counted); BH-PC 654.6 (issued to production floor); BH-WST 471.8 (wastage)"
PM0000008,CARTON 15 LTR 1 PCS,PACKAGING,PCS,71,71,,71,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=71,no,"outside allow-list: BH-PP 729 (SAP-inactive, frozen (Daman: ignore)); PB-ST 335 (not counted); BH-PC 134 (issued to production floor); BH-WST 115 (wastage)"
PM0000009,CARTON 2 LTR 10 PCS,PACKAGING,PCS,3750,4000,,4000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=4000,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -250 = net movement ON 1 Aug | outside allow-list: BH-PP 963.3 (SAP-inactive, frozen (Daman: ignore)); BH-WST 238.9 (wastage); BH-PC 74 (issued to production floor); PB-JP 30 (not counted)"
PM0000013,CARTON 5 LTR 4 PCS,PACKAGING,PCS,2937,2937,,2937,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=2530; GP-NM=402; GP-FG=5,no,"outside allow-list: BH-PP 3524 (SAP-inactive, frozen (Daman: ignore)); BH-WST 1885.25 (wastage); BH-PC 1631 (issued to production floor); PB-ST 530 (not counted)"
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,PACKAGING,PCS,58199,58199,,58199,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=42500; GP-NM=15699,no,"outside allow-list: BH-PP 76181 (SAP-inactive, frozen (Daman: ignore)); BH-PC 55242 (issued to production floor); BH-WST 7773 (wastage)"
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,PACKAGING,PCS,80700,80700,,80700,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=55000; BH-NM=25700,no,outside allow-list: BH-PC 67484 (issued to production floor); BH-WST 5789 (wastage)
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,PACKAGING,PCS,80700,80700,,80700,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=55000; BH-NM=25700,no,outside allow-list: BH-PC 67732 (issued to production floor); BH-WST 7041 (wastage)
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,PACKAGING,PCS,270000,270000,,270000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=270000,no,"outside allow-list: BH-PP 114791 (SAP-inactive, frozen (Daman: ignore)); BH-WST 34394 (wastage); BH-PC 28571 (issued to production floor)"
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,PACKAGING,PCS,270000,270000,,270000,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=270000,no,"outside allow-list: BH-PP 124091 (SAP-inactive, frozen (Daman: ignore)); BH-WST 33904 (wastage); BH-PC 33062 (issued to production floor)"
PM0000022,LABEL 1 LTR PAKKI GHANI BACK,PACKAGING,PCS,51400,51400,,51400,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=41500; GP-NM=9300; BH-BS=600,no,"outside allow-list: BH-PP 20645 (SAP-inactive, frozen (Daman: ignore)); BH-WST 2485 (wastage); BH-PC 9 (issued to production floor)"
PM0000023,LABEL 1 LTR PAKKI GHANI FRONT,PACKAGING,PCS,41500,41500,,41500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=41500,no,"outside allow-list: BH-PP 32990 (SAP-inactive, frozen (Daman: ignore)); BH-WST 2399 (wastage)"
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,PACKAGING,PCS,794,794,,794,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=794,no,"outside allow-list: BH-PP 3636 (SAP-inactive, frozen (Daman: ignore)); BH-PC 3204 (issued to production floor); PB-ST 205 (not counted); BH-WST 107 (wastage)"
PM0000031,LABEL 15 LTR REFINED CANOLA,PACKAGING,PCS,803,803,,803,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=803,no,"outside allow-list: BH-PC 4023 (issued to production floor); BH-PP 2404 (SAP-inactive, frozen (Daman: ignore)); BH-WST 180 (wastage); PB-ST 150 (not counted)"
PM0000035,LABEL 2 LTR KACHCHI GHANI BACK,PACKAGING,PCS,22200,22200,,22200,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=22000; GP-NM=200,no,"outside allow-list: BH-PP 4622 (SAP-inactive, frozen (Daman: ignore)); BH-PC 4270 (issued to production floor); BH-WST 1868 (wastage)"
PM0000036,LABEL 2 LTR KACHCHI GHANI FRONT,PACKAGING,PCS,22090,22090,,22090,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=22000; GP-NM=90,no,"outside allow-list: BH-PC 7842 (issued to production floor); BH-WST 2266 (wastage); BH-PP 1081 (SAP-inactive, frozen (Daman: ignore))"
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,PACKAGING,PCS,19600,19600,,19600,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=10000; BH-BS=7500; GP-NM=2100,no,"outside allow-list: BH-PP 4078 (SAP-inactive, frozen (Daman: ignore)); BH-PC 1625 (issued to production floor); BH-WST 486 (wastage)"
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,PACKAGING,PCS,19700,19700,,19700,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=10000; BH-BS=9700,no,"outside allow-list: BH-PP 9028 (SAP-inactive, frozen (Daman: ignore)); BH-PC 1530 (issued to production floor); BH-WST 481 (wastage)"
PM0000046,LABEL 5 LTR COLD PRESS FRONT,PACKAGING,PCS,42058,37007,,37007,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=36950; GP-NM=57,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 5051 = net movement ON 1 Aug | outside allow-list: BH-PP 44784 (SAP-inactive, frozen (Daman: ignore)); BH-PC 28936 (issued to production floor); BH-WST 1615 (wastage); BH-PF 4 (not counted)"
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,PACKAGING,PCS,49905,44500,,44500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=44500,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 5405 = net movement ON 1 Aug | outside allow-list: BH-PP 16712 (SAP-inactive, frozen (Daman: ignore)); BH-PC 7180 (issued to production floor); BH-WST 3297 (wastage)"
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,PACKAGING,PCS,49204,44500,,44500,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-PM=44500,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 4704 = net movement ON 1 Aug | outside allow-list: BH-PP 14672 (SAP-inactive, frozen (Daman: ignore)); BH-PC 6786 (issued to production floor); BH-WST 3618 (wastage)"
PM0000053,HDPE BOTTLE 5 LTR,PACKAGING,PCS,2307,2307,,2307,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=1675; GP-NM=632,no,"outside allow-list: BH-PC 12679 (issued to production floor); BH-PP 9191 (SAP-inactive, frozen (Daman: ignore)); BH-WST 7081 (wastage); BH-PF 24 (not counted)"
PM0000057,PET BOTTLE 2 LTR 66 GMS,PACKAGING,PCS,14271,14271,,14271,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=14271,no,"outside allow-list: BH-PP 16613 (SAP-inactive, frozen (Daman: ignore)); BH-PC 4471 (issued to production floor); BH-WST 2229 (wastage)"
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PACKAGING,PCS,126975,60335,,60335,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=58790; GP-NM=1545,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 66640 = net movement ON 1 Aug | outside allow-list: BH-PC 17387 (issued to production floor); BH-WST 1068 (wastage); BH-PP 839 (SAP-inactive, frozen (Daman: ignore))"
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,PACKAGING,PCS,36000,33800,,33800,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=33800,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta 2200 = net movement ON 1 Aug | outside allow-list: BH-PP 126243 (SAP-inactive, frozen (Daman: ignore)); BH-PC 31378 (issued to production floor); BH-WST 1340 (wastage)"
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,PACKAGING,PCS,18000,30480,,30480,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),BH-BS=30000; GP-NM=480,no,"factory=end-of-1-Aug close; SAP=start-of-1-Aug open; delta -12480 = net movement ON 1 Aug | outside allow-list: BH-PP 108326 (SAP-inactive, frozen (Daman: ignore)); BH-WST 4315 (wastage); BH-PC 3550 (issued to production floor); PB-ST 25 (not counted)"
PM0000074,TAPE CELLO,PACKAGING,MTR,196806.6049,196806.6049,,196806.6049,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=99281.6; GP-FG=42875; BH-PM=41650; BH-SDL=13000; BH-NM=0.0049,no,"outside allow-list: BH-PP 396441.6271 (SAP-inactive, frozen (Daman: ignore)); BH-PC 77545.3969 (issued to production floor); BH-FG 8600 (not counted); PB-ST 4475 (not counted)"
PM0000075,TAPE LOGO PRINTED,PACKAGING,MTR,108050.0036,108050.0036,,108050.0036,SAP OINM rewind to start of 2026-08-01 (factory app agrees exactly at end-of-day),GP-NM=87500; BH-PM=14000.0028; GP-FG=6550; BH-NM=0.0008,no,"outside allow-list: BH-PP 682927.2596 (SAP-inactive, frozen (Daman: ignore)); BH-PC 479260.3282 (issued to production floor); PB-ST 13700 (not counted); BH-WST 6037.4506 (wastage)"
