code,name,uom,po_docnum,vendor,order_date,due_date,qty_ordered,qty_received_by_aug1,qty_open_aug1,days_late_vs_due
PM0000851,PET BOTTLE 1 LTR 26 GM,PCS,220726077,TPAC PACKAGING INDIA PVT LTD II,2026-07-15,2026-07-15,600000.000000,66534.000000,533466.000000,17
PM0000851,PET BOTTLE 1 LTR 26 GM,PCS,220726021,TPAC PACKAGING INDIA PVT LTD II,2026-07-01,2026-07-01,600000.000000,148668.000000,451332.000000,31
PM0000594,PREFORM 40 GMS 36 MM,PCS,220526084,FRYSTAL PET PRIVATE LIMITED,2026-05-20,2026-05-20,350000.000000,21000.000000,329000.000000,73
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,PCS,220726133,BABAJI UDYOG PVT. LTD.,2026-07-30,2026-07-30,252000.000000,0.000000,252000.000000,2
PM0000852,PREFORM 49.5 GMS 36 MM,PCS,220726016,FRYSTAL PET PRIVATE LIMITED,2026-07-04,2026-07-04,405600.000000,159000.000000,246600.000000,28
RM0000003,MUSTARD LOOSE OIL,LTR,220626079,AWL AGRI BUSINESS LIMITED,2026-06-12,2026-06-12,274725.000000,30501.068000,244223.932000,50
PM0000594,PREFORM 40 GMS 36 MM,PCS,220626038,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2026-06-06,2026-06-06,250000.000000,32000.000000,218000.000000,56
PM0000852,PREFORM 49.5 GMS 36 MM,PCS,220626038,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2026-06-06,2026-06-06,250000.000000,39063.000000,210937.000000,56
PM0000594,PREFORM 40 GMS 36 MM,PCS,220626039,FRYSTAL PET PRIVATE LIMITED,2026-06-06,2026-06-06,250000.000000,45600.000000,204400.000000,56
PM0000078,CAPS 5 LTR/15 LTR,PCS,220626145,BERICAP INDIA PRIVATE LIMITED,2026-06-25,2026-06-25,201600.000000,0.000000,201600.000000,37
RM0000025,SOYABEAN REFINED LOOSE OIL,LTR,220726068,AWL AGRI BUSINESS LIMITED,2026-07-10,2026-07-10,240312.947000,42637.320000,197675.627000,22
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,PCS,220726007,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-07-03,2026-10-15,158000.000000,0.000000,158000.000000,-75
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,PCS,220726007,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-07-03,2026-10-15,158000.000000,0.000000,158000.000000,-75
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,PCS,226226562,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-02-18,2026-02-28,144800.000000,0.000000,144800.000000,154
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,PCS,226226559,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-02-17,2026-02-28,144800.000000,0.000000,144800.000000,154
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,PCS,220726085,BABAJI UDYOG PVT. LTD.,2026-07-14,2026-07-14,400000.000000,261000.000000,139000.000000,18
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,PCS,220626015,BABAJI UDYOG PVT. LTD.,2026-06-03,2026-06-03,276000.000000,150000.000000,126000.000000,59
PM0000075,TAPE LOGO PRINTED,MTR,220726112,SHRI PATA ENTERPRISES,2026-07-25,2026-07-25,108240.000000,0.000000,108240.000000,7
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,PCS,220726085,BABAJI UDYOG PVT. LTD.,2026-07-14,2026-07-14,500000.000000,400000.000000,100000.000000,18
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,PCS,220626132,ZENBI INTERNATIONAL PRIVATE LIMITED,2026-06-23,2026-06-23,100000.000000,0.000000,100000.000000,39
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,PCS,220626132,ZENBI INTERNATIONAL PRIVATE LIMITED,2026-06-23,2026-06-23,100000.000000,0.000000,100000.000000,39
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PCS,220726073,PARAMBA POLYMER,2026-07-16,2026-07-16,100000.000000,0.000000,100000.000000,16
CG0000031,BARCODE LABELS,PCS,1225226530,BHAGWATI INDUSTRIES,2025-12-02,2025-12-10,95200.000000,0.000000,95200.000000,234
RM0000066,PEANUT OIL,LTR,220726110,DHANLAXMI EDIBLES PRIVATE LIMITED,2026-07-24,2026-07-24,92307.600000,0.000000,92307.600000,8
PM0000125,PET BOTTLE 500 MLS 34 GMS,PCS,220726021,TPAC PACKAGING INDIA PVT LTD II,2026-07-01,2026-07-01,100000.000000,12240.000000,87760.000000,31
PM0000851,PET BOTTLE 1 LTR 26 GM,PCS,220626022,BR AGROTECH LTD,2026-06-04,2026-06-04,200000.000000,114184.000000,85816.000000,58
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,PCS,220726085,BABAJI UDYOG PVT. LTD.,2026-07-14,2026-07-14,100000.000000,24000.000000,76000.000000,18
CF0000028,PEB SHED (DOCK EXTENSION),PCS,725226560,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2025-07-09,2025-07-30,67000.000000,0.000000,67000.000000,367
CF0000028,PEB SHED (DOCK EXTENSION),PCS,725226560,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2025-07-09,2025-07-30,67000.000000,0.000000,67000.000000,367
PM0000053,HDPE BOTTLE 5 LTR,PCS,220726036,RAJ TECHNOPACK PVT LTD,2026-07-09,2026-07-09,80000.000000,17675.000000,62325.000000,23
PM0000851,PET BOTTLE 1 LTR 26 GM,PCS,220626025,TPAC PACKAGING INDIA PVT LTD II,2026-06-04,2026-06-04,200000.000000,144924.000000,55076.000000,58
PM0000468,CAPS 5 LTR GREEN,PCS,220726036,RAJ TECHNOPACK PVT LTD,2026-07-09,2026-07-09,60000.000000,6450.000000,53550.000000,23
PM0000053,HDPE BOTTLE 5 LTR,PCS,220526115,AG POLY PACKS PVT LTD,2026-05-25,2026-05-25,50000.000000,216.000000,49784.000000,68
