code,name,uom,onhand_aug01,onhand_now,net_moved_since,required_august,cover_pct
RM0000003,MUSTARD LOOSE OIL,LTR,102917.3978,179325.6718,76408.274,1245959.23,8.26
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,PCS,530000.0,485000.0,-45000.0,938331.0,56.48
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,PCS,66300.0,57000.0,-9300.0,735000.0,9.02
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PCS,0.0,115872.0,115872.0,723500.0,0.0
PM0000852,PREFORM 49.5 GMS 36 MM,PCS,267473.0,239583.0,-27890.0,723500.0,36.97
RM0000001,LOOSE REFINED OLIVE OIL,LTR,67998.3407,48687.1207,-19311.22,675486.54,10.07
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,LTR,0.0,0.0,0.0,620254.9,0.0
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,15781.1356,1130.1356,-14651.0,578168.36,2.73
RM0000025,SOYABEAN REFINED LOOSE OIL,LTR,90166.97,122739.1931,32572.2231,550348.89,16.38
RM0000011,GROUNDNUT LOOSE OIL,LTR,3847.9758,203.9758,-3644.0,526259.69,0.73
PM0000851,PET BOTTLE 1 LTR 26 GM,PCS,29406.0,147797.0,118391.0,475831.0,6.18
PM0000194,PET BOTTLE 1 LTR 40 GMS,PCS,264.0,60734.0,60470.0,471000.0,0.06
PM0000594,PREFORM 40 GMS 36 MM,PCS,191122.0,607647.0,416525.0,471000.0,40.58
RM0000009,REFINED SUNFLOWER OIL,LTR,9931.45,8725.45,-1206.0,420000.0,2.36
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,PCS,155278.0,184840.0,29562.0,416000.0,37.33
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,PCS,94500.0,80817.0,-13683.0,380000.0,24.87
PM0000426,LABEL 1 LTR GROUNDNUT BACK,PCS,94500.0,80000.0,-14500.0,380000.0,24.87
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PCS,0.0,938.0,938.0,370000.0,0.0
PM0000817,PREFORM 21/23 GMS,PCS,254041.0,223488.0,-30553.0,370000.0,68.66
PM0000824,LABEL 1 LTR KACHI GHANI FULL,PCS,202000.0,547743.0,345743.0,370000.0,54.59
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,PCS,92190.0,198156.0,105966.0,270000.0,34.14
PM0000231,LABEL 1 LTR SUNFLOWER BACK,PCS,92600.0,188865.0,96265.0,270000.0,34.3
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,PCS,270000.0,384169.0,114169.0,220000.0,122.73
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,PCS,270000.0,380088.0,110088.0,220000.0,122.73
PM0000075,TAPE LOGO PRINTED,MTR,108050.0036,556958.3836,448908.38,215085.1,50.24
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,PCS,58199.0,188172.0,129973.0,195000.0,29.85
PM0000107,LABEL 1 LTR POMACE BACK,PCS,70000.0,119761.0,49761.0,160500.0,43.61
PM0000108,LABEL 1 LTR POMACE FRONT,PCS,70500.0,125168.0,54668.0,160500.0,43.93
PM0000053,HDPE BOTTLE 5 LTR,PCS,2307.0,30524.0,28217.0,145400.0,1.59
PM0000015,LABEL 1 LTR COLD PRESS FRONT,PCS,50000.0,190549.0,140549.0,135000.0,37.04
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PCS,60335.0,50460.0,-9875.0,132500.0,45.54
PM0000729,CAPS INNER PET BOTTLE 250 MLS,PCS,10000.0,13961.0,3961.0,108000.0,9.26
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,PCS,48475.0,25930.0,-22545.0,105000.0,46.17
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,PCS,48475.0,25930.0,-22545.0,105000.0,46.17
PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,PCS,0.0,31.0,31.0,104000.0,0.0
PM0000056,PET BOTTLE 100 MLS BOTTLES,PCS,0.0,2282.0,2282.0,100000.0,0.0
PM0000218,LABEL 100 ML PET BOTTLE  EXTRA LIGHT FRONT,PCS,14694.0,11836.0,-2858.0,100000.0,14.69
PM0000219,LABEL 100 ML PET BOTTLE  EXTRA LIGHT BACK,PCS,14388.0,11960.0,-2428.0,100000.0,14.39
PM0000078,CAPS 5 LTR/15 LTR,PCS,7942.0,68353.0,60411.0,89733.0,8.85
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,PCS,51002.0,102002.0,51000.0,86000.0,59.3
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,PCS,6000.0,113233.0,107233.0,85000.0,7.06
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,PCS,29100.0,135353.0,106253.0,85000.0,34.24
PM0000517,PET BOTTLE 1 LTR 75 GMS,PCS,3132.0,1553.0,-1579.0,75000.0,4.18
PM0000469,CAPS 5 LTR BROWN,PCS,0.0,7677.0,7677.0,74000.0,0.0
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,PCS,80700.0,226771.0,146071.0,71000.0,113.66
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,PCS,80700.0,223903.0,143203.0,71000.0,113.66
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PCS,12500.0,45169.35,32669.35,68200.0,18.33
RM0000007,RICE BRAN REFINED OIL,LTR,62374.5295,67309.6735,4935.144,67142.83,92.9
RM0000021,LOOSE OIL GOLD,LTR,1124.0,797.0,-327.0,63000.0,1.78
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,PCS,20000.0,21560.0,1560.0,62831.0,31.83
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,PCS,20000.0,22050.0,2050.0,62831.0,31.83
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),PCS,25920.0,37340.0,11420.0,60000.0,43.2
PM0000386,LABEL 1 LTR POMACE FRONT SANO,PCS,52500.0,42500.0,-10000.0,60000.0,87.5
PM0000385,LABEL 1 LTR POMACE BACK SANO,PCS,54012.0,42784.0,-11228.0,60000.0,90.02
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,PCS,66000.0,1505.0,-64495.0,60000.0,110.0
PM0000468,CAPS 5 LTR GREEN,PCS,5297.0,15588.0,10291.0,56867.0,9.31
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,PCS,44500.0,55497.0,10997.0,48000.0,92.71
