kind,code,name,uom,qty_aug01,planned_august,note
WIP,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PCS,22448,60000,WO 226926764 Released/standard posted=2026-02-23 due=2026-02-23 whs=BH-PF planned=22448 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,PCS,15720,100000,WO 225026552 Planned/standard posted=2025-02-11 due=2025-02-11 whs=BH-PF planned=15720 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,PCS,15480,370000,WO 126926601 Released/standard posted=2026-01-09 due=2026-01-09 whs=BH-PF planned=15480 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000032,COLD PRESS 1 LTR 20 PCS,PCS,14860,100000,WO 825926818 Planned/standard posted=2025-08-26 due=2025-08-26 whs=BH-PF planned=14860 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PCS,10000,220000,WO 625926818 Planned/standard posted=2025-06-28 due=2025-06-28 whs=BH-PF planned=10000 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000149,JIVO GOLD 1 LTR 20 PCS,PCS,9780,33000,WO 425926676 Planned/standard posted=2025-04-17 due=2025-04-17 whs=BH-PF planned=9780 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PCS,8400,220000,WO 1124026615 Planned/standard posted=2024-11-20 due=2024-11-20 whs=BH-PF planned=8400 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,PCS,8000,20000,WO 825926817 Planned/standard posted=2025-08-26 due=2025-08-26 whs=BH-PF planned=8000 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PCS,7232,380000,WO 126926722 Released/standard posted=2026-01-21 due=2026-01-21 whs=BH-PF planned=7232 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,PCS,7200,8000,WO 226926573 Released/standard posted=2026-02-04 due=2026-02-04 whs=BH-PF planned=7200 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000028,POMACE OLIVE 1 LTR 16 PCS,PCS,5760,160000,WO 726203046 closed-after-1Aug/standard posted=2026-07-31 due=2026-07-31 whs=BH-PF planned=5760 completed_by_1Aug=0 | BACKDATED-created 2026-08-01 so did NOT exist on 1-Aug; no output yet
WIP,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PCS,5680,60000,WO 426202921 Planned/standard posted=2026-04-30 due=2026-04-30 whs=BH-PF planned=5680 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000225,COFFEE 100 GMS 16 PCS,PCS,5000,,WO 226926664 Released/standard posted=2026-02-13 due=2026-02-13 whs=BH-PF planned=5000 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,PCS,4800,54600,WO 1225926596 Released/standard posted=2025-12-11 due=2025-12-11 whs=BH-PF planned=4800 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000004,COLD PRESS 5 LTR 4 PCS,PCS,4704,45000,WO 1125926550 Planned/standard posted=2025-11-08 due=2025-11-08 whs=BH-PF planned=4704 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PCS,4544,380000,WO 425926633 Released/standard posted=2025-04-14 due=2025-04-14 whs=BH-PF planned=4544 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,RM0000025,SOYABEAN REFINED LOOSE OIL,LTR,4026.788,,WO 726203047 closed-after-1Aug/special posted=2026-07-31 due=2026-07-31 whs=BH-LO planned=4026.788 completed_by_1Aug=0 | BACKDATED-created 2026-08-01 so did NOT exist on 1-Aug; no output yet
WIP,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,PCS,3536,21000,WO 825926768 Released/standard posted=2025-08-22 due=2025-08-22 whs=BH-PF planned=3536 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000169,REFINED COTTON SEED OIL 13 KGS,PCS,2217,700,WO 325026566 Released/standard posted=2025-03-08 due=2025-03-08 whs=BH-PF planned=2217 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,PCS,2151,1000,WO 825926682 Planned/standard posted=2025-08-17 due=2025-08-17 whs=BH-PF planned=2151 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PCS,2148,20000,WO 625926839 Planned/standard posted=2025-06-30 due=2025-06-30 whs=BH-PF planned=2148 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,PCS,2030,2000,WO 1225926580 Released/standard posted=2025-12-10 due=2025-12-10 whs=BH-PF planned=2030 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,PCS,1920,2000,WO 226926597 Planned/standard posted=2026-02-06 due=2026-02-06 whs=BH-PF planned=1920 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,PCS,1680,40000,WO 226926605 Released/standard posted=2026-02-07 due=2026-02-07 whs=BH-PF planned=1680 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,PCS,1416,,WO 225026669 Released/standard posted=2025-02-21 due=2025-02-21 whs=BH-PF planned=1416 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
