WHS	ITEMCODE	D	MV
BH-PF	FG0000142	2026-08-25	1024.000000
BH-PF	FG0000143	2026-08-26	352.000000
BH-BT	FG0000074	2026-08-26	-171.000000
BH-PF	FG0000074	2026-08-26	171.000000
BH-BT	FG0000088	2026-08-26	-460.000000
BH-PF	FG0000088	2026-08-26	460.000000
BH-BT	FG0000032	2026-08-26	-4400.000000
BH-PF	FG0000032	2026-08-26	800.000000
BH-PF	FG0000042	2026-08-26	4848.000000
BH-BT	FG0000011	2026-08-26	-5060.000000
BH-PF	FG0000306	2026-08-26	3600.000000
BH-PF	SF0000012	2026-08-18	4029.000000
BH-PF	SF0000013	2026-08-18	2304.000000
BH-PF	FG0000449	2026-08-26	3360.000000
BH-PF	FG0000030	2026-08-26	0.000000
BH-PF	SF0000013	2026-08-20	1651.000000
BH-PF	SF0000014	2026-08-20	1520.000000
BH-PF	FG0000128	2026-08-26	560.000000
BH-PF	FG0000021	2026-08-26	2580.000000
BH-PF	SF0000012	2026-08-26	-1.000000
BH-BT	FG0000142	2026-08-26	1776.000000
BH-BT	FG0000306	2026-08-26	-4100.000000
BH-BT	FG0000227	2026-08-26	-161.000000
BH-PF	FG0000299	2026-08-26	-9000.000000
BH-PF	FG0000374	2026-08-26	-1212.000000
BH-BT	FG0000081	2026-08-26	-1801.000000
BH-BT	FG0000150	2026-08-26	-800.000000
BH-BT	FG0000151	2026-08-26	1636.000000
BH-BT	FG0000008	2026-08-26	-40.000000
BH-BT	FG0000004	2026-08-26	6320.000000
BH-BT	FG0000030	2026-08-26	940.000000
BH-BT	FG0000053	2026-08-26	-1600.000000
BH-BT	FG0000136	2026-08-26	-2000.000000
BH-PF	FG0000142	2026-08-26	5936.000000
BH-PF	FG0000151	2026-08-26	-2036.000000
BH-BT	FG0000157	2026-08-26	-1.000000
BH-PF	FG0000320	2026-08-26	1504.000000
BH-PF	FG0000034	2026-08-26	0.000000
BH-PF	FG0000359	2026-08-26	-11340.000000
BH-BT	FG0000005	2026-08-26	-1.000000
BH-PF	FG0000297	2026-08-26	-41.000000
BH-PF	FG0000194	2026-08-26	-600.000000
BH-PF	FG0000316	2026-08-26	-58.000000
BH-PF	FG0000004	2026-08-26	-8000.000000
BH-BT	FG0000418	2026-08-26	-400.000000
BH-BT	FG0000226	2026-08-26	-20.000000
BH-PF	FG0000042	2026-08-27	2528.000000
BH-PF	FG0000320	2026-08-27	416.000000
BH-PF	FG0000143	2026-08-27	780.000000
BH-PF	FG0000328	2026-08-27	19.000000
BH-PF	FG0000367	2026-08-27	4.000000
BH-PF	FG0000142	2026-08-27	-5696.000000
BH-PF	FG0000151	2026-08-27	936.000000
BH-PF	FG0000043	2026-08-27	4950.000000
BH-BT	FG0000004	2026-08-27	-3.000000
BH-BT	FG0000011	2026-08-27	-42.000000
BH-PF	FG0000021	2026-08-27	3180.000000
BH-BT	FG0000193	2026-08-27	-4.000000
BH-BT	FG0000032	2026-08-27	-4.000000
BH-BT	FG0000081	2026-08-27	-1000.000000
BH-BT	FG0000053	2026-08-27	-40.000000
BH-BT	FG0000030	2026-08-27	-500.000000
BH-PF	FG0000275	2026-08-27	-439.000000
BH-PF	FG0000194	2026-08-27	-600.000000
BH-PF	FG0000178	2026-08-27	-5.000000
BH-PF	FG0000374	2026-08-27	-584.000000
BH-BT	FG0000374	2026-08-27	504.000000
BH-BT	FG0000038	2026-08-27	-1.000000
BH-BT	FG0000029	2026-08-27	-500.000000
BH-BT	FG0000012	2026-08-27	-200.000000
BH-BT	FG0000227	2026-08-27	-1.000000
BH-PF	FG0000299	2026-08-27	-4200.000000
BH-BT	FG0000306	2026-08-27	-20.000000
BH-BT	FG0000043	2026-08-27	-894.000000
BH-BT	FG0000005	2026-08-27	-894.000000
BH-PF	FG0000328	2026-08-29	-10.000000
BH-BT	FG0000185	2026-08-29	60.000000
BH-BT	FG0000183	2026-08-29	20.000000
BH-BT	FG0000033	2026-08-29	155.000000
BH-BT	FG0000070	2026-08-29	196.000000
BH-BT	FG0000047	2026-08-29	6.000000
BH-BT	FG0000405	2026-08-29	25.000000
BH-BT	FG0000054	2026-08-29	98.000000
BH-BT	FG0000146	2026-08-29	21.000000
BH-BT	FG0000145	2026-08-29	2.000000
BH-BT	FG0000423	2026-08-29	16.000000
BH-BT	FG0000377	2026-08-29	156.000000
BH-BT	FG0000305	2026-08-29	6.000000
BH-BT	FG0000422	2026-08-29	742.000000
BH-BT	FG0000014	2026-08-29	4706.000000
BH-BT	FG0000038	2026-08-29	-121.000000
BH-BT	FG0000031	2026-08-29	32.000000
BH-BT	FG0000029	2026-08-29	30.000000
BH-BT	FG0000012	2026-08-29	8.000000
BH-BT	FG0000307	2026-08-29	542.000000
BH-BT	FG0000013	2026-08-29	0.050000
BH-BT	FG0000020	2026-08-29	0.500000
BH-BT	FG0000227	2026-08-29	8.000000
BH-BT	FG0000134	2026-08-29	890.000000
BH-BT	FG0000136	2026-08-29	160.000000
BH-BT	FG0000243	2026-08-29	79.000000
BH-BT	FG0000242	2026-08-29	173.000000
BH-BT	FG0000193	2026-08-29	3.000000
BH-BT	FG0000188	2026-08-29	34.000000
BH-BT	FG0000004	2026-08-29	-1420.000000
BH-BT	FG0000032	2026-08-29	-11280.000000
BH-BT	FG0000042	2026-08-29	-162.000000
BH-BT	FG0000081	2026-08-29	-1500.000000
BH-BT	FG0000142	2026-08-29	-985.000000
BH-PF	FG0000142	2026-08-29	2640.000000
BH-PF	FG0000015	2026-08-29	-140.000000
BH-PF	FG0000299	2026-08-29	-1180.000000
BH-BT	FG0000150	2026-08-29	-400.000000
BH-BT	FG0000151	2026-08-29	-40.000000
BH-BT	FG0000005	2026-08-29	-368.000000
BH-BT	FG0000028	2026-08-29	-240.000000
BH-BT	FG0000008	2026-08-29	-20.000000
BH-BT	FG0000306	2026-08-29	-200.000000
BH-PF	FG0000151	2026-08-29	1540.000000
BH-PF	FG0000320	2026-08-29	320.000000
BH-PF	FG0000441	2026-08-29	-3990.000000
BH-PF	FG0000449	2026-08-29	-8120.000000
BH-PF	FG0000407	2026-08-29	-336.000000
BH-BT	FG0000407	2026-08-29	28980.000000
BH-PF	FG0000460	2026-08-29	1792.000000
BH-PF	FG0000030	2026-08-29	14320.000000
BH-BT	FG0000030	2026-08-29	5980.000000
BH-BT	FG0000374	2026-08-29	-128.000000
BH-PF	FG0000359	2026-08-29	-10008.000000
BH-BT	FG0000053	2026-08-29	-140.000000
BH-BT	FG0000143	2026-08-29	-120.000000
BH-BT	FG0000324	2026-08-29	-100.000000
BH-PF	FG0000028	2026-08-29	5472.000000
BH-PF	FG0000064	2026-08-29	0.000000
BH-PF	FG0000008	2026-08-29	-4160.000000
BH-BT	FG0000319	2026-08-29	-160.000000
BH-BT	FG0000009	2026-08-29	-20.000000
BH-BT	FG0000128	2026-08-29	-20.000000
BH-BT	FG0000011	2026-08-29	-20.000000
BH-BT	FG0000418	2026-08-29	-400.000000
BH-BT	FG0000228	2026-08-29	-32.000000
BH-BT	FG0000038	2026-08-30	-1.000000
BH-PF	FG0000032	2026-08-28	7780.000000
BH-PF	FG0000032	2026-08-30	-8580.000000
BH-BT	FG0000032	2026-08-30	8580.000000
BH-PF	FG0000004	2026-08-30	-4800.000000
BH-BT	FG0000004	2026-08-30	4800.000000
BH-PF	FG0000150	2026-06-01	0.000000
BH-PF	FG0000405	2026-06-01	10.000000
BH-PF	FG0000404	2026-06-01	21.000000
BH-PF	FG0000074	2026-06-01	764.000000
BH-PF	FG0000441	2026-06-01	0.000000
BH-PF	FG0000178	2026-06-01	0.000000
