DOCNUM	DOCDATE	WHS	ITEMNAME	QTY	SRC
626080117	2026-08-03	BH-PF	COLD PRESS SUNFLOWER OIL 15 LTR	110.000000	INVOICE
626080206	2026-08-08	BH-BT	COLD PRESS SUNFLOWER 1 LTR 20 PCS	40.000000	INVOICE
626080206	2026-08-08	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	28.000000	INVOICE
626080206	2026-08-08	BH-BT	REFINED OIL 15 LTR	20.000000	INVOICE
626080322	2026-08-11	BH-PF	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626080112	2026-08-03	BH-PF	SOYABEAN OIL 750 GMS 12 PCS POUCH	5400.000000	INVOICE
626080206	2026-08-08	BH-BT	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	120.000000	INVOICE
626080206	2026-08-08	BH-BT	SOYABEAN OIL 1 LTR POUCH 12 PCS	120.000000	INVOICE
626080113	2026-08-03	BH-BT	EXTRA LIGHT OLIVE 1 LTR 16 PCS	16.000000	INVOICE
626080322	2026-08-11	BH-PF	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1.000000	INVOICE
626080212	2026-08-08	BH-BT	COLD PRESS 5 LTR 4 PCS	28.000000	INVOICE
626080227	2026-08-10	BH-PF	REFINED OIL 15 LTR	1.000000	INVOICE
626080231	2026-08-10	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	2.000000	INVOICE
626080183	2026-08-06	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	1260.000000	INVOICE
626080183	2026-08-06	BH-BT	RICE BRAN OIL 1 LTR 16 PCS	480.000000	INVOICE
626080183	2026-08-06	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	200.000000	INVOICE
626080233	2026-08-10	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080228	2026-08-10	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	40.000000	INVOICE
626080241	2026-08-10	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS 26	7740.000000	INVOICE
626080242	2026-08-10	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	1.000000	INVOICE
626080164	2026-08-05	BH-BT	COLD PRESS 1 LTR 20 PCS	10.000000	INVOICE
