whs,code,name,grp,onhand_now,move,pcs,lpc,how,litres
BH-BT,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,102,2630.0,-5947.0,8577.0,5.0,ltr in name,42885.0
BH-BT,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,102,3617.0,-2970.0,6587.0,5.0,ltr in name,32935.0
BH-BT,FG0000032,COLD PRESS 1 LTR 20 PCS,102,12348.0,-17562.0,29910.0,1.0,ltr in name,29910.0
BH-BT,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,102,1876.0,-1824.0,3700.0,5.0,ltr in name,18500.0
BH-BT,FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,102,11485.0,2815.0,8670.0,2.0,combo 1+1 L,17340.0
BH-BT,FG0000028,POMACE OLIVE 1 LTR 16 PCS,102,31869.0,15881.0,15988.0,1.0,ltr in name,15988.0
BH-BT,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,102,12964.0,2748.0,10216.0,1.0,ltr in name,10216.0
BH-BT,FG0000226,RICE BRAN OIL 5 LTR 4 PCS,102,140.0,-1828.0,1968.0,5.0,ltr in name,9840.0
BH-BT,FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,102,2396.0,429.0,1967.0,5.0,ltr in name,9835.0
BH-BT,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,102,9307.0,3460.0,5847.0,1.0,ltr in name,5847.0
BH-BT,FG0000418,SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE,102,2891.0,-2405.0,5296.0,1.0,ltr in name,5296.0
BH-BT,FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,102,4715.0,160.0,4555.0,1.0,ltr in name,4555.0
BH-BT,FG0000408,COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS,102,3720.0,0.0,3720.0,1.0,ltr in name,3720.0
BH-BT,FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,102,159.0,-1440.0,1599.0,2.0,ltr in name,3198.0
BH-BT,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,102,4565.0,1483.0,3082.0,1.0,ltr in name,3082.0
BH-BT,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,102,5101.0,3577.0,1524.0,2.0,ltr in name,3048.0
BH-BT,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,102,1772.0,1253.0,519.0,5.0,ltr in name,2595.0
BH-BT,FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,102,492.0,0.0,492.0,5.0,ltr in name,2460.0
BH-BT,FG0000123,CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET,102,960.0,0.0,960.0,2.0,combo 1+1 L,1920.0
BH-BT,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,102,414.0,-1437.0,1851.0,1.0,ltr in name,1851.0
BH-BT,FG0000319,KIRPA DESI GHEE 500 MLS 16 PCS,102,2522.0,-375.0,2897.0,0.5,ml in name,1448.5
BH-BT,FG0000141,SANO SOYABEAN OIL 5 LTR 4 PCS,102,273.0,0.0,273.0,5.0,ltr in name,1365.0
BH-BT,FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,102,1042.0,60.0,982.0,1.0,ltr in name,982.0
BH-BT,FG0000045,POMACE OLIVE 500 MLS 24 PCS,102,1966.0,66.0,1900.0,0.5,ml in name,950.0
BH-BT,FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,102,601.0,424.0,177.0,5.0,ltr in name,885.0
BH-BT,FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,102,660.0,240.0,420.0,2.0,ltr in name,840.0
BH-BT,FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,102,859.0,20.0,839.0,1.0,ltr in name,839.0
BH-BT,FG0000148,MUSTARD OIL 1 LTR 20 PCS VEDAKA,102,659.0,0.0,659.0,1.0,ltr in name,659.0
BH-BT,FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,102,128.0,0.0,128.0,5.0,ltr in name,640.0
BH-BT,FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,102,29463.0,28900.0,563.0,1.0,ltr in name,563.0
BH-BT,FG0000349,EXTRA VIRGIN OLIVE 200 MLS 70 PCS,102,0.0,-2778.0,2778.0,0.2,ml in name,555.6
BH-BT,FG0000004,COLD PRESS 5 LTR 4 PCS,102,11776.0,11679.0,97.0,5.0,ltr in name,485.0
BH-BT,FG0000018,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED,102,58.0,0.0,58.0,6.0,combo 5+1 L,348.0
BH-BT,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,102,888.0,823.0,65.0,5.0,ltr in name,325.0
BH-BT,FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,102,1578.0,58.0,1520.0,0.2,ml in name,304.0
BH-BT,FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,102,0.0,-274.0,274.0,1.0,ltr in name,274.0
BH-BT,FG0000140,SANO SOYABEAN OIL 1 LTR 20 PCS,102,221.0,0.0,221.0,1.0,ltr in name,221.0
BH-BT,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,102,128.0,95.0,33.0,5.0,ltr in name,165.0
BH-BT,FG0000332,VEDAKA SUNFLOWER 5 LTR 4 PCS,102,32.0,0.0,32.0,5.0,ltr in name,160.0
BH-BT,FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,102,1246.0,1087.0,159.0,1.0,ltr in name,159.0
BH-BT,FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,102,1231.0,937.0,294.0,0.5,ml in name,147.0
BH-BT,FG0000002,COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS,102,20.0,0.0,20.0,6.0,combo 5+1 L,120.0
BH-BT,FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,102,2150.0,2090.0,60.0,2.0,ltr in name,120.0
BH-BT,FG0000069,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN,102,50.0,30.0,20.0,6.0,combo 5+1 L,120.0
BH-BT,FG0000222,JIVO DESI GHEE 500 MLS 16 PCS,102,216.0,0.0,216.0,0.5,ml in name,108.0
BH-BT,FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,102,109.0,12.0,97.0,1.0,ltr in name,97.0
BH-BT,FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,102,95.0,0.0,95.0,1.0,ltr in name,95.0
BH-BT,FG0000295,MUSTARD KACHI GHANI 4 LTR 5 PCS,102,21.0,0.0,21.0,4.0,ltr in name,84.0
BH-BT,FG0000372,POMACE OLIVE 3 LTR TIN 2 PCS,102,32.0,4.0,28.0,3.0,ltr in name,84.0
BH-BT,FG0000193,SOYABEAN OIL 1 LTR 20 PCS,102,71.0,-5.0,76.0,1.0,ltr in name,76.0
BH-BT,FG0000043,COLD PRESS 3 LTR 6 PCS,102,1518.0,1498.0,20.0,3.0,ltr in name,60.0
BH-BT,FG0000362,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,102,30.0,0.0,30.0,2.0,ltr in name,60.0
BH-BT,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,102,0.0,-58.0,58.0,1.0,ltr in name,58.0
BH-BT,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,102,6428.0,6371.0,57.0,1.0,ltr in name,57.0
BH-BT,FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,102,260.0,240.0,20.0,2.0,ltr in name,40.0
BH-BT,FG0000138,SANO SUNFLOWER OIL 1 LTR 20 PCS,102,33.0,0.0,33.0,1.0,ltr in name,33.0
BH-BT,FG0000320,YELLOW MUSTARD OIL 1 LTR 16 PCS,102,33.0,0.0,33.0,1.0,ltr in name,33.0
BH-BT,FG0000020,REFINED OIL 5 LTR,102,46.5,41.5,5.0,5.0,ltr in name,25.0
BH-BT,FG0000334,VEDAKA WOOD PRESSED PEANUT OIL 5 LTR 4 PCS,102,4.0,0.0,4.0,5.0,ltr in name,20.0
BH-BT,FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,102,380.0,376.0,4.0,5.0,ltr in name,20.0
BH-BT,FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,102,292.0,289.0,3.0,6.0,combo 5+1 L,18.0
BH-BT,FG0000312,VEDAKA POMACE 1 LTR 16 PCS,102,17.0,0.0,17.0,1.0,ltr in name,17.0
BH-BT,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,102,5163.0,5148.0,15.0,1.0,ltr in name,15.0
BH-BT,FG0000192,SOYABEAN OIL 5 LTR 4 PCS,102,417.0,414.0,3.0,5.0,ltr in name,15.0
BH-BT,FG0000417,COLD PRESS SUNFLOWER 5LTR 5 PCS,102,3.0,0.0,3.0,5.0,ltr in name,15.0
BH-BT,FG0000149,JIVO GOLD 1 LTR 20 PCS,102,14.0,0.0,14.0,1.0,ltr in name,14.0
BH-BT,FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,102,3958.0,3944.0,14.0,1.0,ltr in name,14.0
BH-BT,FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,102,7.0,-16.0,23.0,0.5,ml in name,11.5
BH-BT,FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,102,1232.0,1222.0,10.0,1.0,ltr in name,10.0
BH-BT,FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,102,1677.0,1667.0,10.0,1.0,ltr in name,10.0
BH-BT,FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,102,886.0,876.0,10.0,0.5,ml in name,5.0
BH-BT,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,102,0.0,-2.0,2.0,1.0,ltr in name,2.0
BH-BT,FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,102,117.0,116.0,1.0,1.0,ltr in name,1.0
BH-BT,FG0000003,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS,102,768.0,768.0,0.0,6.0,combo 5+1 L,0.0
BH-BT,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,102,36962.0,36962.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,102,1616.0,1616.0,0.0,5.0,ltr in name,0.0
BH-BT,FG0000013,REFINED OIL 1000 MLS,102,9.05,9.05,0.0,1.0,ml in name,0.0
BH-BT,FG0000014,MINIATURE OLIVE 100 MLS 24 PCS,102,4898.0,4898.0,0.0,0.1,ml in name,0.0
BH-BT,FG0000015,REFINED OIL 15 LTR,102,0.0,0.0,0.0,15.0,ltr in name,0.0
BH-BT,FG0000016,REFINED OIL 2 LTR,102,24.0,24.0,0.0,2.0,ltr in name,0.0
