WHS	ITEMCODE	ITEMNAME	GRP	PCS_CLOSE_0801
BH-PF	FG0000140	SANO SOYABEAN OIL 1 LTR 20 PCS	102	40.000000
BH-PF	FG0000092	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	102	0.000000
BH-PF	FG0000134	SANO CANOLA OIL 1 LTR 20 PCS	102	75.000000
BH-PF	FG0000035	COLD PRESS 500 MLS 24 PCS	102	984.000000
BH-PF	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	102	9260.000000
BH-PF	FG0000091	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	102	0.000000
BH-PF	FG0000175	COLD PRESS 1 LTR +1 LTR COMBO 12 SET	102	147.000000
BH-PF	FG0000069	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN	102	1.000000
BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	102	0.000000
BH-PF	FG0000105	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	102	265.000000
BH-PF	FG0000020	REFINED OIL 5 LTR	102	6.000000
BH-PF	FG0000137	SANO MUSTARD OIL 5 LTR 4 PCS	102	7.000000
BH-PF	FG0000268	COLD PRESS SUNFLOWER 5 LTR 2 PCS ( 1 SET )	102	0.500000
BH-BT	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	102	930.000000
BH-BT	FG0000021	REFINED OIL 1 LTR POUCH 12 PCS	102	60.000000
BH-BT	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	102	1528.000000
BH-BT	FG0000015	REFINED OIL 15 LTR	102	50.000000
BH-PF	FG0000454	COLD PRESS GROUNDNUT 500 MLS 24 PCS	102	576.000000
BH-PF	FG0000446	EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS	102	471.000000
BH-PF	FG0000242	SANO SUNFLOWER OIL 869 GMS 20 PCS	102	1.000000
BH-PF	FG0000456	COLD PRESS SUNFLOWER 1 LTR 20 PCS 26	102	0.000000
BH-BT	FG0000349	EXTRA VIRGIN OLIVE 200 MLS 70 PCS	102	2778.000000
BH-PF	FG0000399	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	102	0.000000
BH-PF	FG0000400	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	102	0.000000
BH-PF	FG0000396	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-PF	FG0000394	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-PF	FG0000395	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-PF	FG0000397	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	102	0.000000
BH-PF	FG0000398	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-PF	FG0000370	EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS	102	2.000000
BH-PF	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	102	0.000000
BH-PF	FG0000414	COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS	102	2.000000
BH-PF	FG0000417	COLD PRESS SUNFLOWER 5LTR 5 PCS	102	12.000000
BH-PF	FG0000352	SESAME OIL (TOASTED) 500 MLS 12 PCS	102	914.000000
BH-PF	FG0000381	EXTRA VIRGIN OLIVE OIL 10ML	102	0.000000
BH-PF	FG0000434	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET	102	152.000000
BH-PF	FG0000441	COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH	102	7820.000000
BH-PF	FG0000297	SOYABEAN OIL 13 KGS TIN IMPORTED PCS	102	0.000000
BH-PF	FG0000449	MUSTARD KACHI GHANI 200 ML 70 PCS	102	11270.000000
BH-PF	FG0000409	COLD PRESS GROUNDNUT OIL 200 MLS 70 PCS	102	175.000000
BH-PF	SF0000001	SOYABEAN OIL 13 KGS TIN IMP	115	1800.000000
BH-PF	FG0000264	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 2 PCS ( 1 SET )	102	12.000000
BH-PF	FB0000011	POMACE OLIVE OIL 1 + 1 LTR	102	160.000000
BH-PF	FG0000322	LE CHEF POMACE  1 LTR 16 PCS	102	432.000000
BH-PF	FG0000455	EXTRA VIRGIN OLIVE 3 LTR TIN 5 PCS	102	0.000000
BH-PF	FG0000141	SANO SOYABEAN OIL 5 LTR 4 PCS	102	11.000000
BH-PF	FG0000154	MUSTARD OIL 100 MLS 20 PCS(CSD)	102	1.000000
BH-PF	FG0000267	COLD PRESS SUNFLOWER 5 LTR 1 PCS ( 1 SET )	102	7.000000
BH-PF	FG0000295	MUSTARD KACHI GHANI 4 LTR 5 PCS	102	265.000000
BH-PF	FG0000039	EXTRA LIGHT OLIVE 500 MLS 24 PCS	102	11.000000
BH-PF	FG0000029	MUSTARD PAKKI GHANI 2 LTR 10 PCS	102	0.000000
BH-BT	FG0000395	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-BT	FG0000398	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-BT	FG0000396	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-BT	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	102	960.000000
BH-BT	FG0000082	DESI GHEE A2 500 MLS 16 PCS	102	0.000000
BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	102	1862.000000
BH-PF	FG0000318	KIRPA DESI GHEE 1 LTR 12 PCS	102	152.000000
BH-PF	FG0000319	KIRPA DESI GHEE 500 MLS 16 PCS	102	25.000000
BH-PF	FG0000070	COLD PRESS 2 LTR 10 PCS HANDLE	102	0.000000
BH-PF	FG0000114	POMACE OLIVE 2 LTR 10 PCS HANDLE	102	240.000000
BH-PF	FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	102	190.000000
BH-PF	FG0000023	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED	102	7.000000
BH-PF	FG0000145	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS	102	44.000000
BH-PF	FG0000191	SOYABEAN OIL 15 LTR	102	1.000000
BH-PF	FG0000193	SOYABEAN OIL 1 LTR 20 PCS	102	101.000000
BH-PF	FG0000157	EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS	102	505.000000
BH-PF	FG0000116	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	102	508.000000
BH-PF	FG0000228	SO OLIVE OIL 1 LTR 16 PCS	102	798.000000
BH-PF	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	102	13.000000
BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	403.000000
BH-PF	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	102	3176.000000
BH-PF	FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	102	2.000000
BH-PF	FG0000192	SOYABEAN OIL 5 LTR 4 PCS	102	39.000000
BH-PF	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	102	5.000000
BH-PF	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	102	0.000000
BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	102	469.000000
BH-PF	FG0000088	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	102	1330.000000
BH-PF	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	102	690.000000
BH-PF	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	102	108.000000
BH-PF	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	102	0.000000
BH-PF	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	102	848.000000
BH-PF	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	102	655.000000
BH-PF	FG0000320	YELLOW MUSTARD OIL 1 LTR 16 PCS	102	1.000000
BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	102	979.000000
BH-PF	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	102	108.000000
BH-PF	FG0000028	POMACE OLIVE 1 LTR 16 PCS	102	6264.000000
BH-PF	SF0000005	JIVO HONEY 500 GMS	115	1.000000
BH-BT	FG0000186	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS	102	128.000000
BH-BT	FG0000184	BB ROYAL CANOLA OIL 5 LTR 4 PCS	102	492.000000
BH-BT	FG0000362	LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE	102	30.000000
BH-BT	FG0000312	VEDAKA POMACE 1 LTR 16 PCS	102	17.000000
BH-BT	FG0000332	VEDAKA SUNFLOWER 5 LTR 4 PCS	102	32.000000
BH-BT	FG0000334	VEDAKA WOOD PRESSED PEANUT OIL 5 LTR 4 PCS	102	4.000000
BH-BT	FG0000344	JIVO PREMIUM OIL GIFT BOX	102	282.000000
BH-BT	FG0000002	COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS	102	20.000000
BH-BT	FG0000018	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED	102	58.000000
BH-BT	FG0000138	SANO SUNFLOWER OIL 1 LTR 20 PCS	102	33.000000
BH-BT	FG0000408	COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS	102	3720.000000
BH-BT	FG0000443	FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS	102	95.000000
BH-BT	FG0000320	YELLOW MUSTARD OIL 1 LTR 16 PCS	102	33.000000
BH-BT	FG0000141	SANO SOYABEAN OIL 5 LTR 4 PCS	102	273.000000
BH-BT	FG0000417	COLD PRESS SUNFLOWER 5LTR 5 PCS	102	3.000000
BH-BT	FG0000140	SANO SOYABEAN OIL 1 LTR 20 PCS	102	221.000000
BH-BT	FG0000295	MUSTARD KACHI GHANI 4 LTR 5 PCS	102	21.000000
BH-BT	FG0000148	MUSTARD OIL 1 LTR 20 PCS VEDAKA	102	659.000000
BH-BT	FG0000222	JIVO DESI GHEE 500 MLS 16 PCS	102	216.000000
BH-BT	FG0000024	COLD PRESS 1 LTR 24 PCS	102	54.000000
BH-BT	FG0000232	SO OLIVE OIL 5 LTR 4 PCS	102	128.000000
BH-BT	FG0000282	EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS	102	1578.000000
BH-BT	FG0000069	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN	102	50.000000
BH-BT	FG0000133	COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE	102	39.000000
BH-BT	FG0000370	EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS	102	79.000000
BH-BT	FG0000441	COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH	102	2890.000000
BH-BT	FG0000372	POMACE OLIVE 3 LTR TIN 2 PCS	102	32.000000
BH-BT	FG0000255	DESI GHEE 1000 MLS 12 PCS	102	0.000000
BH-BT	FG0000271	DESI GHEE 1000 MLS 9 PCS STEELJAR	102	0.000000
BH-BT	FG0000318	KIRPA DESI GHEE 1 LTR 12 PCS	102	1.000000
BH-PF	FG0000104	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	102	0.000000
BH-BT	FG0000116	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	102	2.000000
BH-BT	FG0000114	POMACE OLIVE 2 LTR 10 PCS HANDLE	102	20.000000
BH-BT	FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	102	520.000000
BH-PF	FG0000016	REFINED OIL 2 LTR	102	2.000000
BH-PF	FG0000054	COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	13.000000
BH-PF	FG0000085	COLD PRESS SOYABEAN 5 LTR 4 PCS	102	2.000000
BH-PF	FG0000149	JIVO GOLD 1 LTR 20 PCS	102	5.000000
BH-PF	FG0000189	ZANO POMACE OLIVE 1 LTR 16 PCS	102	3.000000
BH-PF	FG0000305	JAITOON OIL 5 LTR 4 PCS	102	1.000000
BH-PF	FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	102	2.000000
BH-BT	FG0000454	COLD PRESS GROUNDNUT 500 MLS 24 PCS	102	0.000000
BH-PF	FG0000402	COLD PRESS GROUNDNUT OIL 200 LTR 1 PCS	102	5.000000
BH-BT	FG0000389	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	102	18.000000
BH-PF	FG0000324	SESAME OIL 1 LTR 20 PCS	102	455.000000
BH-BT	FG0000322	LE CHEF POMACE  1 LTR 16 PCS	102	0.000000
BH-BT	FG0000003	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS	102	0.000000
BH-BT	FG0000348	RICE BRAN OIL 4 LTR 5 PCS	102	0.000000
BH-BT	FG0000189	ZANO POMACE OLIVE 1 LTR 16 PCS	102	10.000000
BH-BT	FG0000187	ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS	102	10.000000
BH-BT	FG0000352	SESAME OIL (TOASTED) 500 MLS 12 PCS	102	10.000000
BH-PF	FG0000389	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	102	5167.000000
BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	102	11.000000
BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	102	1789.000000
BH-PF	FG0000383	REFINED OIL 13 KG	102	5.000000
BH-PF	FG0000013	REFINED OIL 1000 MLS	102	1.000000
BH-BT	FG0000083	DESI GHEE A2 1 LTR 9 PCS	102	0.000000
BH-PF	FG0000133	COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE	102	1.000000
BH-PF	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	102	5440.000000
BH-PF	FG0000226	RICE BRAN OIL 5 LTR 4 PCS	102	239.000000
BH-PF	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	102	632.000000
BH-BT	FG0000381	EXTRA VIRGIN OLIVE OIL 10ML	102	0.000000
BH-PF	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	102	2312.000000
BH-BT	FG0000035	COLD PRESS 500 MLS 24 PCS	102	0.000000
BH-BT	FG0000039	EXTRA LIGHT OLIVE 500 MLS 24 PCS	102	343.000000
BH-PF	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	102	968.000000
BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	102	0.000000
BH-PF	FG0000349	EXTRA VIRGIN OLIVE 200 MLS 70 PCS	102	0.000000
BH-PF	FG0000404	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	0.000000
BH-BT	FG0000404	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	0.000000
