WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-BT	FG0000002	COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS	102	20.000000	0.000000	20.000000
BH-BT	FG0000003	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS	102	768.000000	768.000000	0.000000
BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	102	11776.000000	11679.000000	97.000000
BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	36962.000000	36962.000000	0.000000
BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	102	888.000000	823.000000	65.000000
BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	102	2396.000000	429.000000	1967.000000
BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	102	2630.000000	-5947.000000	8577.000000
BH-BT	FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	102	1616.000000	1616.000000	0.000000
BH-BT	FG0000013	REFINED OIL 1000 MLS	102	9.050000	9.050000	0.000000
BH-BT	FG0000014	MINIATURE OLIVE 100 MLS 24 PCS	102	4898.000000	4898.000000	0.000000
BH-BT	FG0000015	REFINED OIL 15 LTR	102	0.000000	0.000000	0.000000
BH-BT	FG0000016	REFINED OIL 2 LTR	102	24.000000	24.000000	0.000000
BH-BT	FG0000018	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED	102	58.000000	0.000000	58.000000
BH-BT	FG0000020	REFINED OIL 5 LTR	102	46.500000	41.500000	5.000000
BH-BT	FG0000021	REFINED OIL 1 LTR POUCH 12 PCS	102	0.000000	-58.000000	58.000000
BH-BT	FG0000023	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED	102	292.000000	289.000000	3.000000
BH-BT	FG0000024	COLD PRESS 1 LTR 24 PCS	102	54.000000	54.000000	0.000000
BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	102	31869.000000	15881.000000	15988.000000
BH-BT	FG0000029	MUSTARD PAKKI GHANI 2 LTR 10 PCS	102	2150.000000	2090.000000	60.000000
BH-BT	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	102	6428.000000	6371.000000	57.000000
BH-BT	FG0000031	MUSTARD PAKKI GHANI 1 LTR 20 PCS	102	15812.000000	15812.000000	0.000000
BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	102	12348.000000	-17562.000000	29910.000000
BH-BT	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	102	11485.000000	2815.000000	8670.000000
BH-BT	FG0000035	COLD PRESS 500 MLS 24 PCS	102	984.000000	984.000000	0.000000
BH-BT	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	102	5101.000000	3577.000000	1524.000000
BH-BT	FG0000039	EXTRA LIGHT OLIVE 500 MLS 24 PCS	102	1231.000000	937.000000	294.000000
BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	102	414.000000	-1437.000000	1851.000000
BH-BT	FG0000043	COLD PRESS 3 LTR 6 PCS	102	1518.000000	1498.000000	20.000000
BH-BT	FG0000045	POMACE OLIVE 500 MLS 24 PCS	102	1966.000000	66.000000	1900.000000
BH-BT	FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	102	48.000000	48.000000	0.000000
