WHS	ITEMNAME	PCS
GP-FG	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	1.000000
GP-FG	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	3.000000
GP-FG	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	15.000000
GP-FG	ILAHI EXTRA VIRGIN OLIVE 1 LTR 12 PCS	156.000000
GP-FG	COLD PRESS SUNFLOWER 1 LTR 24 PCS	16.000000
GP-FG	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED	334.000000
GP-FG	ZANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	34.000000
GP-FG	SANO CANOLA OIL 1 LTR 20 PCS	890.000000
GP-FG	REFINED OIL 2 LTR	168.000000
GP-FG	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	40.000000
GP-FG	LE CHEF POMACE  1 LTR 16 PCS	3088.000000
GP-FG	ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS	1222.000000
GP-FG	POMACE OLIVE 1 LTR 16 PCS HANNA	542.000000
GP-FG	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS	60.000000
GP-FG	BB ROYAL CANOLA OIL 1 LTR 20 PCS	20.000000
GP-FG	SOYABEAN OIL 1 LTR 20 PCS	3.000000
GP-FG	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED PLAIN	14.000000
GP-FG	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	5.000000
GP-FG	SOYABEAN OIL 13 KGS TIN IMPORTED PCS	95.000000
GP-FG	COLD PRESS 2 LTR 10 PCS HANDLE	56.000000
GP-FG	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED	21.000000
GP-FG	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS	6.000000
GP-FG	MINIATURE OLIVE 100 MLS 24 PCS	4706.000000
GP-FG	MUSTARD KACCHI GHANI 2 LTR 10 PCS	929.000000
GP-FG	SANO MUSTARD OIL 1 LTR 20 PCS	160.000000
GP-FG	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS	885.000000
GP-FG	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	18.000000
GP-FG	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	155.000000
GP-FG	COLD PRESS 5 LTR 4 PCS	3067.000000
GP-FG	SANO SOYABEAN OIL 850 GMS POUCH 12 PCS	120.000000
GP-FG	EXTRA VIRGIN COCONUT OIL 15 LTR	34.000000
GP-FG	POMACE OLIVE 200 LTR 1 PCS	2.000000
GP-FG	SOYABEAN OIL 770 GMS POUCH 12 PCS	39.000000
GP-FG	SOYABEAN OIL 15 KGS	16.000000
GP-FG	SESAME OIL (TOASTED) 500 MLS 12 PCS	11.000000
GP-FG	SOYABEAN OIL 13 KGS TIN IMP	200.000000
GP-FG	REFINED COTTON SEED OIL 13 KGS	3.000000
GP-FG	COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS	2.000000
GP-FG	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	8.000000
GP-FG	MUSTARD OIL 100 MLS 20 PCS(CSD)	12.000000
GP-FG	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	97.000000
GP-FG	RICE BRAN OIL 4 LTR 5 PCS	634.000000
GP-FG	ZANO POMACE OLIVE 1 LTR 16 PCS	1667.000000
GP-FG	SOYABEAN OIL 15 KGS TIN IMP	12300.000000
GP-FG	SOYABEAN OIL 13 KGS (B)	14.000000
GP-FG	EXTRA VIRGIN OLIVE 250 MLS 4 PCS	4.000000
GP-FG	SOYABEAN OIL 15 KGS TIN IMP PCS	3642.000000
GP-FG	SOYABEAN OIL 1 LTR POUCH 12 PCS	87.000000
GP-FG	MUSTARD KACHI GHANI 15 KGS	108.000000
GP-FG	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	46.000000
GP-FG	COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS	98.000000
GP-FG	JAITOON OIL 5 LTR 4 PCS	6.000000
GP-FG	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	742.000000
GP-FG	MUSTARD PAKKI GHANI 1 LTR 20 PCS	32.000000
GP-FG	MUSTARD PAKKI GHANI 2 LTR 10 PCS	30.000000
GP-FG	MUSTARD PAKKI GHANI 5 LTR 4 PCS	8.000000
GP-FG	REFINED OIL 1000 MLS	86.050000
GP-FG	REFINED OIL 5 LTR	78.500000
GP-FG	SANO MUSTARD OIL 869 GMS 20 PCS	79.000000
GP-FG	SANO SUNFLOWER OIL 869 GMS 20 PCS	173.000000
GP-FG	REFINED OIL 1 LTR POUCH 12 PCS	983.000000
GP-FG	SOYABEAN OIL 700 GMS POUCH 12 PCS	590.000000
GP-FG	REFINED OIL 15 LTR	1.000000
GP-FG	RICE BRAN OIL 1 LTR 16 PCS	8.000000
GP-FG	SOYABEAN OIL 750 GMS 12 PCS POUCH	155.000000
