DOCNUM	DOCDATE	CARDCODE	CARDNAME	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626070438	2026-07-20	CUSTA000981	AGGARWAL AGENCIES	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	6000.000000	INVOICE
626070592	2026-07-28	CUSTA001086	SEA BREEZE	BH-PF	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	120.000000	INVOICE
626070561	2026-07-27	CUSTA000606	JIVO MART PVT LTD	BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	2400.000000	INVOICE
626070253	2026-07-04	CUSTA000979	SAGAR TRADERS	BH-PF	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	187.000000	INVOICE
626070254	2026-07-06	CUSTA000385	VDH ORGANIC P LTD	BH-PF	FG0000130	COLD PRESS SUNFLOWER 200 LTR 1 PCS	15.000000	INVOICE
626070754	2026-07-31	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	40.000000	INVOICE
626070730	2026-07-31	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	1120.000000	INVOICE
626070453	2026-07-22	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	4000.000000	INVOICE
626070445	2026-07-21	CUSTA000105	RAJ MATA TRADERS LAXMI NAGAR	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	2800.000000	INVOICE
626070446	2026-07-21	CUSTA000105	RAJ MATA TRADERS LAXMI NAGAR	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	2400.000000	INVOICE
626070491	2026-07-23	CUSTA000352	AT OVERSEAS	BH-PF	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	190.000000	INVOICE
626070480	2026-07-23	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	200.000000	INVOICE
626070496	2026-07-23	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	116.000000	INVOICE
626070481	2026-07-23	CUSTA001134	M/S SR PICKLES LLP	BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	130.000000	INVOICE
626070773	2026-07-31	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H	BH-PF	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	12000.000000	INVOICE
626070773	2026-07-31	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	12000.000000	INVOICE
626070773	2026-07-31	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	1200.000000	INVOICE
626070454	2026-07-22	CUSTA001073	NORTHERN NATURALS PRIVATE LIMITED	BH-PF	FG0000328	SANO POMACE OLIVE 200 LTR 1 PCS	10.000000	INVOICE
626070362	2026-07-14	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	5988.000000	INVOICE
626070730	2026-07-31	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	1000.000000	INVOICE
626060397	2026-06-19	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	500.000000	INVOICE
626060398	2026-06-19	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	500.000000	INVOICE
626070364	2026-07-14	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	12.000000	INVOICE
626070790	2026-07-31	CUSTA000872	SAI TRADERS LUDHIANA	BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	300.000000	INVOICE
626060471	2026-06-26	CUSTA001109	SAI TRADING COMPANY	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	6000.000000	INVOICE
626070733	2026-07-31	CUSTA000872	SAI TRADERS LUDHIANA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1600.000000	INVOICE
626070730	2026-07-31	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	50.000000	INVOICE
626070349	2026-07-13	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	3000.000000	INVOICE
626070730	2026-07-31	CUSTA000365	RAJESHWAR KISHORE MAHENDERPAL	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	30.000000	INVOICE
626060271	2026-06-11	CUSTA000986	ONENESS TRADERS	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	3000.000000	INVOICE
626070736	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000015	REFINED OIL 15 LTR	200.000000	INVOICE
626070458	2026-07-22	CUSTA000986	ONENESS TRADERS	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	12000.000000	INVOICE
626070329	2026-07-10	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	5976.000000	INVOICE
626070351	2026-07-13	CUSTA000916	SURAJ BHAN SUNIL KUMAR & SONS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	6000.000000	INVOICE
626070426	2026-07-17	CUSTA001028	JINDAL BROTHERS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	7200.000000	INVOICE
626060338	2026-06-15	CUSTA000981	AGGARWAL AGENCIES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	3600.000000	INVOICE
626070327	2026-07-10	CUSTA000926	RAJEEV TRADING COMPANY	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1800.000000	INVOICE
626070327	2026-07-10	CUSTA000926	RAJEEV TRADING COMPANY	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	350.000000	INVOICE
626060297	2026-06-12	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	9600.000000	INVOICE
626060348	2026-06-16	CUSTA000116	HARINDER SINGH & SONS	BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	258.000000	INVOICE
626060344	2026-06-16	CUSTA000116	HARINDER SINGH & SONS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1200.000000	INVOICE
626060337	2026-06-15	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1788.000000	INVOICE
626060418	2026-06-22	CUSTA001041	HIMJYOTI TRADERS	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	600.000000	INVOICE
626070346	2026-07-13	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	6000.000000	INVOICE
626060238	2026-06-09	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000383	REFINED OIL 13 KG	100.000000	INVOICE
626060238	2026-06-09	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000015	REFINED OIL 15 LTR	50.000000	INVOICE
626070594	2026-07-28	CUSTA001086	SEA BREEZE	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	40.000000	INVOICE
626070450	2026-07-21	CUSTA001032	M/S OM PARKASH MAHAJAN AND CO.	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	250.000000	INVOICE
626060382	2026-06-17	CUSTA001070	SAKSHI SALES	BH-PF	FG0000015	REFINED OIL 15 LTR	50.000000	INVOICE
626060314	2026-06-15	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	100.000000	INVOICE
626060314	2026-06-15	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	475.000000	INVOICE
626060314	2026-06-15	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	3588.000000	INVOICE
626060311	2026-06-13	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	30.000000	INVOICE
626070410	2026-07-16	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	4800.000000	INVOICE
626070678	2026-07-30	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626060311	2026-06-13	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	840.000000	INVOICE
626070559	2026-07-27	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000015	REFINED OIL 15 LTR	200.000000	INVOICE
626070621	2026-07-29	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	200.000000	INVOICE
626070634	2026-07-29	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	20.000000	INVOICE
626070733	2026-07-31	CUSTA000872	SAI TRADERS LUDHIANA	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	200.000000	INVOICE
