WHS	ITEMCODE	ITEMNAME	ONHAND
BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	9160.000000
BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	11776.000000
BH-PF	FG0000032	COLD PRESS 1 LTR 20 PCS	0.000000
BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	12348.000000
BH-BT	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	5101.000000
BH-PF	FG0000068	CANOLA GOLD 15 LTR	0.000000
BH-PF	FG0000190	SLICED OXIDIZED BLACK OLIVES 3 KGS 6 PCS	0.000000
BH-PF	FG0000063	COLD PRESS 1 LTR +1 LTR COMBO 10 SET + 125 GMS CHOCOS SHRINKED	0.000000
BH-PF	FG0000122	CANOLA OIL 1 LTR 24 PCS	0.000000
BH-PF	FG0000124	CANOLA OIL 5 LTR + OLIVE 1 LTR 3 PCS SHRINKED	0.000000
BH-PF	FG0000072	MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 1 SET	0.000000
BH-PF	FG0000126	CANOLA OIL 5 LTR 5 PCS + EXTRA LIGHT OLIVE 500 MLS	0.000000
BH-PF	FG0000056	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 1 PCS SHRINKED	0.000000
BH-PF	FG0000052	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 500 MLS 3 PCS SHRINKED	0.000000
BH-PF	FG0000129	COLD PRESS 3 LTR 4 PCS PLAIN	0.000000
BH-PF	FG0000058	COLD PRESS 5 LTR 5 PCS	0.000000
BH-PF	FG0000107	COLD PRESS 5 LTR 5 PCS + 100 GMS COFFEE	0.000000
BH-PF	FG0000115	COLD PRESS 5 LTR 5 PCS + CASSROLE	0.000000
BH-PF	FG0000077	COLD PRESS 1 LTR 1 PCS	0.000000
BH-PF	FG0000059	COLD PRESS SUNFLOWER 5 LTR 1 PCS	0.000000
BH-PF	FG0000050	COLD PRESS 5 LTR 3 PCS + ORGANIC RICE 1 KGS SHRINKED	0.000000
BH-PF	FG0000040	EXTRA LIGHT OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-PF	FG0000076	EXTRA LIGHT OLIVE 1 LTR 1 PCS	0.000000
BH-PF	FG0000079	EXTRA LIGHT OLIVE 1 LTR 1 PCS + MUSTARD KACHI GHANI 1 LTR 1 PCS	0.000000
BH-PF	FG0000084	EXTRA LIGHT OLIVE 1 LTR 16 PCS + 1 KGS ORGANIC RICE	0.000000
BH-PF	FG0000007	EXTRA LIGHT OLIVE 5 LTR 1 PCS	0.000000
BH-PF	FG0000075	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 1 SET	0.000000
BH-PF	FG0000046	GIFT PACK EXTRA VIRGIN OLIVE 750 MLS 3 BOTTLES	0.000000
BH-PF	FG0000089	POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-PF	FG0000027	POMACE OLIVE 5 LTR 1 PCS	0.000000
BH-PF	FG0000062	POMACE OLIVE 5 LTR 1 PCS THERMOCOL	0.000000
BH-PF	FG0000153	COLD PRESS 5 LTR + SANO EXTRA LIGHT OLIVE 1 LTR 4 PCS	0.000000
BH-PF	FG0000188	ZANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	0.000000
BH-PF	FG0000044	POMACE OLIVE TIN 15 LTR	0.000000
BH-PF	FG0000200	COLD PRESS 4 LTR + 1 LTR FLASK 5 PCS	0.000000
BH-PF	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	0.000000
BH-PF	FG0000017	REFINED 200 LTR 1 PCS	0.000000
BH-PF	FG0000121	CANOLA OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000118	CANOLA OIL 5 LTR 4 PCS	0.000000
BH-PF	FG0000022	COLD PRESS 2 LTR 10 PCS	0.000000
BH-PF	FG0000148	MUSTARD OIL 1 LTR 20 PCS VEDAKA	0.000000
BH-PF	FG0000140	SANO SOYABEAN OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000092	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-PF	FG0000134	SANO CANOLA OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000035	COLD PRESS 500 MLS 24 PCS	0.000000
BH-PF	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	0.000000
BH-PF	FG0000091	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	0.000000
BH-PF	FG0000025	COLD PRESS 5 LTR + COLD PRESS LTR SHRINKED 1 PCS	0.000000
BH-PF	FG0000041	EXTRA VIRGIN OLIVE GLASS BOTTLE 500 MLS 12 PCS	0.000000
BH-PF	FG0000049	SOYABEAN OIL 200 LTR 1 PCS	0.000000
