docnum,src,docdate,card,whs,pcs,litres,dispatched_at,cls
626060105,INVOICE,2026-06-01,ILAHI CO. (BTCPN5063N),BH-PF,1.0,2.0,__NOREC__,NO_GATE_RECORD
626676510,TRANSFER,2026-06-01,,BH-PF,31.0,155.0,__NOREC__,NO_GATE_RECORD
626676517,TRANSFER,2026-06-01,,BH-PF,1.0,16.5,__NOREC__,NO_GATE_RECORD
626676546,TRANSFER,2026-06-02,,BH-PF,21.0,41.0,__NOREC__,NO_GATE_RECORD
626060121,INVOICE,2026-06-03,B.NARAIN & CO.,BH-PF,100.0,1500.0,__NOREC__,NO_GATE_RECORD
626676558,TRANSFER,2026-06-03,,BH-PF,255.0,315.0,__NOREC__,NO_GATE_RECORD
626060138,INVOICE,2026-06-04,GLG INDUSTRIES,BH-PF,5.0,1000.0,__NOREC__,NO_GATE_RECORD
626676597,TRANSFER,2026-06-04,,BH-PF,240.0,120.0,__NOREC__,NO_GATE_RECORD
626060153,INVOICE,2026-06-05,PURE AGROCHEM CORPORATION,BH-PF,3600.0,2967.0,__NOREC__,NO_GATE_RECORD
626060174,INVOICE,2026-06-08,STAR SALES CORPORATION,BH-PF,51.0,10001.0,__NOREC__,NO_GATE_RECORD
626060186,INVOICE,2026-06-08,M/S OM PARKASH MAHAJAN AND CO.,BH-PF,40.0,305.7,__NOREC__,NO_GATE_RECORD
626676678,TRANSFER,2026-06-08,,BH-PF,48.0,24.0,__NOREC__,NO_GATE_RECORD
626060238,INVOICE,2026-06-09,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,150.0,2178.6,__NOREC__,NO_GATE_RECORD
626060242,INVOICE,2026-06-10,KATYANI EXPORTS,BH-PF,275.0,4125.0,__NOREC__,NO_GATE_RECORD
626676722,TRANSFER,2026-06-10,,BH-PF,1500.0,1500.0,__NOREC__,NO_GATE_RECORD
626060271,INVOICE,2026-06-11,ONENESS TRADERS,BH-PF,3000.0,2472.5,__NOREC__,NO_GATE_RECORD
626060281,INVOICE,2026-06-11,ONENESS TRADERS,BH-PF,4200.0,3461.5,__NOREC__,NO_GATE_RECORD
626060282,INVOICE,2026-06-11,SAI TRADING COMPANY,BH-PF,1380.0,1137.4,__NOREC__,NO_GATE_RECORD
626060283,INVOICE,2026-06-11,SAI TRADING COMPANY,BH-PF,3420.0,2818.7,__NOREC__,NO_GATE_RECORD
626676741,TRANSFER,2026-06-11,,BH-PF,5400.0,5400.0,__NOREC__,NO_GATE_RECORD
626060292,INVOICE,2026-06-12,NORTHERN NATURALS PRIVATE LIMITED,BH-PF,10.0,2000.0,__NOREC__,NO_GATE_RECORD
626060293,INVOICE,2026-06-12,ILAHI CO. (BTCPN5063N),BH-PF,5.0,75.0,__NOREC__,NO_GATE_RECORD
626060297,INVOICE,2026-06-12,PURE AGROCHEM CORPORATION,BH-PF,9600.0,7912.1,__NOREC__,NO_GATE_RECORD
626060298,INVOICE,2026-06-12,SAI TRADING COMPANY,BH-PF,8400.0,6923.1,__NOREC__,NO_GATE_RECORD
626676797,TRANSFER,2026-06-12,,BH-PF,672.0,1120.0,__NOREC__,NO_GATE_RECORD
626060311,INVOICE,2026-06-13,ARJUN DASS & SONS PUNJAB NEW,BH-PF,870.0,1074.7,__NOREC__,NO_GATE_RECORD
626060313,INVOICE,2026-06-13,SAI TRADING COMPANY,BH-PF,12000.0,9890.1,__NOREC__,NO_GATE_RECORD
626060314,INVOICE,2026-06-15,PARSHOTAM LAL VISHWA NATH,BH-PF,4163.0,10974.3,__NOREC__,NO_GATE_RECORD
626060317,INVOICE,2026-06-15,ASHISH ENTERPRISES,BH-PF,680.0,1604.4,2026-06-16T18:50:34.350928+05:30,GONE_before_1Aug
626060329,INVOICE,2026-06-15,WAL MART INDIA PVT LTD,BH-PF,500.0,7142.9,2026-06-17T20:21:34.654151+05:30,GONE_before_1Aug
626060330,INVOICE,2026-06-15,WAL MART INDIA PVT LTD,BH-PF,500.0,7142.9,2026-06-19T19:04:26.741460+05:30,GONE_before_1Aug
626060335,INVOICE,2026-06-15,JINDAL BROTHERS,BH-PF,6600.0,5076.9,2026-06-17T20:49:10.608982+05:30,GONE_before_1Aug
626060337,INVOICE,2026-06-15,ANAND ENTERPRISES,BH-PF,1788.0,1375.4,2026-06-18T17:08:27.927616+05:30,GONE_before_1Aug
626060338,INVOICE,2026-06-15,AGGARWAL AGENCIES,BH-PF,3600.0,2769.2,2026-06-16T18:45:50.425257+05:30,GONE_before_1Aug
626060344,INVOICE,2026-06-16,HARINDER SINGH & SONS,BH-PF,1200.0,923.1,2026-06-18T19:14:33.410771+05:30,GONE_before_1Aug
626060348,INVOICE,2026-06-16,HARINDER SINGH & SONS,BH-PF,258.0,3685.7,2026-06-18T19:14:33.410771+05:30,GONE_before_1Aug
626060349,INVOICE,2026-06-16,BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H,BH-PF,1200.0,1200.0,2026-06-19T19:01:59.103697+05:30,GONE_before_1Aug
626060355,INVOICE,2026-06-16,BAJAJ TRADERS,BH-PF,1766.0,8386.8,2026-06-17T19:48:03.239240+05:30,GONE_before_1Aug
626060361,INVOICE,2026-06-16,BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H,BH-PF,12000.0,9890.1,2026-06-20T19:49:18.982229+05:30,GONE_before_1Aug
626060362,INVOICE,2026-06-16,ONENESS TRADERS,BH-PF,12050.0,10640.1,2026-06-18T20:09:09.086028+05:30,GONE_before_1Aug
626060363,INVOICE,2026-06-16,ONENESS TRADERS,BH-PF,2400.0,1978.0,2026-06-17T20:49:10.608982+05:30,GONE_before_1Aug
626676841,TRANSFER,2026-06-16,,BH-PF,720.0,720.0,__NOREC__,NO_GATE_RECORD
626676842,TRANSFER,2026-06-16,,BH-PF,1.0,1.0,__NOREC__,NO_GATE_RECORD
626060379,INVOICE,2026-06-17,STAR SALES CORPORATION,BH-PF,51.0,10001.0,2026-06-18T19:59:17.868566+05:30,GONE_before_1Aug
626060381,INVOICE,2026-06-17,G PURE INDIA,BH-PF,123.0,1757.1,2026-06-18T20:57:15.022792+05:30,GONE_before_1Aug
626060382,INVOICE,2026-06-17,SAKSHI SALES,BH-PF,50.0,750.0,2026-06-19T14:22:28.062405+05:30,GONE_before_1Aug
626060390,INVOICE,2026-06-18,ANAND ENTERPRISES,BH-PF,2400.0,2400.0,2026-06-19T19:22:45.647794+05:30,GONE_before_1Aug
626060392,INVOICE,2026-06-18,AGGARWAL AGENCIES,BH-PF,3600.0,3600.0,2026-06-19T15:46:16.989664+05:30,GONE_before_1Aug
626060394,INVOICE,2026-06-18,SRI VENKATESH AROMAS,BH-PF,150.0,2250.0,2026-06-19T11:57:10.107468+05:30,GONE_before_1Aug
626060397,INVOICE,2026-06-19,WAL MART INDIA PVT LTD,BH-PF,500.0,7142.9,2026-06-23T21:41:31.506365+05:30,GONE_before_1Aug
626060398,INVOICE,2026-06-19,WAL MART INDIA PVT LTD,BH-PF,500.0,7142.9,2026-06-23T21:41:31.506365+05:30,GONE_before_1Aug
626060402,INVOICE,2026-06-19,HARPREET SINGH CASH SALE,BH-PF,1.0,15.0,__NOREC__,NO_GATE_RECORD
626060403,INVOICE,2026-06-19,WAL MART INDIA PVT LTD,BH-PF,6000.0,4615.4,2026-07-13T19:45:27.153234+05:30,GONE_before_1Aug
626060404,INVOICE,2026-06-19,WAL MART INDIA PVT LTD,BH-PF,6000.0,4615.4,2026-07-13T19:45:27.153234+05:30,GONE_before_1Aug
626060414,INVOICE,2026-06-22,PURE AGROCHEM CORPORATION,BH-PF,12000.0,9890.1,2026-06-23T21:51:40.922919+05:30,GONE_before_1Aug
626060418,INVOICE,2026-06-22,HIMJYOTI TRADERS,BH-PF,600.0,494.5,2026-06-23T21:38:27.916555+05:30,GONE_before_1Aug
626676966,TRANSFER,2026-06-22,,BH-PF,60.0,300.0,__NOREC__,NO_GATE_RECORD
626060426,INVOICE,2026-06-23,AGGARWAL AGENCIES,BH-PF,6000.0,5446.2,2026-06-25T11:06:38.284314+05:30,GONE_before_1Aug
626060427,INVOICE,2026-06-23,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,5.0,1000.0,2026-06-24T17:57:45.734183+05:30,GONE_before_1Aug
626060429,INVOICE,2026-06-23,STAR SALES CORPORATION,BH-PF,50.0,10000.0,2026-06-24T18:20:51.302548+05:30,GONE_before_1Aug
626060432,INVOICE,2026-06-24,SAFE AND SECURE ONLINE MARKETING PVT LTD,BH-PF,3000.0,6000.0,2026-06-26T17:56:37.278719+05:30,GONE_before_1Aug
626060433,INVOICE,2026-06-24,SAFE AND SECURE ONLINE MARKETING PVT LTD,BH-PF,40.0,80.0,2026-06-26T17:56:37.278719+05:30,GONE_before_1Aug
626060439,INVOICE,2026-06-24,RAJ MATA TRADERS LAXMI NAGAR,BH-PF,1200.0,1200.0,2026-06-25T18:02:41.739636+05:30,GONE_before_1Aug
626060441,INVOICE,2026-06-24,DURGA TRADING COMPANY (CQXPG8530Q),BH-PF,1200.0,923.1,2026-06-25T18:58:31.394339+05:30,GONE_before_1Aug
626060458,INVOICE,2026-06-25,HARPREET SINGH CASH SALE,BH-PF,1.0,15.0,__NOREC__,NO_GATE_RECORD
626060471,INVOICE,2026-06-26,SAI TRADING COMPANY,BH-PF,6000.0,4945.1,2026-06-27T19:52:42.153300+05:30,GONE_before_1Aug
626060475,INVOICE,2026-06-26,BRIJ LAL DURGA DASS,BH-PF,200.0,2857.1,2026-06-29T20:15:53.500292+05:30,GONE_before_1Aug
626677104,TRANSFER,2026-06-26,,BH-PF,441.0,441.0,__NOREC__,NO_GATE_RECORD
626060485,INVOICE,2026-06-27,G PURE INDIA,BH-PF,3200.0,4945.1,2026-07-03T19:43:00.764192+05:30,GONE_before_1Aug
626060490,INVOICE,2026-06-29,AKAL ROZGAR YOJANA A U O JWPL,BH-PF,20.0,300.0,2026-06-29T20:55:17.283638+05:30,GONE_before_1Aug
626060501,INVOICE,2026-06-29,DWARKA DASS NARINDER KUMAR,BH-PF,2665.0,5340.7,2026-07-03T19:43:00.764192+05:30,GONE_before_1Aug
626060503,INVOICE,2026-06-30,B.NARAIN & CO.,BH-PF,798.0,13153.8,2026-07-04T18:35:40.467602+05:30,GONE_before_1Aug
