DOCNUM	DOCDATE	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626676546	2026-06-02	BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	1.000000	TRANSFER
626676558	2026-06-03	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	240.000000	TRANSFER
626676510	2026-06-01	BH-PF	FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	10.000000	TRANSFER
626676510	2026-06-01	BH-PF	FG0000404	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	21.000000	TRANSFER
626676517	2026-06-01	BH-PF	FG0000178	MUSTARD KACHI GHANI 15 KGS	1.000000	TRANSFER
626676558	2026-06-03	BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	3.000000	TRANSFER
626676558	2026-06-03	BH-PF	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	12.000000	TRANSFER
626676597	2026-06-04	BH-PF	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	240.000000	TRANSFER
626676546	2026-06-02	BH-PF	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	4.000000	TRANSFER
626676546	2026-06-02	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	16.000000	TRANSFER
626676678	2026-06-08	BH-PF	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	48.000000	TRANSFER
626676722	2026-06-10	BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	1500.000000	TRANSFER
626676741	2026-06-11	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	5400.000000	TRANSFER
626676797	2026-06-12	BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	112.000000	TRANSFER
626676797	2026-06-12	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	560.000000	TRANSFER
626676841	2026-06-16	BH-PF	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	720.000000	TRANSFER
626676842	2026-06-16	BH-PF	FG0000013	REFINED OIL 1000 MLS	1.000000	TRANSFER
626676966	2026-06-22	BH-PF	FG0000404	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	60.000000	TRANSFER
626677104	2026-06-26	BH-PF	FG0000408	COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS	441.000000	TRANSFER
726676500	2026-07-01	BH-PF	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	368.000000	TRANSFER
726676501	2026-07-01	BH-PF	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	384.000000	TRANSFER
726676512	2026-07-02	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	464.000000	TRANSFER
