day,line,code,sku,head,slot,oil,pieces,litres,hours,flush_min,realise,value_rs
2026-08-01,JP Machine,FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,1L,RM0000001,29,29,0.01,,838.09,24305
2026-08-01,Clear Pack,FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),PREMIUM,1L,RM0000001,26,26,0.01,,511.24,13292
2026-08-01,Pouch Machine,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS (MULTI PACK),PREMIUM,POUCH,RM0000002,9284,9284,2.21,,169.64,1574940
2026-08-01,10 Head,FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),PREMIUM,1L,RM0000001,18,9,0.01,,1022.48,9202
2026-08-01,6 Head,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,PREMIUM,5L,RM0000040,2,10,0.0,,169.94,1699
2026-08-01,Tin Head,FG0000367,SANO POMACE OLIVE OIL 15 L,PREMIUM,TIN,RM0000001,25,375,0.1,,258.27,96850
2026-08-01,JP Machine,FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PREMIUM,1L,RM0000001,1768,1768,0.33,,431.3,762547
2026-08-01,Clear Pack,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PREMIUM,5L,RM0000011,19091,95455,6.36,1.6,169.51,16180200
2026-08-01,Pouch Machine,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,POUCH,RM0000025,40716,40716,9.69,5.7,157.59,6416506
2026-08-01,10 Head,FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,5L,RM0000002,1219,6097,1.35,5.3,156.16,952127
2026-08-01,6 Head,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,COMMODITY,5L,RM0000003,7118,35590,11.86,8.0,151.21,5381465
2026-08-01,Tin Head,FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),COMMODITY,TIN,RM0000003,92,1516,0.38,6.1,146.16,221649
2026-08-01,JP Machine,FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),PREMIUM,1L,RM0000037,26,26,0.0,4.4,365.0,9490
