item_code,name,uom,august_required_l,sap_onhand_l,sap_onhand_bhlo_factory_l,sap_open_po_l,sap_visible_l,exim_pipeline_gross_l,exim_inbound_l,exim_inbound_credible_l,exim_inbound_not_credible_l,country_or_local,country_evidence,days_to_arrive,still_short_l,still_short_if_placeholder_contracts_land_l,cover_pct_after_everything,match_confidence,notes
RM0000003,MUSTARD LOOSE OIL,LTR,1245959.2,228795.6,221952.0,457333.6,686129.2,576724.7,119391.1,119391.1,0.0,"LOCAL - India (AWL, Vaishnodevi Refoils, Arora)","60 receipts, last 2026-08-28","SAP median PO->receipt 18d (n=96, last receipt 2026-08-28)",440438.9,440438.9,64.7,HIGH,"made in-house (made_share=0.99), so 'required' is a production input, not necessarily a purchase"
RM0000001,LOOSE REFINED OLIVE OIL,LTR,675486.5,54085.8,,65.9,54151.7,0.0,0.0,0.0,0.0,"LOCAL - India (Vee Kay, Nurturing Foods, Maha Maya)","60 receipts, last 2026-06-16; NOT the Spanish import","SAP median PO->receipt 2d (n=40, last receipt 2026-06-16)",621334.8,621334.8,8.0,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase"
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,LTR,620254.9,0.0,0.0,0.0,0.0,824175.0,824175.0,0.0,824175.0,"IMPORTED - Australia (Graincorp, Alba) + UAE (Edible Oil Co D, Al Ghurair); current EXIM contract is UKRAINE",all 39 POs foreign; last receipt 2026-06-28 Graincorp AU,"UNKNOWN - the only inbound crude is the Ukraine contract and it has NO eta, NO vessel, NO port; its window expired 2026-08-22. Historic import lead time was 20d median PO->receipt (n=18) and 34d median sea leg",620254.9,0.0,0.0,HIGH,"824,175 L of the EXIM inbound is EXCLUDED from still_short_l because its counterparty is a TEMP placeholder, not a vendor | THE CRUDE. Last receipt 2026-06-28 (575,703 L), fully consumed by 2026-07-22, zero movement for 38 days. Zero stock, zero open PO, zero on-order, zero production coverage"
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,578168.4,9423.8,1130.1,0.0,9423.8,0.0,0.0,0.0,0.0,"MADE IN-HOUSE from RM0000016 crude (job work, Gujarat); 1 direct buy from Alba AU 2025-10-29",46 open production orders; buy history near-zero,"SAP median PO->receipt 28d (n=1, last receipt 2025-10-29)",568744.5,568744.5,1.6,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase | DOUBLE-COUNT WARNING: made from RM0000016 crude at ~93% yield (620,255/578,168=1.0728) - these two rows are the same oil at two stages"
RM0000025,SOYABEAN REFINED LOOSE OIL,LTR,550348.9,327817.4,209365.5,526735.7,854553.1,1060141.8,533406.1,533406.1,-0.0,"LOCAL - India (Arora, AWL, Vaishnodevi Agro)","107 receipts, last 2026-08-29 (today)","0-3d for 7 trucks now moving (ETA 2026-08-29..2026-09-01); SAP median PO->receipt 14d (n=162, last receipt 2026-08-29)",0.0,0.0,100,HIGH,"made in-house (made_share=0.96), so 'required' is a production input, not necessarily a purchase"
RM0000011,GROUNDNUT LOOSE OIL,LTR,526259.7,35271.1,204.0,0.0,35271.1,0.0,0.0,0.0,0.0,"LOCAL - India (Dhanlaxmi, Arihant Solvex, Vinod Agro)","19 receipts, last 2026-05-26 (95d ago)","SAP median PO->receipt 9d (n=15, last receipt 2026-05-26)",490988.6,490988.6,6.7,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase"
RM0000009,REFINED SUNFLOWER OIL,LTR,420000.0,14294.4,8725.5,0.0,14294.4,0.0,0.0,0.0,0.0,"LOCAL - India (Kutch Chemical, Modi Oil, Goyal)","3 receipts, last 2025-11-06 (296d ago)","SAP median PO->receipt 10d (n=2, last receipt 2025-11-06)",405705.6,405705.6,3.4,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase | no purchase since 2025-11-06 (296 days) and no open PO - 420,000 L required with no visible source at all"
RM0000007,RICE BRAN REFINED OIL,LTR,67142.8,67330.7,,4769.2,72099.9,48593.4,43824.1,43824.1,0.0,"LOCAL - India (Arora, AWL, Modi Oil)","15 receipts, last 2026-08-17","SAP median PO->receipt 12d (n=13, last receipt 2026-08-17)",0.0,0.0,100,HIGH,"EXIM row #622 (43,824 L) has sat IN_WAREHOUSE at Sonipat since 2026-07-04 with no GRPO number - counted as inbound-SAP-cannot-see, but it may already be inside SAP's 67,331 L on-hand. Treat as UNCERTAIN"
RM0000021,LOOSE OIL GOLD,LTR,63000.0,8222.0,,0.0,8222.0,0.0,0.0,0.0,0.0,MADE IN-HOUSE (blend); 1 intercompany buy 2025-01-23,no purchase receipts in 12m,"no inbound of any kind - no open PO, no EXIM contract, no production order",54778.0,54778.0,13.1,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase"
RM0000040,SO OLIVE OIL,LTR,32000.0,9036.0,,0.0,9036.0,0.0,0.0,0.0,0.0,MADE IN-HOUSE (blend),no purchase receipts in 12m,"no inbound of any kind - no open PO, no EXIM contract, no production order",22964.0,22964.0,28.2,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase"
RM0000054,SEASAME OIL,LTR,25000.0,3165.7,,0.0,3165.7,0.0,0.0,0.0,0.0,LOCAL - India (Tirupati Agro),"4 receipts, last 2026-08-17","SAP median PO->receipt 5d (n=3, last receipt 2026-08-17)",21834.3,21834.3,12.7,n/a - no EXIM pipeline row for this item,
RM0000015,LOOSE OIL COLD PRESS/REFINED,LTR,23495.1,35295.3,,0.0,35295.3,0.0,0.0,0.0,0.0,MADE IN-HOUSE (blend/refine),no purchase receipts in 12m,"no inbound of any kind - no open PO, no EXIM contract, no production order",0.0,0.0,100,n/a - no EXIM pipeline row for this item,"made in-house (made_share=1.00), so 'required' is a production input, not necessarily a purchase"
