code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,BLEND,148751,,,,100,,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BLEND,261871,,,,69,,
RM0000009,REFINED SUNFLOWER OIL,BLEND,315778,,,,100,,
RM0000011,GROUNDNUT LOOSE OIL,BLEND,291525,,,,100,,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BLEND,0,,,,87,,
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,BLEND,0,,,,100,,
RM0000001,LOOSE REFINED OLIVE OIL,BLEND,0,,,,94,,
RM0000015,LOOSE OIL COLD PRESS/REFINED,BLEND,9306,,,,100,,
RM0000003,MUSTARD LOOSE OIL,BUY,949470,227747,465334,256390,7,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,BUY,740864,793358,324000,-376494,0,9.8,MAHESHWARI CAPS PVT LTD
PM0000851,PET BOTTLE 1 LTR 26 GM,BUY,562789,256670,1202246,-896127,0,11.1,BR AGROTECH LTD
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,BUY,469494,544364,0,-74870,0,6.0,ROYAL PRIME LABELS
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,BUY,469494,529767,0,-60273,0,6.0,ROYAL PRIME LABELS
RM0000025,SOYABEAN REFINED LOOSE OIL,BUY,437572,138950,613362,-314740,2,2.3,VEE KAY TRADERS
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,BUY,423739,334449,559000,-469710,0,2.0,MAHESHWARI CAPS PVT LTD
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,BUY,264608,207526,20800,36282,0,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,BUY,264608,223461,20800,20347,0,9.0,ROYAL PRIME LABELS
PM0000594,PREFORM 40 GMS 36 MM,BUY,261871,643177,680600,-1061906,0,17.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,BUY,147304,157327,251000,-261023,0,5.8,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,BUY,147304,155914,251500,-260110,0,5.8,ROYAL PRIME LABELS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,BUY,144661,229223,675017,-759579,0,18.3,BABAJI UDYOG PVT. LTD.
RM0000066,PEANUT OIL,BUY,133783,234875,113593,-214685,0,7.0,M/S ARORA AGRI BUSINESS VENTURES
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,BUY,125980,331053,344000,-549073,0,6.6,ROYAL PRIME LABELS
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BUY,117982,81673,38376,-2067,0,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000015,LABEL 1 LTR COLD PRESS FRONT,BUY,103789,285345,226000,-407556,0,8.0,ROYAL PRIME LABELS
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,BUY,102152,62106,1,40045,0,6.0,ROYAL PRIME LABELS
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,BUY,102152,62111,1,40040,0,6.0,ROYAL PRIME LABELS
