code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,BLEND,173914,,,,100,,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BLEND,332933,,,,69,,
RM0000009,REFINED SUNFLOWER OIL,BLEND,321347,,,,100,,
RM0000011,GROUNDNUT LOOSE OIL,BLEND,301477,,,,100,,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BLEND,32243,,,,87,,
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,BLEND,57078,,,,100,,
RM0000001,LOOSE REFINED OLIVE OIL,BLEND,0,,,,94,,
RM0000015,LOOSE OIL COLD PRESS/REFINED,BLEND,16809,,,,100,,
RM0000003,MUSTARD LOOSE OIL,BUY,952352,179326,465334,307692,7,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,BUY,740864,610000,324000,-193136,0,9.8,MAHESHWARI CAPS PVT LTD
PM0000851,PET BOTTLE 1 LTR 26 GM,BUY,562789,147797,1202246,-787254,0,11.1,BR AGROTECH LTD
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,BUY,469494,384169,0,85325,0,6.0,ROYAL PRIME LABELS
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,BUY,469494,380088,0,89406,0,6.0,ROYAL PRIME LABELS
RM0000025,SOYABEAN REFINED LOOSE OIL,BUY,459386,137939,613362,-291916,2,2.3,VEE KAY TRADERS
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,BUY,423739,114000,559000,-249261,0,2.0,MAHESHWARI CAPS PVT LTD
PM0000594,PREFORM 40 GMS 36 MM,BUY,332933,626127,680600,-973794,0,17.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,BUY,264608,198156,20800,45652,0,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,BUY,264608,188865,20800,54943,0,9.0,ROYAL PRIME LABELS
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,BUY,147304,90817,251000,-194513,0,5.8,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,BUY,147304,90000,251500,-194196,0,5.8,ROYAL PRIME LABELS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,BUY,144651,184840,675017,-715206,0,18.3,BABAJI UDYOG PVT. LTD.
RM0000066,PEANUT OIL,BUY,138581,234875,113593,-209887,0,7.0,M/S ARORA AGRI BUSINESS VENTURES
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,BUY,125970,198172,344000,-416202,0,6.6,ROYAL PRIME LABELS
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BUY,117982,50460,38376,29146,0,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000015,LABEL 1 LTR COLD PRESS FRONT,BUY,103779,200549,226000,-322770,0,8.0,ROYAL PRIME LABELS
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,BUY,102152,25930,1,76221,0,6.0,ROYAL PRIME LABELS
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,BUY,102152,25930,1,76221,0,6.0,ROYAL PRIME LABELS
PM0000075,TAPE LOGO PRINTED,BUY,88620,556958,183970,-652308,0,3.7,BAKSHI PLASTIC BHANDAR
PM0000053,HDPE BOTTLE 5 LTR,BUY,69669,36944,264545,-231820,0,12.7,BAL KRISHNA INDUSTRIES
PM0000824,LABEL 1 LTR KACHI GHANI FULL,BUY,58016,547743,149500,-639228,0,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000817,PREFORM 21/23 GMS,BUY,57078,223488,200000,-366410,0,2.3,FRYSTAL PET PRIVATE LIMITED
PM0000469,CAPS 5 LTR BROWN,BUY,55718,7677,188138,-140097,0,21.7,ECHO PLAST INDIA
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,BUY,55602,113233,0,-57631,0,10.5,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,BUY,55602,135353,0,-79751,0,10.5,ROYAL PRIME LABELS
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,BUY,37694,21560,0,16134,0,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,BUY,37694,22050,0,15644,0,4.7,ROYAL PRIME LABELS
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,BUY,33834,55497,5000,-26663,0,12.3,ROYAL PRIME LABELS
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,BUY,33834,55910,5000,-27076,0,12.3,ROYAL PRIME LABELS
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,BUY,33834,45169,24480,-35816,0,9.1,MULTILAYER INDUSTRIES
PM0000517,PET BOTTLE 1 LTR 75 GMS,BUY,33064,1553,37013,-5502,0,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000852,PREFORM 49.5 GMS 36 MM,BUY,32243,239583,361189,-568529,0,15.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,BUY,25359,16402,29516,-20559,0,11.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
RM0000007,RICE BRAN REFINED OIL,BUY,23629,67310,29769,-73450,0,0.0,MODI OIL TRADERS
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),BUY,22191,37340,100000,-115149,0,4.3,ROYAL PRIME LABELS
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,BUY,21884,1441,36100,-15657,0,6.5,ROYAL PRIME LABELS
