line_resource,line_name,post_date,seq_in_day,orders_that_line_day,distinct_packs_that_line_day,prev_docnum,next_docnum,change_type,entry_gap_min,prev_oil_code,prev_oil_group,prev_oil_variety,next_oil_code,next_oil_group,next_oil_variety,prev_pack_ltr,prev_container,next_pack_ltr,next_container,prev_fg,prev_fg_name,next_fg,next_fg_name,prev_litres,next_litres,prev_order_to_receipt_min,prev_excess_oil_pct,next_excess_oil_pct,physically_impossible_gap,prev_run_min_at_fastest_line,gap_too_short_for_prev_run,gap_is_machine_time
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,1,7,6,1024026520,1024026521,D_DIFF_OIL_GROUP,3.5,RM0000002,CANOLA,COLD PRESS,RM0000010,OLIVE,POMACE,5.0,OTHER,5.01,TIN,FG0000002,COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,740.0,881.8,1.2,0.0,0.2,no,3.0,no,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,2,7,6,1024026521,1024026523,D_DIFF_OIL_GROUP,46.4,RM0000010,OLIVE,POMACE,RM0000002,CANOLA,COLD PRESS,5.01,TIN,2.0,PET BOTTLE,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,881.8,1480.0,3.7,0.2,0.0,no,3.5,no,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,3,7,6,1024026523,1024026524,D_DIFF_OIL_GROUP,125.7,RM0000002,CANOLA,COLD PRESS,RM0000010,OLIVE,POMACE,2.0,PET BOTTLE,1.002,PET BOTTLE,FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1480.0,6191.4,3.4,0.0,0.25,no,35.2,no,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,4,7,6,1024026524,1024026525,D_DIFF_OIL_GROUP,4.4,RM0000010,OLIVE,POMACE,RM0000002,CANOLA,COLD PRESS,1.002,PET BOTTLE,15.0,TIN,FG0000028,POMACE OLIVE 1 LTR 16 PCS,FG0000015,REFINED OIL 15 LTR,6191.4,1500.0,1.7,0.25,0.0,no,68.8,YES,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,5,7,6,1024026525,1024026527,A_SAME_OIL_SAME_PACK,82.1,RM0000002,CANOLA,COLD PRESS,RM0000002,CANOLA,COLD PRESS,15.0,TIN,15.0,TIN,FG0000015,REFINED OIL 15 LTR,FG0000015,REFINED OIL 15 LTR,1500.0,3000.0,4.3,0.0,0.0,no,10.0,no,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-07,6,7,6,1024026527,1024026528,D_DIFF_OIL_GROUP,3.4,RM0000002,CANOLA,COLD PRESS,RM0000010,OLIVE,POMACE,15.0,TIN,200.44,OTHER,FG0000015,REFINED OIL 15 LTR,FG0000006,POMACE OLIVE 200 LTR 1 PCS,3000.0,1002.2,1.2,0.0,0.22,no,20.0,YES,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-08,1,12,8,1024026538,1024026543,B_SAME_OIL_DIFF_PACK,290.2,RM0000002,CANOLA,COLD PRESS,RM0000002,CANOLA,COLD PRESS,5.0,OTHER,20.0,OTHER,FG0000004,COLD PRESS 5 LTR 4 PCS,FG0000020,REFINED OIL 5 LTR,11580.0,2140.0,6.5,0.0,,no,46.3,no,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-08,2,12,8,1024026543,1024026544,B_SAME_OIL_DIFF_PACK,0.3,RM0000002,CANOLA,COLD PRESS,RM0000002,CANOLA,COLD PRESS,20.0,OTHER,20.0,PET BOTTLE,FG0000020,REFINED OIL 5 LTR,FG0000013,REFINED OIL 1000 MLS,2140.0,1000.0,9.4,,,YES,,,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-08,3,12,8,1024026544,1024026545,D_DIFF_OIL_GROUP,0.4,RM0000002,CANOLA,COLD PRESS,RM0000008,OLIVE,EXTRA LIGHT,20.0,PET BOTTLE,1.04,PET BOTTLE,FG0000013,REFINED OIL 1000 MLS,FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),1000.0,135.2,13.1,,,YES,,,NO_data_entry_clock_only
JWPL09240001,FILLING COST CANOLA AND OLIVE,2024-10-08,4,12,8,1024026545,1024026546,B_SAME_OIL_DIFF_PACK,48.6,RM0000008,OLIVE,EXTRA LIGHT,RM0000008,OLIVE,EXTRA LIGHT,1.04,PET BOTTLE,1.0,PET BOTTLE,FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),135.2,120.0,35.7,,,no,1.5,no,NO_data_entry_clock_only
