code,name,pack_type,pack_litres,bottles_per_hour,pieces_180d,line_hours_180d,rs_per_bottle,rs_per_litre
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PET,0.05714285714285714,3345.0,1809147,540.9,0.52,9.098
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,TIN,5.0,240.0,93121,388.0,7.246,1.449
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PET,1.0,3345.0,976239,291.9,0.52,0.52
PM0000194,PET BOTTLE 1 LTR 40 GMS,PET,0.04395604395604396,3345.0,908504,271.6,0.52,11.827
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PET,1.0,3345.0,771603,230.7,0.52,0.52
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,POUCH,0.8241758241758241,2100.0,422997,201.4,0.828,1.005
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,TIN,5.0,240.0,46787,194.9,7.246,1.449
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,POUCH,0.7692307692307693,2100.0,387234,184.4,0.828,1.077
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,PET,1.0,3345.0,507580,151.7,0.52,0.52
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,PET,1.0,3345.0,507595,151.7,0.52,0.52
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,456381,136.4,0.52,0.52
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET,0.026153846153846156,3345.0,447522,133.8,0.52,19.878
FG0000004,COLD PRESS 5 LTR 4 PCS,PET,5.0,1500.0,136239,90.8,1.159,0.232
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,303000,90.6,0.52,0.52
FG0000032,COLD PRESS 1 LTR 20 PCS,PET,1.0,3345.0,292600,87.5,0.52,0.52
FG0000316,SOYABEAN OIL 13 KGS (B),TIN,14.285714285714286,240.0,19362,80.7,7.246,0.507
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,POUCH,1.0,2100.0,164334,78.3,0.828,0.828
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,TIN,5.0,240.0,17380,72.4,7.246,1.449
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,PET,1.0,3345.0,240444,71.9,0.52,0.52
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,PET,5.0,1500.0,99827,66.6,1.159,0.232
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,PET,2.0,990.0,65310,66.0,1.757,0.878
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,187083,55.9,0.52,0.52
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,PET,5.0,1500.0,77828,51.9,1.159,0.232
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PET,5.0,1500.0,76791,51.2,1.159,0.232
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,PET,2.0,990.0,40120,40.5,1.757,0.878
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,PET,0.954945054945055,3345.0,135260,40.4,0.52,0.544
FG0000444,SOYABEAN OIL 12 KGS (B),TIN,13.186813186813186,240.0,9680,40.3,7.246,0.549
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PET,2.0,990.0,34832,35.2,1.757,0.878
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,POUCH,1.0,2100.0,72675,34.6,0.828,0.828
FG0000409,COLD PRESS GROUNDNUT OIL 200 MLS 70 PCS,PET,0.2,3345.0,101737,30.4,0.52,2.599
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,95643,28.6,0.52,0.52
FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,TIN,16.483516483516482,240.0,6700,27.9,7.246,0.44
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,PET,1.0,3345.0,89095,26.6,0.52,0.52
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,TIN,5.0,240.0,6236,26.0,7.246,1.449
FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,PET,0.2,3345.0,86590,25.9,0.52,2.599
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,PET,1.0,3345.0,85133,25.5,0.52,0.52
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,PET,0.2,3345.0,81955,24.5,0.52,2.599
FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,PET,1.0,3345.0,81048,24.2,0.52,0.52
FG0000386,CHAI 250 GMS 40 PCS,PET,0.27472527472527475,3345.0,78000,23.3,0.52,1.892
FG0000297,SOYABEAN OIL 13 KGS TIN IMPORTED PCS,TIN,14.285714285714286,240.0,5230,21.8,7.246,0.507
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,PET,1.0,3345.0,69779,20.9,0.52,0.52
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,PET,1.0,3345.0,69902,20.9,0.52,0.52
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,PET,2.0,990.0,20600,20.8,1.757,0.878
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,PET,2.0,990.0,20260,20.5,1.757,0.878
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,TIN,5.0,240.0,4163,17.3,7.246,1.449
FG0000178,MUSTARD KACHI GHANI 15 KGS,TIN,16.483516483516482,240.0,3641,15.2,7.246,0.44
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,PET,5.0,1500.0,21844,14.6,1.159,0.232
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,PET,1.0,3345.0,46940,14.0,0.52,0.52
FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,PET,4.0,1500.0,20781,13.9,1.159,0.29
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,PET,2.0,990.0,13086,13.2,1.757,0.878
FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,PET,5.0,1500.0,19770,13.2,1.159,0.232
FG0000128,JIVO GOLD 5 LTR 4 PCS,PET,5.0,1500.0,18860,12.6,1.159,0.232
FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,PET,5.0,1500.0,18371,12.2,1.159,0.232
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,PET,2.0,990.0,10320,10.4,1.757,0.878
FG0000417,COLD PRESS SUNFLOWER 5LTR 5 PCS,PET,5.0,1500.0,15080,10.1,1.159,0.232
FG0000015,REFINED OIL 15 LTR,PET,15.0,1500.0,14428,9.6,1.159,0.077
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,PET,5.0,1500.0,14284,9.5,1.159,0.232
FG0000043,COLD PRESS 3 LTR 6 PCS,PET,3.0,1500.0,13002,8.7,1.159,0.386
FG0000091,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,PET,2.0,990.0,8560,8.6,1.757,0.878
