line,seq,code,sku,slot,head,oil,rate_per_hr,pieces,litres,hours,realise_rs_l,rs_per_hour,value_rs,flush_min
JP Machine,1,FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,1L,PREMIUM,RM0000037,5400,5609,5609,1.04,576.44,3112756,3233014,
JP Machine,2,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,5400,1432,1432,0.27,307.93,1662804,440951,4.4
JP Machine,3,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,5400,37878,37878,7.01,280.98,1517310,10643089,
JP Machine,4,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,5400,19481,19481,3.61,255.78,1381190,4982868,
Clear Pack,1,FG0000367,SANO POMACE OLIVE OIL 15 L,5L,PREMIUM,RM0000001,3000,67,1005,0.02,253.65,11414432,254922,
Clear Pack,2,FG0000191,SOYABEAN OIL 15 LTR,5L,COMMODITY,RM0000025,3000,3891,58365,1.3,156.0,7020000,9104940,0.5
Clear Pack,3,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5L,OTHER PREMIUM,RM0000011,3000,41,204,0.01,180.01,2700209,36718,1.6
Clear Pack,4,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5L,COMMODITY,RM0000009,3000,1745,8725,0.58,160.21,2403160,1397910,1.6
Clear Pack,5,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5L,COMMODITY,RM0000003,3000,1148,5738,0.38,159.46,2391954,915055,1.6
Clear Pack,6,FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000003,3000,22,110,0.01,156.0,2340000,17160,
Clear Pack,7,FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5L,COMMODITY,RM0000003,3000,784,3920,0.26,154.67,2319994,606292,
Clear Pack,8,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,1L,COMMODITY,RM0000007,4800,11693,11693,2.44,265.47,1274277,3104192,5.0
Clear Pack,9,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,4800,18414,18414,3.84,255.78,1227725,4709879,5.0
Clear Pack,10,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,4800,13950,13950,2.91,248.13,1191046,3461521,
10 Head,1,FG0000015,REFINED OIL 15 LTR,5L,PREMIUM,RM0000002,900,75,1130,0.08,167.58,2262369,189391,
10 Head,2,FG0000158,REFINED COTTON SEED OIL 15 LTR,5L,COMMODITY,RM0000030,900,12,179,0.01,156.0,2106000,27936,1.8
10 Head,3,FG0000004,COLD PRESS 5 LTR 4 PCS,5L,PREMIUM,RM0000002,900,226,1130,0.25,175.91,791617,198808,5.3
10 Head,4,FG0000128,JIVO GOLD 5 LTR 4 PCS,5L,COMMODITY,RM0000021,900,159,797,0.18,160.0,720000,127520,5.3
10 Head,5,FG0000226,RICE BRAN OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000007,900,5060,25300,5.62,159.27,716697,4029428,5.3
10 Head,6,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000040,900,2,10,0.0,156.0,702000,1560,5.3
10 Head,7,FG0000192,SOYABEAN OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000025,900,88,440,0.1,152.99,688436,67314,5.3
10 Head,8,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,2100,10685,10685,5.09,255.78,537130,2732913,11.4
6 Head,1,FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,5L,COMMODITY,RM0000009,600,311,4665,0.52,159.12,1432090,742300,
6 Head,2,FG0000026,MUSTARD KACCHI GHANI 15 LTR,5L,COMMODITY,RM0000003,600,333,4995,0.56,156.0,1404000,779220,2.7
6 Head,3,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5L,COMMODITY,RM0000003,600,6529,32647,10.88,159.46,478391,5205956,
Pouch Machine,1,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,POUCH,PREMIUM,RM0000002,4200,1130,1130,0.27,171.43,719987,193734,
Pouch Machine,2,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,POUCH,COMMODITY,RM0000025,4200,48870,48870,11.64,143.02,600671,6989220,5.7
Tin Head,1,FG0000250,SOYABEAN OIL 15 KGS,TIN,COMMODITY,RM0000025,240,2880,47472,12.0,156.0,617142,7405707,
