line,seq,code,sku,slot,head,oil,rate_per_hr,pieces,litres,hours,realise_rs_l,rs_per_hour,value_rs,flush_min
JP Machine,1,FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),1L,PREMIUM,RM0000001,5400,90,90,0.02,838.09,4525686,75009,
JP Machine,2,FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),1L,PREMIUM,RM0000001,5400,497,497,0.09,377.14,2036556,187439,
JP Machine,3,FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),1L,PREMIUM,RM0000037,5400,351,351,0.06,365.0,1971000,127947,4.4
JP Machine,4,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,5400,32878,32878,6.09,280.98,1517310,9238172,4.4
JP Machine,5,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,5400,30185,30185,5.59,255.78,1381190,7720588,
Clear Pack,1,FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,1L,PREMIUM,RM0000037,4800,5609,5609,1.17,576.44,2766894,3233014,
Clear Pack,2,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5L,PREMIUM,RM0000011,3000,41,204,0.01,180.01,2700209,36718,1.6
Clear Pack,3,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5L,COMMODITY,RM0000009,3000,1745,8725,0.58,160.21,2403160,1397910,1.6
Clear Pack,4,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5L,COMMODITY,RM0000003,3000,7677,38385,2.56,159.46,2391954,6121011,1.6
Clear Pack,5,FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000003,3000,22,110,0.01,156.0,2340000,17160,
Clear Pack,6,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,1L,COMMODITY,RM0000007,4800,11693,11693,2.44,265.47,1274277,3104192,5.0
Clear Pack,7,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,4800,662,662,0.14,255.78,1227725,169198,5.0
Clear Pack,8,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,4800,23277,23277,4.85,248.13,1191046,5775842,
10 Head,1,FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),1L,PREMIUM,RM0000001,2100,1000,1000,0.48,511.24,1073604,511240,
10 Head,2,FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,1L,PREMIUM,RM0000001,2100,339,170,0.16,676.2,710010,114616,
10 Head,3,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,2100,1432,1432,0.68,307.93,646646,440951,
10 Head,4,FG0000226,RICE BRAN OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000007,900,5060,25300,5.62,159.27,716697,4029428,5.3
10 Head,5,FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5L,COMMODITY,RM0000003,900,1384,6920,1.54,154.67,695998,1070290,5.3
10 Head,6,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,2100,6620,6620,3.15,255.78,537130,1693152,11.4
6 Head,1,FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),1L,PREMIUM,RM0000001,1080,14,7,0.01,1022.48,552139,7221,
6 Head,2,FG0000004,COLD PRESS 5 LTR 4 PCS,5L,PREMIUM,RM0000002,600,226,1130,0.38,175.91,527745,198808,8.0
6 Head,3,FG0000128,JIVO GOLD 5 LTR 4 PCS,5L,COMMODITY,RM0000021,600,159,797,0.27,160.0,480000,127520,8.0
6 Head,4,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,5L,PREMIUM,RM0000040,600,2,10,0.0,156.0,468000,1560,8.0
6 Head,5,FG0000192,SOYABEAN OIL 5 LTR 4 PCS,5L,COMMODITY,RM0000025,600,88,440,0.15,152.99,458957,67314,8.0
6 Head,6,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1L,PREMIUM,RM0000001,1080,11114,11114,10.29,255.78,276238,2842722,22.2
Pouch Machine,1,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS (MULTI PACK),POUCH,PREMIUM,RM0000002,4200,1130,1130,0.27,171.43,719987,193734,
Pouch Machine,2,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,POUCH,COMMODITY,RM0000025,4200,48870,48870,11.64,143.02,600671,6989220,5.7
Tin Head,1,FG0000367,SANO POMACE OLIVE OIL 15 L,TIN,PREMIUM,RM0000001,240,67,1005,0.28,253.65,913155,254922,
Tin Head,2,FG0000250,SOYABEAN OIL 15 KGS,TIN,COMMODITY,RM0000025,240,2789,45968,11.62,156.0,617142,7171021,6.1
