item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-181|PO-126226512,2025-01-05,2025-01-07,41.6300,1.3700,300000.00,12900000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-182|PO-126226513,2025-01-05,2026-01-07,42.2200,0.0000,300000.00,12600000.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-294|PO-326226583,2026-03-23,2026-04-17,41.0000,1.0000,170000.00,7140000.00,dc/RECIEVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-288|PO-326226583,2026-03-23,,,42.0000,170000.00,7140000.00,dc/CONTRACT
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-268|PO-326226590,2026-03-23,2026-04-03,41.8000,0.2000,148500.00,6237000.00,dc/RECIEVED
RAPESEED REFINED LOOSE OIL,RM0000048,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-267|PO-326226590,2026-03-23,,,42.0000,148500.00,6237000.00,dc/CONTRACT
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-266|PO-326226590,2026-03-23,2026-04-03,41.1300,0.8700,148500.00,6237000.00,dc/RECIEVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-287|PO-326226585,2026-03-23,,,42.0000,165000.00,6930000.00,dc/CONTRACT
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,250.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-286|PO-326226590,2026-03-21,,,250.0000,148500.00,37125000.00,dc/CONTRACT
RICE BRAN REFINED OIL,RM0000007,30.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-265|PO-326226570,2026-03-20,2026-04-01,29.0700,0.9300,147000.00,4410000.00,dc/RECIEVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-285|PO-326226569,2026-03-20,,,42.0000,162500.00,6825000.00,dc/CONTRACT
RICE BRAN REFINED OIL,RM0000007,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-284|PO-326226570,2026-03-20,,,40.0000,147000.00,5880000.00,dc/CONTRACT
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-283|PO-326226537,2026-03-12,,,42.0000,165000.00,6930000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-282|PO-326226520,2026-03-07,,,42.0000,132500.00,5565000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,41.6800,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-281|PO-326226525,2026-03-07,,,41.6800,138000.00,5751840.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,160.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-280|PO-326226521,2026-03-07,,,160.0000,140000.00,22400000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,40.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-273|PO-326226518,2026-03-06,2026-04-13,39.8500,0.1500,138000.00,5520000.00,dc/RECIEVED
MUSTARD LOOSE OIL,RM0000003,500.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-279|PO-326226518,2026-03-06,,,500.0000,138000.00,69000000.00,dc/CONTRACT
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-270|PO-326226556,2026-03-01,2026-04-06,41.7500,0.2500,144200.00,6056400.00,dc/RECIEVED
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-271|PO-326226556,2026-03-01,2026-04-06,41.6400,0.3600,144200.00,6056400.00,dc/RECIEVED
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-272|PO-326226556,2026-03-01,2026-04-07,40.6200,1.3800,144200.00,6056400.00,dc/RECIEVED
