path,method,status,known_in_repo,model_guess,sample_row_count,notes
/account/users/,GET,200,yes,user,12,"live read; keys: id,name,email"
/commodity-margin/,GET,404,NO,?,,404 — route does not exist
/daily-price/db-list/,GET,200,yes,dailyprice / daily_price / daily_price_graph,2865,live read; keys: 
/daily-price/fetch/,GET,NOT_PROBED,yes,dailyprice / daily_price / daily_price_graph,,GET-that-WRITES per HARD-RULE.md; found in the live bundle; NOT CALLED
/daily-price/graph/,GET,404,NO,dailyprice / daily_price / daily_price_graph,,404 — route does not exist
/daily-price/highest-lowest/,GET,200,yes,dailyprice / daily_price / daily_price_graph,-1,"live read; keys: highest,lowest"
/daily-price/range/,GET,200,yes,dailyprice / daily_price / daily_price_graph,312,"live read; keys: id,commodity_name,factory_price,packing_cost_kg,with_gst_kg,with_gst_ltr,date,created_by"
/daily-price/trends/,GET,200,yes,dailyprice / daily_price / daily_price_graph,26,"live read; keys: labels,datasets"
/dashboard/,GET,404,NO,?,,404 — route does not exist
/dashboard/order/,GET,404,NO,?,,404 — route does not exist
/dashboard/snapshot/,GET,404,NO,?,,404 — route does not exist
/dc/,GET,200,yes,domesticcontract / domesticcontracts / domesticreports,180,500 on a bare call (int() TypeError); works with ?year=2025 (180 rows) and ?year=2026 (47 rows).
/dc/1/,GET,404,NO,domesticcontract / domesticcontracts / domesticreports,,404 — route does not exist
/dc/details/,GET,200,NO,domesticcontractdetails,144,"NEW. 144 rows of landed-cost detail per invoice: contract/load/unload qty, shortage + allowance + deduction, freight, brokerage, bilty charges, cost_per_mt / cost_per_kl / cost_per_ltr, transporter, vehicle. Sourced from 'D C.xlsx'."
/dc/dropdown/,GET,200,yes,domesticcontract / domesticcontracts / domesticreports,201,"live read; keys: id,po_number,vendor_code,vendor_name,product_code,product_name"
/dc/reports/,GET,404,NO,domesticcontract / domesticcontracts / domesticreports,,404 — route does not exist
/dc/summary/,GET,404,NO,domesticcontract / domesticcontracts / domesticreports,,404 — route does not exist
/director-inventorty/,GET,200,yes,director_report,0,"Buckets are the pipeline stages: finished, at_factory, otw, under_loading, at_refinery, mundra_port, on_the_sea, in_contract. All empty at this call."
/domestic-reports/,GET,404,NO,?,,404 — route does not exist
/exim-rates/,GET,404,NO,exim_rates,,404 — route does not exist
/exim-rates/latest/,GET,404,NO,exim_rates,,404 — route does not exist
/hana/,GET,404,NO,?,,404 — route does not exist
/hana/accounts/,GET,403,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,"NEW namespace — reads SAP HANA directly, per company (branch=OIL|BEVERAGES|MART). 403 for this login (module bank_accounts / finance_dashboard not granted)."
/hana/accounts/branches/,GET,404,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,404 — route does not exist
/hana/accounts/closing-balances/,GET,403,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,Guessed from the module name; 403 (so the route exists behind the same permission — a 404 would have said otherwise).
/hana/accounts/ledger,GET,403,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,"NEW. params branch, acct_code, from_date, to_date. 403 for this login."
/hana/accounts/monthly-trend/,GET,403,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,"NEW. params branch, acct_code, from_date, to_date. 403 for this login."
/hana/accounts/summary/,GET,403,NO,bank_accounts / finance_dashboard (NOT in the 62-model list),,NEW. 403 for this login.
/inventory/,GET,404,NO,?,,404 — route does not exist
