item,item_code,qty,uom,country,supplier,licence_or_contract,order_date,eta,arrived_date,days_elapsed,rate,currency,value_inr,status,source_endpoint,note
RAPESEED REFINED LOOSE OIL,RM0000048,499.8400,MT,UAE,EDIBLE OIL CO D LLC,PO 425226656,2025-04-14,,2025-05-07,23,1155.0000,USD/MT,50659408.80,RECEIVED (GRPO 2025056535),GET /pos/,landed_cost_inr=12987307.99; invoice=42101; sap_status=C
RAPESEED REFINED LOOSE OIL,RM0000048,499.7400,MT,UAE,EDIBLE OIL CO D LLC,PO 525226633,2025-05-01,,2025-05-19,18,1155.5085,USD/MT,48909759.41,RECEIVED (GRPO 2025056837),GET /pos/,landed_cost_inr=13464368.34; invoice=42173; sap_status=C
POMACE OLIVE LOOSE OIL IMPORTED,RM0000013,44.0000,MT,SPAIN,MIGASA ACEITES S L U,PO 525226500,2025-05-02,,2025-07-08,67,1843.0000,USD/MT,7775911.88,RECEIVED (GRPO 2025076991),GET /pos/,landed_cost_inr=4017532.66; invoice=ES25-009411; sap_status=C
EXTRA LIGHT OLIVE LOSSE OIL IMPORTED,RM0000012,5.4960,MT,SPAIN,MIGASA ACEITES S L U,PO 525226501,2025-05-02,,2025-07-23,82,2008.0000,USD/MT,1058238.97,RECEIVED (GRPO 2025076869),GET /pos/,landed_cost_inr=457173.93; invoice=ES25-009777; sap_status=C
EXTRA VIRGIN OLIVE OIL IMPORTED,RM0000014,10.9920,MT,SPAIN,MIGASA ACEITES S L U,PO 525226501,2025-05-02,,2025-07-23,82,3100.0000,USD/MT,3267470.93,RECEIVED (GRPO 2025076870),GET /pos/,landed_cost_inr=1467749.07; invoice=ES25-009777; sap_status=C
RAPESEED REFINED LOOSE OIL,RM0000048,499.2100,MT,UAE,EDIBLE OIL CO D LLC,PO 525226693,2025-05-12,,2025-06-23,42,1155.4396,USD/MT,49663082.93,RECEIVED (GRPO 2025066754),GET /pos/,landed_cost_inr=4644523.33; invoice=42243; sap_status=C
RAPESEED REFINED LOOSE OIL,RM0000048,499.2100,MT,UAE,EDIBLE OIL CO D LLC,PO 525226693,2025-05-12,,2025-06-10,29,1155.4396,USD/MT,49663082.93,RECEIVED (GRPO 2025066554),GET /pos/,landed_cost_inr=7731490.39; invoice=42243; sap_status=C
RAPESEED REFINED LOOSE OIL,RM0000048,499.2100,MT,UAE,EDIBLE OIL CO D LLC,PO 525226693,2025-05-12,,2025-06-14,33,1155.4396,USD/MT,49663082.93,RECEIVED (GRPO 2025066646),GET /pos/,landed_cost_inr=4643860.69; invoice=None; sap_status=C
RAPESEED REFINED LOOSE OIL,RM0000048,498.6400,MT,UAE,EDIBLE OIL CO D LLC,PO 625226657,2025-06-01,,2025-06-30,29,1156.6677,USD/MT,49832133.12,RECEIVED (GRPO 2025066914),GET /pos/,landed_cost_inr=13424449.32; invoice=42326; sap_status=C
CRUDE DEGUMMED RAPESEED OIL NEW,RM0000016,497.1900,MT,UAE,EDIBLE OIL CO D LLC,PO 725226639,2025-07-01,,2025-07-25,24,1090.1283,USD/MT,46904757.89,RECEIVED (GRPO 2025076905),GET /pos/,landed_cost_inr=13599728.58; invoice=4239; sap_status=C
