grain,source_endpoint,plan_month,month_label,month_absid,upload_id,version,is_latest,uploaded_by,uploaded_at,source_file,source_row,row_id,item_code,sap_item_exists,sap_item_name,sap_u_sub_group,sap_u_type,sap_u_variety,sap_inventory_uom,sap_qty_on_stock,brand,head,category,sub_category,sku,per_ltrs,ltrs_per_box,case_pack,commodity_monthly,commodity_w1,commodity_w2,commodity_w3,commodity_w4,premium_monthly,premium_w1,premium_w2,premium_w3,premium_w4,ecom_planning,monthly_planning,total_planning,quantity
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,105,102,FG0000030,YES,MUSTARD KACHI GHANI 1 LTR 20 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,4129,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.000,20.000,20.000,220000.00,55000.00,55000.00,55000.00,55000.00,0.00,0.00,0.00,0.00,0.00,470000.00,220000.00,690000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,5,2,FG0000142,YES,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,GROUNDNUT,PREMIUM,COLD PRESS,PCS,8846,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,35000.00,8750.00,8750.00,8750.00,8750.00,350000.00,35000.00,385000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,159,156,FG0000081,YES,COLD PRESS SUNFLOWER 1 LTR 20 PCS,SUNFLOWER,COMMODITY,COLD PRESS,PCS,10166,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1.000,20.000,20.000,10000.00,2500.00,2500.00,2500.00,2500.00,0.00,0.00,0.00,0.00,0.00,300000.00,10000.00,310000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,103,100,FG0000011,YES,MUSTARD KACCHI GHANI 5 LTR 4 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,3704,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5.000,20.000,4.000,30000.00,7500.00,7500.00,7500.00,7500.00,0.00,0.00,0.00,0.00,0.00,200000.00,30000.00,230000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,4,1,FG0000004,YES,COLD PRESS 5 LTR 4 PCS,CANOLA,PREMIUM,COLD PRESS,PCS,22995,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 5 LTR 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,150000.00,37500.00,37500.00,37500.00,37500.00,75000.00,150000.00,225000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,149,146,FG0000250,YES,SOYABEAN OIL 15 KGS,SOYABEAN,COMMODITY,REFINED,PCS,21,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 15 KGS,16.484,16.484,1.000,200000.00,50000.00,50000.00,50000.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,200000.00,200000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,27,24,FG0000028,YES,POMACE OLIVE 1 LTR 16 PCS,OLIVE,PREMIUM,POMACE,PCS,34590,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 1 LTR 16 PCS,1.000,16.000,16.000,0.00,0.00,0.00,0.00,0.00,80000.00,20000.00,20000.00,20000.00,20000.00,80000.00,80000.00,160000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,34,31,FG0000008,YES,POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,PREMIUM,POMACE,PCS,5373,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 5 LTR TIN 4 PCS,5.000,20.000,4.000,0.00,0.00,0.00,0.00,0.00,85000.00,21250.00,21250.00,21250.00,21250.00,70000.00,85000.00,155000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,143,140,FG0000194,YES,SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN,COMMODITY,REFINED,PCS,35522,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 1 LTR POUCH 12 PCS,1.000,12.000,12.000,100000.00,25000.00,25000.00,25000.00,25000.00,0.00,0.00,0.00,0.00,0.00,50000.00,100000.00,150000.00,
per_sku,GET /planning/uploads/1/,2026-09-01,PRODUCTION PLANING MONTH OF SEP 2026,,1,1,True,aahar831@gmail.com,2026-08-27T05:38:25.427998Z,PLANNING FOR SEP 2026.xlsx,117,114,FG0000136,YES,SANO MUSTARD OIL 1 LTR 20 PCS,MUSTARD,COMMODITY,MUSTARD KACCHI GHANI,PCS,4736,SANO,COMMODITY,MUSTARD,SANO MUSTARD,SANO MUSTARD OIL 1 LTR 20 PCS,1.000,20.000,20.000,100000.00,25000.00,25000.00,25000.00,25000.00,0.00,0.00,0.00,0.00,0.00,15000.00,100000.00,115000.00,
