item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
Cottonseed,,market_factory,170.4800,INR,per KG,2026-08-28,GET /daily-price/db-list/
Cottonseed,,market_factory_ltr,155.1368,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Cottonseed,,market_with_gst_ltr,176.2700,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Groundnut Filter,,market_factory,174.0000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Groundnut Filter,,market_factory_ltr,158.3400,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Groundnut Filter,,market_with_gst_ltr,179.6300,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Groundnut Refined,,market_factory,174.0000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Groundnut Refined,,market_factory_ltr,158.3400,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Groundnut Refined,,market_with_gst_ltr,179.6300,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Mustard Deo,,market_factory,162.0000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Mustard Deo,,market_factory_ltr,147.4200,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Mustard Deo,,market_with_gst_ltr,168.1700,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Mustard Kachi Ghani,,market_factory,174.5000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Mustard Kachi Ghani,,market_factory_ltr,158.7950,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Mustard Kachi Ghani,,market_with_gst_ltr,180.1100,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Mustard Refined,,market_factory,181.5000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Mustard Refined,,market_factory_ltr,165.1650,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
