tank,location,item,item_code,layer,qty,uom,capacity,pct_full,as_of,origin,rate,notes
TNK0002,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),RICE BRAN REFINED,RM00RBR,-,49000.00,L,50000.00,98.0,2026-08-29T06:01:02.337134Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK001,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),CANOLA 2B,RM00CN2,-,12000.00,L,50000.00,24.0,2026-08-29T06:00:47.558206Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK0021,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),SOYABEAN,RM00SB,-,19000.00,L,50000.00,38.0,2026-08-29T06:07:00.202621Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK0022,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),,,-,0.00,L,50000.00,0.0,2026-08-27T06:01:18.876472Z,,,"TANK row. tank_type=TANK, is_active=True. EMPTY - no item assigned."
TNK0023,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),POMACE,RM00POM,-,48000.00,L,50000.00,96.0,2026-08-21T08:04:23.538043Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK0024,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),GROUNDNUT REFINED,RM00GNR,-,25000.00,L,50000.00,50.0,2026-08-29T06:07:16.962934Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK0025,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),CANOLA,RM00CN,-,46500.00,L,50000.00,93.0,2026-08-06T05:17:26.145054Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK0026,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),,,-,0.00,L,50000.00,0.0,2026-08-29T06:07:27.879944Z,,,"TANK row. tank_type=TANK, is_active=True. EMPTY - no item assigned."
TNK0027,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),,,-,0.00,L,50000.00,0.0,2026-08-24T06:44:13.922535Z,,,"TANK row. tank_type=TANK, is_active=True. EMPTY - no item assigned."
TNK0028,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),CANOLA,RM00CN,-,46500.00,L,50000.00,93.0,2026-08-06T05:16:30.698019Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK003,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),POMACE,RM00POM,-,49000.00,L,50000.00,98.0,2026-08-29T06:01:35.684524Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK004,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD KACHI GHANI,RM0MKG,-,43000.00,L,50000.00,86.0,2026-08-29T06:02:11.952830Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK005,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD DEO,RM00MDEO,-,44500.00,L,50000.00,89.0,2026-08-27T05:57:22.047757Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK006,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),POMACE,RM00POM,-,25000.00,L,50000.00,50.0,2026-08-24T06:40:23.264384Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK007,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),EXTRA LIGHT 2B,RM0EL02,-,42000.00,L,50000.00,84.0,2026-08-29T06:02:31.740526Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK008,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),GROUNDNUT 2B,RMGNR02,-,30000.00,L,40000.00,75.0,2026-08-27T05:57:46.505584Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK009,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),EXTRA VIRGIN 2B,RM0EV02,-,14000.00,L,16000.00,87.5,2026-08-27T05:58:01.417054Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK010,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),CANOLA,RM00CN,-,37500.00,L,40000.00,93.75,2026-08-06T05:14:01.431681Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK011,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),YELLOW MUSTARD,RM00YM,-,25000.00,L,50000.00,50.0,2026-08-29T06:02:52.874291Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK012,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD KACHI GHANI,RM0MKG,-,34000.00,L,37000.00,91.89,2026-08-27T05:58:50.061189Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK013,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD KACHI GHANI,RM0MKG,-,33000.00,L,37000.00,89.19,2026-08-24T06:41:57.436602Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK014,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),POMACE 2B,RM00P02,-,16000.00,L,37000.00,43.24,2026-08-29T06:03:40.859792Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK015,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD PAKKI GHANI,RM0PKG2,-,34000.00,L,37000.00,91.89,2026-08-29T06:09:16.546244Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK016,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),POMACE 2B,RM00P02,-,8000.00,L,16000.00,50.0,2026-08-29T06:04:54.769353Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK017,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD KACHI GHANI 2B,RMMKG02,-,98000.00,L,100000.00,98.0,2026-08-27T06:00:34.887219Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK018,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),MUSTARD KACHI GHANI 2B,RMMKG02,-,96000.00,L,100000.00,96.0,2026-08-27T06:00:48.792664Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK019,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),EXTRA LIGHT,RM0EL,-,10000.00,L,20000.00,50.0,2026-08-29T06:05:19.362756Z,,,"TANK row. tank_type=TANK, is_active=True."
TNK020,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),SESAME 2,RM00SESM 2,-,5500.00,L,16000.00,34.38,2026-08-29T06:11:21.268002Z,,,"TANK row. tank_type=TANK, is_active=True."
TOT001,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),VIRGIN COCONUT OIL,RM00VCCNT,-,10200.00,L,20000.00,51.0,2026-08-26T05:53:40.136460Z,,,"TANK row. tank_type=TOTES, is_active=True."
TOT002,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),SESAME,RM0SESM,-,3000.00,L,20000.00,15.0,2026-08-25T13:36:18.421996Z,,,"TANK row. tank_type=TOTES, is_active=True."
TOT003,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),COCONUT OIL 2B,RM00CCNT2B,-,600.00,L,10000.00,6.0,2026-07-06T07:25:19.567509Z,,,"TANK row. tank_type=TOTES, is_active=True."
TOT004,Sonipat Factory (INFERRED - EXIM has no location field on a tank; director-inventorty files all tank oil under at_factory.in_tank),,,-,0.00,L,5500.00,0.0,2026-06-18T05:53:28.943775Z,,,"TANK row. tank_type=TOTES, is_active=True. EMPTY - no item assigned."
TOT003,Sonipat Factory (INFERRED),COCONUT OIL 2B,RM00CCNT2B,UNMATCHED,600.00,L,10000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TNK010|TNK0028|TNK0025,RAJASTHAN,CANOLA,RM00CN,L1,20651.63,L,140000.00,,2026-04-18T08:15:46.496624Z,ALBA EDIBLE OILS PTY LTD / held at RAJASTHAN / Australia (INFERRED from 'PTY LTD'),121.940,"LAYER row (FIFO batch). stock_id=320 vehicle=RJ47GA1756 transporter=N/A batch_qty=20651.63L batch_value=INR 2,518,259.76 rate_kg=134.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK010|TNK0028|TNK0025,RAJASTHAN,CANOLA,RM00CN,L2,25678.00,L,140000.00,,2026-04-18T08:16:56.892194Z,ALBA EDIBLE OILS PTY LTD / held at RAJASTHAN / Australia (INFERRED from 'PTY LTD'),121.940,"LAYER row (FIFO batch). stock_id=321 vehicle=RJ47GA1756 transporter=N/A batch_qty=25678.00L batch_value=INR 3,131,175.32 rate_kg=134.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK010|TNK0028|TNK0025,RAJASTHAN,CANOLA,RM00CN,L3,43747.21,L,140000.00,,2026-04-18T08:18:28.041303Z,ALBA EDIBLE OILS PTY LTD / held at RAJASTHAN / Australia (INFERRED from 'PTY LTD'),121.940,"LAYER row (FIFO batch). stock_id=322 vehicle=RJ32GD2788 transporter=N/A batch_qty=43747.21L batch_value=INR 5,334,534.79 rate_kg=134.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK010|TNK0028|TNK0025,"SONIPAT, FACTORY",CANOLA,RM00CN,L4,40423.16,L,140000.00,,2026-06-29T10:56:36.599334Z,"GRAINCORP OILSEEDS PTY LTD / held at SONIPAT, FACTORY / Australia (INFERRED from 'PTY LTD')",127.400,"LAYER row (FIFO batch). stock_id=605 vehicle=RJ47GA2009 transporter=RK TANKER SERVICE batch_qty=43637.32L batch_value=INR 5,149,910.58 rate_kg=140.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK001,Sonipat Factory (INFERRED),CANOLA 2B,RM00CN2,UNMATCHED,12000.00,L,50000.00,,2026-08-29T11:24Z,UNKNOWN - no IN_TANK stock record covers this oil,,"UNMATCHED row. Oil physically in the tank that EXIM cannot tie to any purchase batch, so it has NO origin, NO vendor and NO rate. EXIM's own warning: Tank has capacity but no IN_TANK stock records found. Average cost cannot be computed."
TNK0024,Sonipat Factory,GROUNDNUT REFINED,RM00GNR,L1,21000.00,L,50000.00,,2026-04-23T07:09:32.172127Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),155.257,"LAYER row (FIFO batch). stock_id=333 vehicle=N/A transporter=N/A batch_qty=21000.00L batch_value=INR 3,260,397.00 rate_kg=170.612. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK0024,"SONIPAT, FACTORY",GROUNDNUT REFINED,RM00GNR,L2,4000.00,L,50000.00,,2026-06-13T13:54:02.237728Z,"DHANLAXMI EDIBLES PRIVATE LIMITED / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",147.420,"LAYER row (FIFO batch). stock_id=544 vehicle=RJ47GA8216 transporter=RK TANKER SERVICE batch_qty=45032.92L batch_value=INR 589,680.00 rate_kg=162.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK005,GUJARAT,MUSTARD DEO,RM00MDEO,L1,44461.49,L,50000.00,,2026-05-21T07:06:21.110052Z,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED / held at GUJARAT / India (INFERRED - domestic vendor/no foreign marker),130.130,"LAYER row (FIFO batch). stock_id=451 vehicle=RJ47GA7520 transporter=RK TANKER SERVICE batch_qty=44461.49L batch_value=INR 5,785,773.69 rate_kg=143.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK005,"SONIPAT, FACTORY",MUSTARD DEO,RM00MDEO,L2,38.51,L,50000.00,,2026-08-21T07:46:07.534038Z,"VAISHNODEVI REFOILS AND SOLEX / held at SONIPAT, FACTORY / India (INFERRED - domestic vendor/no foreign marker)",146.965,"LAYER row (FIFO batch). stock_id=729 vehicle=RJ47GA1756 transporter=RK TANKER SERVICE batch_qty=43846.11L batch_value=INR 5,659.62 rate_kg=161.5. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK014|TNK016,Sonipat Factory,POMACE 2B,RM00P02,L1,24000.00,L,53000.00,,2026-04-23T07:13:27.150702Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),279.640,"LAYER row (FIFO batch). stock_id=334 vehicle=N/A transporter=N/A batch_qty=49000.00L batch_value=INR 6,711,360.00 rate_kg=307.296. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK0023|TNK003|TNK006,Sonipat Factory,POMACE,RM00POM,L1,46500.00,L,150000.00,,2026-04-23T07:15:14.715053Z,JIVO WELLNESS PVT LTD - DL / held at Sonipat Factory / India (INFERRED - domestic vendor/no foreign marker),205.290,"LAYER row (FIFO batch). stock_id=335 vehicle=N/A transporter=N/A batch_qty=46500.00L batch_value=INR 9,545,985.00 rate_kg=225.593. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
TNK0023|TNK003|TNK006,"SONIPAT, FACTORY",POMACE,RM00POM,L2,48065.89,L,150000.00,,2026-08-13T05:27:15.726313Z,"MIGASA ACEITES S L U / held at SONIPAT, FACTORY / Spain (INFERRED from 'S L U')",318.500,"LAYER row (FIFO batch). stock_id=720 vehicle=RJ47GA8215 transporter=RK TANKER SERVICE batch_qty=48065.89L batch_value=INR 15,308,985.96 rate_kg=350.0. NOT pinned to one tank - EXIM matches layers to an ITEM, not a tank; the tank column lists every tank holding this item."
