consignment,item,item_code,qty,uom,origin,destination,dispatched,eta,arrived,days,status,vehicle
305,SOYABEAN,RM00SB,45857.10,L,Sonipat Factory,Sonipat Factory,,,2026-04-18,0.0,IN_TANK,RJ14GQ1756
306,RICE BRAN REFINED,RM00RBR,32769.20,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",,,2026-04-18,0.0,IN_TANK,GJ39TA8718
307,MUSTARD KACHI GHANI 2B,RMMKG02,43351.60,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-18,2026-04-21,3.0,IN_TANK,RJ47GB0492
308,SOYABEAN,RM00SB,43879.08,L,Mundra,Mundra,,,,133.0,IN_CONTRACT/DELETED,
309,GROUNDNUT REFINED,RM00GNR,46153.80,L,"GONDAL, GUJARAT","GONDAL, GUJARAT",,,,133.0,IN_CONTRACT/DELETED,
310,MUSTARD KACHI GHANI,RM0MKG,42835.12,L,"BUNDI, RAJASTHAN","BUNDI, RAJASTHAN",2026-05-11,,,110.0,ON_THE_WAY/DELETED,
311,CRUDE CANOLA,RM0CDRO,41021.94,L,SINGAPORE,MUNDRA,2026-04-18,2026-06-23,2026-06-23,66.0,MUNDRA_PORT/DELETED,EVER LENIENT 066W
312,CANOLA,RM00CN,1333.19,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
313,COCONUT,RM0CCNT,2197.80,L,TAMIL NADU,"SONIPAT, FACTORY",2026-04-18,2026-04-18,2026-04-21,3.0,IN_TANK,TN39DE9213
314,COCONUT,RM0CCNT,2197.80,L,TAMIL NADU,"SONIPAT, FACTORY",2026-04-18,2026-04-24,2026-04-25,7.0,IN_TANK,TN78V4083
315,CANOLA,RM00CN,2872.52,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
316,CANOLA,RM00CN,3859.34,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
317,CANOLA,RM00CN,0.88,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
318,CANOLA,RM00CN,19268.11,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
319,CANOLA,RM00CN,23450.53,L,RADHANPUR,RADHANPUR,,,2026-04-18,0.0,AT_REFINERY/DELETED,
320,CANOLA,RM00CN,20651.63,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-20,2026-04-21,3.0,IN_TANK,RJ47GA1756
321,CANOLA,RM00CN,25678.00,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-20,2026-04-21,3.0,IN_TANK,RJ47GA1756
322,CANOLA,RM00CN,43747.21,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-20,2026-04-21,3.0,IN_TANK,RJ32GD2788
323,CANOLA,RM00CN,45208.75,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-20,2026-04-21,3.0,COMPLETED,RJ47GA3056
324,CANOLA,RM00CN,45648.31,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-21,2026-04-21,3.0,COMPLETED,RJ47GA7522
325,CANOLA,RM00CN,45846.11,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-21,2026-04-21,3.0,COMPLETED,RJ47GA1956
326,CANOLA,RM00CN,3150.55,L,RAJASTHAN,RAJASTHAN,2026-04-18,2026-04-21,2026-04-21,3.0,COMPLETED,RJ47GA7523
327,CANOLA,RM00CN,42387.87,L,RAJASTHAN,"SONIPAT, FACTORY",2026-04-18,2026-04-21,2026-04-21,3.0,COMPLETED,RJ47GA7523
331,SOYABEAN,RM00SB,43901.06,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",2026-04-23,2026-04-22,2026-04-23,0.0,COMPLETED,GJ39TB0929
332,COLDPRESS CANOLA,RM00CPC,9200.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
333,GROUNDNUT REFINED,RM00GNR,21000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
334,POMACE 2B,RM00P02,49000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
335,POMACE,RM00POM,46500.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
336,GROUNDNUT FILTER,RM0GNF,44800.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
337,RICEBRAN 2B,RM0RB02,7500.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
338,COTTONSEED,RM00CSR,9500.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
339,MUSTARD KACHI GHANI 3C,RM0MKG03,55000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
340,EXTRA VIRGIN,RM0EV,8000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
342,EXTRA LIGHT,RM0EL,35800.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
343,EXTRA LIGHT 2B,RM0EL02,18000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
344,MUSTARD KACHI GHANI,RM0MKG,15000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
345,GOLD,RM00GD,40000.00,L,Sonipat Factory,Sonipat Factory,,,,128.0,IN_TANK,
346,CANOLA,RM00CN,38619.74,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",2026-04-23,,2026-04-23,0.0,COMPLETED,RJ47GA8216
347,CANOLA,RM00CN,45791.16,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",2026-04-23,2026-04-22,2026-04-23,0.0,COMPLETED,RJ47GA8215
348,MUSTARD KACHI GHANI,RM0MKG,42714.24,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",2026-04-23,2026-04-21,2026-04-23,0.0,IN_TANK,GJ12BX5999
349,MUSTARD KACHI GHANI,RM0MKG,42769.19,L,RAJASTHAN,RAJASTHAN,2026-04-23,2026-04-23,2026-04-23,0.0,COMPLETED,GJ12BV9556
350,CANOLA,RM00CN,3859.34,L,"SONIPAT, FACTORY","SONIPAT, FACTORY",2026-04-23,2026-04-22,2026-04-23,0.0,COMPLETED,RJ47GA8216
351,CANOLA,RM00CN,2872.52,L,RADHANPUR,RADHANPUR,2026-04-23,2026-04-22,2026-04-22,0.0,COMPLETED,RJ47GA8216
352,MUSTARD REFINED DARK,RM00MRD,3461.54,L,RADHANPUR,RADHANPUR,,,,128.0,IN_CONTRACT/DELETED,
353,MUSTARD REFINED DARK,RM00MRD,44417.54,L,RADHANPUR,GUJARAT,2026-04-23,2026-04-26,2026-04-26,3.0,IN_TANK,RJ47GB2009
354,CANOLA,RM00CN,3402.19,L,RADHANPUR,"SONIPAT, FACTORY",2026-04-24,2026-04-23,2026-04-24,0.0,COMPLETED,RJ47GA2009
355,CANOLA,RM00CN,45483.47,L,RADHANPUR,RADHANPUR,2026-04-24,2026-04-21,2026-04-24,0.0,COMPLETED,RJ47GA6771
356,GROUNDNUT REFINED,RM00GNR,45505.45,L,"GONDAL, GUJARAT",RAJASTHAN,2026-04-24,2026-04-28,2026-04-28,4.0,COMPLETED,RJ47GA7522
357,SOYABEAN,RM00SB,42868.09,L,"BUNDI, RAJASTHAN",GUJARAT,2026-04-24,2026-04-28,2026-04-28,4.0,COMPLETED,GJ12BX7799
358,CANOLA,RM00CN,23395.58,L,RADHANPUR,"SONIPAT, FACTORY",2026-04-24,2026-04-23,2026-04-24,0.0,COMPLETED,RJ47GA2009
359,CANOLA,RM00CN,19213.17,L,RADHANPUR,"SONIPAT, FACTORY",2026-04-24,2026-04-23,2026-04-24,0.0,COMPLETED,RJ47GA2009
