section,company,date,ref,status,party,vehicle_no,warehouse,item_code,item_name,qty,uom,litres,value_inr,in_sap,lag_days,evidence,note
CHAIN_STEP,ALL,,01,OMS order,,,,,order-processing/orders state RECEIVED -> STOCK_CHECKED -> READY_FOR_FULFILLMENT / PRODUCTION_REQUIRED,,,,,,,GET /order-processing/dashboard/ + /order-processing/orders/,2281 orders mirrored; 2238 (98%) still RECEIVED = never stock-checked. Mirror sync FAILED since 2026-08-17 (No route to host 103.89.45.75:5432) -> this half of the chain is DEAD.
CHAIN_STEP,ALL,,02,SAP sales order (ORDR),,,,,DocStatus O (open) / C (closed),,,,,,,hana-sql ORDR,"1,385 Oil sales orders 2026-06-01..08-30 (125 open, 1,260 closed). 3,381 of 3,739 Oil invoice lines carry INV1.BaseType=17 = copied from a sales order."
CHAIN_STEP,ALL,,03,SAP A/R invoice (OINV),,,,,"DocStatus O/C; DocSubType GA = goods invoice, GD = value-only (moves NO stock)",,,,,,,hana-sql OINV/INV1/OINM,"*** THIS IS WHERE SAP TAKES THE STOCK OUT *** OINM TransType 13, OutQty, dated OINV.DocDate. 1,620 of 1,710 Oil invoices moved stock; the other 90 are DocType='S' service or DocSubType='GD'."
CHAIN_STEP,ALL,,04,App reads the bill,,,,,plan.booking_status PENDING -> BOOKED -> DISPATCHED / CANCELLED,,,,,,,GET /dispatch-plans/bills/,"The factory app does not create the invoice. It reads SAP's invoice and hangs a dispatch plan on it (vehicle, transporter, driver, bilty, freight, planned dispatch_date, priority, remarks)."
CHAIN_STEP,ALL,,05,Truck booked,,,,,pipeline stage BOOKED,,,,,,,GET /dispatch-plans/pipeline/,Plan gets a vehicle + planned dispatch_date. Nothing physical yet.
CHAIN_STEP,ALL,,06,Truck gate-in,,,,,stage EMPTY_IN; entry EVGI-YYYYMMDD-NNNN; arrival status INSIDE / LOADING / DEPARTED,,,,,,,GET /gate-core/arrivals/ + /gate-core/inside-dispatch-vehicles/,One arrival = one truck; one empty-vehicle-in per company on that truck.
CHAIN_STEP,ALL,,07,Ready to dock,,,,,stage READY_TO_DOCK,,,,,,,GET /dispatch-plans/pipeline/,0 cards sitting here on 2026-08-30.
CHAIN_STEP,ALL,,08,Docked / loading,,,,,stage DOCKED; sales_dispatch entry DOCK-YYYYMMDD-NNNN; docked_at,,,,,,,GET /gate-core/sales-dispatch/,Boxes scanned against the bill (box-scans). Shortfalls go to the docking-admin exception queue.
CHAIN_STEP,ALL,,09,Truck photo,,,,,stage PHOTO_ATTACHED; truck_photo + photo_latitude/longitude/uploaded_at,,,,,,,GET /gate-core/sales-dispatch/,Geotagged photo of the loaded truck.
CHAIN_STEP,ALL,,10,Ready for gatepass,,,,,stage READY_FOR_GATEPASS,,,,,,,GET /dispatch-plans/pipeline/,
CHAIN_STEP,ALL,,11,Gatepass printed,,,,,"stage GATEPASS_PRINTED; printed_at, gatepass_no DCK/<COMPANY>/2026-27/NNNNNN",,,,,,,GET /gate-core/sales-dispatch/,Median 3 minutes after docked_at.
CHAIN_STEP,ALL,,12,Print committed,,,,,stage PRINT_COMMITTED; print_committed_at,,,,,,,GET /gate-core/sales-dispatch/,Median 0 minutes after print - it is one operator action in practice.
CHAIN_STEP,ALL,,13,GATE-OUT,,,,,stage DISPATCHED; dispatched_at + gate_out_date + out_time; arrival goes DEPARTED,,,,,,,GET /gate-core/sales-dispatch/,"*** THIS IS WHERE THE MATERIAL PHYSICALLY LEAVES *** Median 11 minutes after print-commit, 24 minutes after docking."
CHAIN_STEP,ALL,,14,On the road,,,,,dispatch-tracking status DISPATCHED -> IN_TRANSIT -> REACHED_DESTINATION -> UNLOADING -> DELIVERED / PARTIALLY_DELIVERED / RETURNED / DELAYED / CLOSED,,,,,,,GET /gate-core/dispatch-tracking/,"Aug: 475 dispatched, 257 delivered, 192 never updated, 23 overdue, on-time rate 31%, avg transit 4.2 d."
CHAIN_STEP,ALL,,15,Freight booked,,,,,bilty -> service GRPO (DRAFT/PENDING/POSTED/FAILED/PARTIALLY_POSTED) -> transporter A/P invoice,,,,,,,GET /dispatch/bilty-grpo/pending|history/,Transporter A/P invoice feature has never been used in production (history empty in all 3 companies).
TWO_EVENTS,JIVO_OIL,OINV.DocDate,BOOK_OUT,SAP decrements here,,,,,,,,,,,,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM,"Event = A/R invoice posted. OINM TransType 13 writes OutQty against the warehouse on OINV.DocDate; OITW.OnHand drops that instant. No delivery note in the normal flow - only 40 ODLN rows since 2026-06-01, last 2026-08-01, so the invoice IS the goods issue."
TWO_EVENTS,JIVO_OIL,sales_dispatch.gate_out_date + out_time,PHYSICAL_OUT,material leaves here,,,,,,,,,,,,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"Event = gate-out. sales_dispatch.status flips to DISPATCHED, dispatched_at/out_time stamped, gatepass DCK/<CO>/2026-27/NNNNNN committed, arrival goes DEPARTED. SAP has no field for this and never learns it."
TWO_EVENTS,ALL,,NO_WRITE_BACK,the gate-out never reaches SAP,,,,,,,,,,,,GET /barcode/dispatch/settings/ + /barcode/dispatch/sessions/active|completed/,"require_sap_sync_on_completion = false, and all 133 dispatch sessions read sap_update_status = sap_sync_status = NOT_CONFIGURED. There is a SAP write-back path (retry-sap-sync, sap-sync-logs) and it is switched OFF. SAP therefore has no field, and no feed, that could ever tell it the truck left - which is exactly why OITW.OnHand is a post-invoice number and can never be a physical one."
LAG_INVOICE_TO_GATEOUT,JIVO_MART,,all-warehouses,,,,,,,225,dispatches,,,,median 2 / mean 3.75 / p90 11 / max 25,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"same-day 27 (12%), next-day 68, 2+ days 130"
LAG_INVOICE_TO_GATEOUT,JIVO_OIL,,all-warehouses,,,,,,,313,dispatches,,,,median 2 / mean 4.67 / p90 10 / max 55,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"same-day 9 (3%), next-day 108, 2+ days 196"
LAG_INVOICE_TO_GATEOUT,JIVO_BEVERAGES,,all-warehouses,,,,,,,786,dispatches,,,,median 1 / mean 2.29 / p90 4 / max 43,GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"same-day 57 (7%), next-day 415, 2+ days 314"
