section,company,date,ref,stage,status,party,vehicle_no,transporter,destination,item_or_doc,qty,uom,litres,hours,days,count,verified,evidence,note
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,BOOKED,,,,,,,,,,,,3,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 1/10 - a SAP A/R invoice is picked on the Dispatch Plans screen and a vehicle+transporter+driver+planned dispatch date are attached to it. Creates the dispatch_plan row.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,EMPTY_IN,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 2/10 - the empty truck is gate-in-ed. One EVGI-* entry PER COMPANY it will load for. Creates the arrival (ARV-*) if the truck is new at the plate.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,READY_TO_DOCK,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 3/10 - the gate-in entry is linked to the booked bill(s); the truck is queued for a dock.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,DOCKED,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,"step 4/10 - the docking record (DOCK-*) opens. From here the bill is locked to this truck; the app tells you why a bill can no longer be removed (""loading has started (boxes scanned)"")."
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,PHOTO_ATTACHED,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,"step 5/10 - a photo of the loaded truck is uploaded, with GPS lat/long stamped on it."
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,READY_FOR_GATEPASS,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 6/10 - scan counts reconcile against the invoice; any short/skip goes to the docking-admin exception queue for a supervisor.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,GATEPASS_PRINTED,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 7/10 - gatepass DCK/<COMPANY>/2026-27/###### is printed with a random_code on it.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,PRINT_COMMITTED,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 8/10 - the print is committed - the gatepass can no longer be silently reprinted without a reprint record.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,DISPATCHED,,,,,,,,,,,,98,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 9/10 - security marks the truck out. dispatched_at + gate_out_date/out_time are stamped. THIS is the moment the godown space is actually free.
LIFECYCLE_STAGE,,2026-08-27..2026-09-13,,REJECTED,,,,,,,,,,,,0,VERIFIED,GET /dispatch-plans/pipeline/?all_companies=1,step 10/10 - off-ramp: the docking is rejected/cancelled with a reason and the bill goes back to the pool.
