module,path,method,cli_command,status,known_in_repo,row_count,notes
Admin,/accounts/change-password/,POST,,not probed,no,,write-shaped path segment | registry:AUTH.CHANGE_PASSWORD
Admin,/accounts/departments/,GET|POST,accounts departments,200,binary+spec,19,live | registry:ACCOUNTS.DEPARTMENTS
Admin,/accounts/login/,POST,,not probed,no,,write-shaped path segment | registry:AUTH.LOGIN
Admin,/accounts/logout/,UNRESOLVED,,not probed,no,,write-shaped path segment | registry:AUTH.LOGOUT | verb unresolved in bundle
Admin,/accounts/me/,GET,accounts me,200,binary+spec,obj,live | registry:AUTH.ME
Admin,/accounts/token/refresh/,POST,,not probed,no,,write-shaped path segment | registry:AUTH.REFRESH
Admin,/accounts/users/,GET,accounts users,200,binary+spec,99,live | registry:ACCOUNTS.USERS
Admin,/ai/assistant/chat/,POST,,not probed,no,,no GET evidence | registry:AI.ASSISTANT_CHAT
Admin,/company/companies/,GET,company,200,binary+spec,3,live
Admin,/docking-admin/partial-scan-requests/,POST,docking-admin partial-scan-requests,200,binary+spec,131,live | registry:DOCKING_ADMIN.PARTIAL_SCAN_REQUESTS
Admin,/docking-admin/partial-scan-requests/by-sales-dispatch/{id}/,GET,,not probed,spec-only,,needs id | registry:DOCKING_ADMIN.PARTIAL_SCAN_REQUEST_BY_DISPATCH
Admin,/docking-admin/partial-scan-requests/{id}/approve/,POST,,not probed,no,,write-shaped path segment | registry:DOCKING_ADMIN.PARTIAL_SCAN_REQUEST_APPROVE
Admin,/docking-admin/partial-scan-requests/{id}/reject/,POST,,not probed,no,,write-shaped path segment | registry:DOCKING_ADMIN.PARTIAL_SCAN_REQUEST_REJECT
Admin,/docking-admin/scan-skip-requests/,POST,docking-admin scan-skip-requests,200,binary+spec,49,live | registry:DOCKING_ADMIN.SCAN_SKIP_REQUESTS
Admin,/docking-admin/scan-skip-requests/by-sales-dispatch/{id}/,GET,,not probed,spec-only,,needs id | registry:DOCKING_ADMIN.SCAN_SKIP_REQUEST_BY_DISPATCH
Admin,/docking-admin/scan-skip-requests/{id}/approve/,POST,,not probed,no,,write-shaped path segment | registry:DOCKING_ADMIN.SCAN_SKIP_REQUEST_APPROVE
Admin,/docking-admin/scan-skip-requests/{id}/reject/,POST,,not probed,no,,write-shaped path segment | registry:DOCKING_ADMIN.SCAN_SKIP_REQUEST_REJECT
Barcode,/barcode/activity/,GET,,200,spec-only,866039,live | registry:BARCODE.ACTIVITY_LIST
Barcode,/barcode/activity/recent/,GET,,200,spec-only,15,live | registry:BARCODE.ACTIVITY_RECENT
Barcode,/barcode/boxes/,GET,barcode boxes,200,binary+spec,500,live | registry:BARCODE.BOXES
Barcode,/barcode/boxes/generate/,POST,,not probed,no,,write-shaped path segment | registry:BARCODE.BOXES_GENERATE
Barcode,/barcode/boxes/{id}/,GET,barcode box,not probed,binary+spec,,needs id | registry:BARCODE.BOX_DETAIL
Barcode,/barcode/boxes/{id}/dismantle/,POST,,not probed,no,,needs id | registry:BARCODE.DISMANTLE_BOX
Barcode,/barcode/boxes/{id}/history/,GET,barcode box-history,not probed,binary+spec,,needs id | registry:BARCODE.BOX_HISTORY
Barcode,/barcode/boxes/{id}/void/,POST,,not probed,no,,needs id | registry:BARCODE.BOX_VOID
Barcode,/barcode/dispatch/bills/lookup/,POST,,not probed,no,,no GET evidence | registry:BARCODE.DISPATCH_BILL_LOOKUP
