section,company,date,ref,entry_type,status,party,vehicle_no,po_or_doc,item_code,item_name,qty,uom,value_inr,metric,value,unit,in_sap,lag_days,evidence,note
ENTRY_TYPE,JIVO_BEVERAGES,2026-06-16..2026-06-20,,DAILY_NEED,COMPLETED=3,,,,,,,,,gate_entries_all_time,3,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"category, supplier, material lines (name, qty, unit), receiving department, bill number, delivery challan number, canteen supervisor, remarks"
ENTRY_TYPE,JIVO_BEVERAGES,2026-06-15..2026-08-30,,EMPTY_VEHICLE,COMPLETED=812; CANCELLED=11; IN_PROGRESS=1,,,,,,,,,gate_entries_all_time,824,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver, arrival record (ARV-), tare weight at the gate, weighbridge slip no, gate-in/out times, departure timestamp; reason list (4 reasons)"
ENTRY_TYPE,JIVO_BEVERAGES,2026-07-10..2026-07-10,,FIXED_ASSET,COMPLETED=1,,,,,,,,,gate_entries_all_time,1,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"work order number (FA-2026-nnn), supplier, invoice number, asset item lines (asset name, asset category, serial number, qty, unit), inward time"
ENTRY_TYPE,JIVO_BEVERAGES,2026-04-24..2026-04-24,,MAINTENANCE,COMPLETED=1,,,,,,,,,gate_entries_all_time,1,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"work order number, maintenance type, supplier, material description, part number, qty+unit, invoice number, receiving department, urgency level, inward time (equipment_id and maintenance_link exist but are NEVER filled)"
ENTRY_TYPE,JIVO_BEVERAGES,2026-02-20..2026-08-30,,RAW_MATERIAL,COMPLETED=56; QC_COMPLETED=21; ARRIVAL_SLIP_REJECTED=9; QC_PENDING=1,,,,,,,,,gate_entries_all_time,87,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver+transporter; security check; weighbridge gross/tare/net/challan/slip; PO receipts (po_number, po_date, supplier) -> item lines (ordered/received/short qty, uom); QA arrival slip (particulars, party, billing qty+uom, declared arrival time, truck no as per bill, commercial invoice no, e-way bill, bilty, COA/COQ flags, weighing_required); QC inspection (report/lot no, material type, chemist decision, QA-manager decision, final status)"
ENTRY_TYPE,JIVO_BEVERAGES,2026-06-16..2026-08-30,,SALES_DISPATCH,COMPLETED=785; CANCELLED=9; IN_PROGRESS=6,,,,,,,,,gate_entries_all_time,800,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"arrival + docking; SAP INVOICE header (doc entry/num/date/total, branch, reference, customer, ship-to, GSTIN, place of supply); line items (item, qty, uom, rate, warehouse, base ref, litres/boxes/loose); e-way bill; bilty no+date; freight; weighbridge gross/tare/net; truck photo with GPS; gatepass no + QR + print/commit/dispatch timestamps; box/barcode scans; attachments"
ENTRY_TYPE,JIVO_MART,2026-06-16..2026-08-30,,EMPTY_VEHICLE,COMPLETED=230,,,,,,,,,gate_entries_all_time,230,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver, arrival record (ARV-), tare weight at the gate, weighbridge slip no, gate-in/out times, departure timestamp; reason list (4 reasons)"
ENTRY_TYPE,JIVO_MART,2026-05-02..2026-05-19,,RAW_MATERIAL,QC_PENDING=5,,,,,,,,,gate_entries_all_time,5,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver+transporter; security check; weighbridge gross/tare/net/challan/slip; PO receipts (po_number, po_date, supplier) -> item lines (ordered/received/short qty, uom); QA arrival slip (particulars, party, billing qty+uom, declared arrival time, truck no as per bill, commercial invoice no, e-way bill, bilty, COA/COQ flags, weighing_required); QC inspection (report/lot no, material type, chemist decision, QA-manager decision, final status)"
ENTRY_TYPE,JIVO_MART,2026-06-16..2026-08-30,,SALES_DISPATCH,COMPLETED=225; IN_PROGRESS=4; CANCELLED=3,,,,,,,,,gate_entries_all_time,232,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"arrival + docking; SAP INVOICE header (doc entry/num/date/total, branch, reference, customer, ship-to, GSTIN, place of supply); line items (item, qty, uom, rate, warehouse, base ref, litres/boxes/loose); e-way bill; bilty no+date; freight; weighbridge gross/tare/net; truck photo with GPS; gatepass no + QR + print/commit/dispatch timestamps; box/barcode scans; attachments"
ENTRY_TYPE,JIVO_OIL,2026-02-19..2026-04-23,,CONSTRUCTION,COMPLETED=24; DRAFT=1; IN_PROGRESS=1,,,,,,,,,gate_entries_all_time,26,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"work order number, project name, material category, contractor name, material description, qty+unit, challan number, invoice number, site engineer, security approval, inward time"
ENTRY_TYPE,JIVO_OIL,2026-02-28..2026-08-29,,DAILY_NEED,COMPLETED=203; IN_PROGRESS=7; DRAFT=3,,,,,,,,,gate_entries_all_time,213,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"category, supplier, material lines (name, qty, unit), receiving department, bill number, delivery challan number, canteen supervisor, remarks"
ENTRY_TYPE,JIVO_OIL,2026-06-11..2026-08-30,,EMPTY_VEHICLE,COMPLETED=327,,,,,,,,,gate_entries_all_time,327,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver, arrival record (ARV-), tare weight at the gate, weighbridge slip no, gate-in/out times, departure timestamp; reason list (4 reasons)"
ENTRY_TYPE,JIVO_OIL,2026-07-06..2026-08-25,,FIXED_ASSET,COMPLETED=7; IN_PROGRESS=2,,,,,,,,,gate_entries_all_time,9,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"work order number (FA-2026-nnn), supplier, invoice number, asset item lines (asset name, asset category, serial number, qty, unit), inward time"
ENTRY_TYPE,JIVO_OIL,2026-05-15..2026-07-27,,JOB_WORK,COMPLETED=11; IN_PROGRESS=3,,,,,,,,,gate_entries_all_time,14,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle/driver/transporter, gate-in date + in time, security name; SAP doc + production-order fields exist but are ALL EMPTY on every one of the 14 records; items[] always empty"
ENTRY_TYPE,JIVO_OIL,2026-02-19..2026-07-06,,MAINTENANCE,COMPLETED=24; IN_PROGRESS=8,,,,,,,,,gate_entries_all_time,32,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"work order number, maintenance type, supplier, material description, part number, qty+unit, invoice number, receiving department, urgency level, inward time (equipment_id and maintenance_link exist but are NEVER filled)"
ENTRY_TYPE,JIVO_OIL,2026-02-19..2026-08-30,,RAW_MATERIAL,COMPLETED=556; QC_COMPLETED=157; QC_PENDING=24; ARRIVAL_SLIP_REJECTED=15; QC_AWAITING_QAM=3,,,,,,,,,gate_entries_all_time,755,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"vehicle+driver+transporter; security check; weighbridge gross/tare/net/challan/slip; PO receipts (po_number, po_date, supplier) -> item lines (ordered/received/short qty, uom); QA arrival slip (particulars, party, billing qty+uom, declared arrival time, truck no as per bill, commercial invoice no, e-way bill, bilty, COA/COQ flags, weighing_required); QC inspection (report/lot no, material type, chemist decision, QA-manager decision, final status)"
ENTRY_TYPE,JIVO_OIL,2026-06-16..2026-08-30,,SALES_DISPATCH,COMPLETED=313; CANCELLED=10; IN_PROGRESS=4,,,,,,,,,gate_entries_all_time,327,entries,,,GET /vehicle-management/vehicle-entries/?entry_type=&from_date=&to_date=,"arrival + docking; SAP INVOICE header (doc entry/num/date/total, branch, reference, customer, ship-to, GSTIN, place of supply); line items (item, qty, uom, rate, warehouse, base ref, litres/boxes/loose); e-way bill; bilty no+date; freight; weighbridge gross/tare/net; truck photo with GPS; gatepass no + QR + print/commit/dispatch timestamps; box/barcode scans; attachments"
INBOUND_STEP_LAG,ALL3,,,,,,,,,,847,entries,,1 gate-in -> security check row,0.0,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=0.00h p90=0.01h max=2.0h. auto-created in the same second as the gate entry - it is not a separate step in time
INBOUND_STEP_LAG,ALL3,,,,,,,,,,151,entries,,2 gate-in -> weighbridge reading,0.09,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=1.77h p90=51.96h max=242.4h. only 151 of 847 entries have any weighbridge reading at all
INBOUND_STEP_LAG,ALL3,,,,,,,,,,847,entries,,3 gate-in -> PO receipt keyed,0.03,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=0.10h p90=0.83h max=50.2h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,840,entries,,4 gate-in -> QA arrival slip raised,0.07,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=0.21h p90=1.21h max=50.2h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,840,entries,,5 gate-in -> slip submitted to QA,0.07,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=0.23h p90=1.50h max=72.5h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,807,entries,,6 gate-in -> QC inspection opened,1.8,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=7.39h p90=29.47h max=237.9h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,806,entries,,7 gate-in -> chemist decision,2.35,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=16.88h p90=41.75h max=745.9h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,802,entries,,8 gate-in -> QA manager decision,3.21,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,p75=21.30h p90=49.93h max=745.9h. 
INBOUND_STEP_LAG,ALL3,,,,,,,,,,790,entries,,9 gate-in -> app entry closed,2.56,hours_median,,,GET /gate-core/raw-material-gate-entry/{id}/ for all 847 RAW_MATERIAL entries,"p75=17.60h p90=106.05h max=1174.9h. includes 235 entries never closed; long tail is bookkeeping, not material"
INBOUND_STEP_LAG,ALL3,,,,,,,,,,1552,receipt lines,,10 gate-in -> SAP GRPO created,1.0,days_median,,,"app PO receipt joined to HANA OPDN/PDN1 on BaseRef=PO number + ItemCode, earliest GRPO created on/after gate-in","p75=2d p90=4d p99=18d max=70d; same day 27%, within 1d 69%, within 3d 89%, over 7d 60 lines"
RM_RECEIPT_LINE,JIVO_OIL,2026-08-30T08:21,GE-2026-0483,RAW_MATERIAL,QC_PENDING,DHANLAXMI EDIBLES PRIVATE LIMITED,PB03AZ5973,220826114,RM0000066,PEANUT OIL,29.65,MTS,,qc_status,AWAITING_INSPECTION,,NO,,GET /gate-core/raw-material-gate-entry/{id}/ + HANA OPDN/PDN1,ordered=60.0 short=30.35 invoice=1342 qa_approved= grpo_created= whs=
RM_RECEIPT_LINE,JIVO_OIL,2026-08-30T08:15,GE-2026-7801,RAW_MATERIAL,COMPLETED,DHANLAXMI EDIBLES PRIVATE LIMITED,PB03AZ5994,220826114,RM0000066,PEANUT OIL,29.25,MTS,,qc_status,ACCEPTED,,NO,,GET /gate-core/raw-material-gate-entry/{id}/ + HANA OPDN/PDN1,ordered=60.0 short=30.75 invoice=1341 qa_approved=2026-08-30 grpo_created= whs=
RM_RECEIPT_LINE,JIVO_OIL,2026-08-30T07:35,GE-2026-2380,RAW_MATERIAL,QC_COMPLETED,M/S ARORA AGRI BUSINESS VENTURES,GJ39TA1606,220826105,RM0000025,SOYABEAN REFINED LOOSE OIL,41.59,MTS,,qc_status,ACCEPTED,,NO,,GET /gate-core/raw-material-gate-entry/{id}/ + HANA OPDN/PDN1,ordered=200.0 short=158.41 invoice=267 qa_approved=2026-08-30 grpo_created= whs=
RM_RECEIPT_LINE,JIVO_OIL,2026-08-30T07:10,GE-2026-8107,RAW_MATERIAL,COMPLETED,M/S ARORA AGRI BUSINESS VENTURES,GJ12BX8563,220826105,RM0000025,SOYABEAN REFINED LOOSE OIL,40.47,MTS,,qc_status,ACCEPTED,,NO,,GET /gate-core/raw-material-gate-entry/{id}/ + HANA OPDN/PDN1,ordered=200.0 short=159.53 invoice=266 qa_approved=2026-08-30 grpo_created= whs=
RM_RECEIPT_LINE,JIVO_OIL,2026-08-30T04:19,GE-2026-3924,RAW_MATERIAL,QC_PENDING,FRYSTAL PET PRIVATE LIMITED,HR47C9478,220826039,PM0000852,PREFORM 49.5 GMS 36 MM,159000.0,PCS,,qc_status,AWAITING_INSPECTION,,NO,,GET /gate-core/raw-material-gate-entry/{id}/ + HANA OPDN/PDN1,ordered=500000.0 short=341000.0 invoice=936 qa_approved= grpo_created= whs=
