section,entity,metric,value,unit,period,source_endpoint,status,note
LINE_MASTER,10 Head,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,10 Head,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,10 Head,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,6 Head,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,6 Head,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,6 Head,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,Clear Pack,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,Clear Pack,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,Clear Pack,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,JP Machine,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,JP Machine,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,JP Machine,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,Manual,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,Manual,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,Manual,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,Pouch Machine,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,Pouch Machine,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,Pouch Machine,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_MASTER,Tin Head,standard_hours_per_day,22.00,hours,master,GET /production-execution/lines/,VERIFIED,app master value; actual observed is far lower
LINE_MASTER,Tin Head,standard_hours_per_month,572.00,hours,master,GET /production-execution/lines/,VERIFIED,22h x 26d
LINE_MASTER,Tin Head,electricity_units_per_hour,NULL,kWh/h,master,GET /production-execution/lines/,VERIFIED,NULL on every line - app cannot cost electricity per line-hour
LINE_CONFIG,10 Head / 1 LTR,rated_speed,2100.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,10 Head / 1 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,10 Head / 1 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,10 Head / 2 LTR,rated_speed,1260.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,10 Head / 2 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,10 Head / 2 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,10 Head / 5 LTR,rated_speed,900.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,10 Head / 5 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,10 Head / 5 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,6 Head / 1 LTR,rated_speed,1080.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,6 Head / 1 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,6 Head / 1 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,6 Head / 2 LTR,rated_speed,720.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,6 Head / 2 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,6 Head / 2 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,6 Head / 5 LTR,rated_speed,600.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,6 Head / 5 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,6 Head / 5 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,Clear Pack / 1 LTR,rated_speed,4800.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,Clear Pack / 1 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,Clear Pack / 1 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,Clear Pack / 5 LTR,rated_speed,3000.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,Clear Pack / 5 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,Clear Pack / 5 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,JP Machine / 1 LTR,rated_speed,5400.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,JP Machine / 1 LTR,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,JP Machine / 1 LTR,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
LINE_CONFIG,Pouch Machine / Hitech,rated_speed,1800.00,pieces/hour,master,GET /production-execution/line-configs/,VERIFIED,
LINE_CONFIG,Pouch Machine / Hitech,labour_count_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets - manpower never configured here
LINE_CONFIG,Pouch Machine / Hitech,other_manpower_preset,0,people,master,GET /production-execution/line-configs/,VERIFIED,BLANK (0) on all 11 presets
