run_id,date,line,run_number,item_code,product,pack_litres,pieces_per_case,litres_per_case,status,live_status,required_cases,produced_cases_closeout,produced_cases_segment_sum,closeout_minus_segments,produced_litres_closeout,rated_speed_used,preset_for_this_pack,rated_matches_a_preset,total_running_minutes,productive_segment_minutes,segments,achieved_pieces_per_hour,pct_of_rated,breakdown_count,breakdown_minutes,breakdown_categories,breakdown_reasons,header_breakdown_time,waste_pieces_logged,waste_materials,rejected_qty,reworked_qty,line_clearance_status,clearance_all_checks_passed,clearance_qa_latency_min,supervisor,labour_count,sap_sync_status,sap_doc_entry,warehouse_approval
1,2026-04-13,10 Head,1,FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,5.0,4,20.0,COMPLETED,COMPLETED,200.00,900.0,0.0,900.0,18000.0,28.0,900,no,0,0,2,,,0,0,,,0,,,0.0,0.0,,,,Naresh Kumar,8,FAILED,2650,APPROVED
2,2026-05-04,10 Head,1,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,DRAFT,DRAFT,200.00,0.0,0,0.0,0.0,1920.0,2100,no,0,0,0,,,0,0,,,0,20.0,CAP 10 ML,0.0,0.0,DRAFT,False,,Rupesh,17,NOT_APPLICABLE,3651,REJECTED
3,2026-05-04,10 Head,2,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,200.00,18.0,18.0,0.0,288.0,1920.0,2100,no,9,9,2,1920.0,100.0,0,0,,,0,,,0.0,0.0,,,,naresh kumar,17,FAILED,3651,APPROVED
4,2026-05-04,10 Head,3,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1.0,20,20,IN_PROGRESS,STOPPED,200.00,0.0,2.0,-2.0,0.0,2000.0,2100,no,34566,2,3,1200.0,60.0,0,0,,,0,,,0.0,0.0,CLEARED,False,0.6,naresh kumar,17,NOT_APPLICABLE,6175,APPROVED
5,2026-05-04,10 Head,4,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,200.00,100.0,100.0,0.0,1600.0,112.0,2100,no,0,0,1,,,0,0,,,0,,,0.0,0.0,,,,Naresh Kumar,8,FAILED,6189,APPROVED
6,2026-05-26,10 Head,1,FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,5.0,4,20.0,COMPLETED,COMPLETED,200.00,4.0,4.0,0.0,80.0,28.0,900,no,1,1,2,960.0,3428.6,1,0,Machine,Power Not available,0,,,0.0,0.0,CLEARED,True,0.6,Naresh Kumar,8,FAILED,2650,PARTIALLY_APPROVED
8,2026-06-11,10 Head,2,FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,5.0,4,20.0,DRAFT,DRAFT,,0.0,0,0.0,0.0,,900,,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,,0,NOT_APPLICABLE,2650,NOT_REQUESTED
7,2026-06-11,Clear Pack,1,,,,,,DRAFT,DRAFT,,0.0,0,0.0,,,,,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,,0,NOT_APPLICABLE,,NOT_REQUESTED
9,2026-06-12,Tin Head,1,FG0000169,REFINED COTTON SEED OIL 13 KGS,14.29,1,14.29,IN_PROGRESS,STOPPED,2000.00,0.0,55.0,-55.0,0.0,454.0,,no,58620,0,2,,,1,0,Machine,pm,0,,,0.0,0.0,CLEARED,True,305.3,Ravi,12,NOT_APPLICABLE,2945,PARTIALLY_APPROVED
10,2026-07-08,10 Head,1,FG0000085,FG0000085,,4,,DRAFT,DRAFT,10.00,0.0,0,0.0,,,,,0,0,0,,,0,0,,,0,,,0.0,0.0,SUBMITTED,True,,,0,NOT_APPLICABLE,2650,PARTIALLY_APPROVED
