section,company,id,date,entry_no,item_code,item_name,material_type,qty,uom,party,metric,value,unit,status,source,verified,note
qc_inspection,JIVO_OIL,,2026-08-30,GE-2026-0483,RM0000066,PEANUT OIL,,29.650,MTS,DHANLAXMI EDIBLES PRIVATE LIMITED,hold_hours_slip_to_QA_manager,,hours,NOT_STARTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=; grpo_state=NOT_IN_GRPO_QUEUE
qc_inspection,JIVO_OIL,1713,2026-08-30,GE-2026-7801,RM0000066,PEANUT OIL,Peanut_oil,29.250,MTS,DHANLAXMI EDIBLES PRIVATE LIMITED,hold_hours_slip_to_QA_manager,2.43,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=2.36; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1711,2026-08-30,GE-2026-2380,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,41.590,MTS,M/S ARORA AGRI BUSINESS VENTURES,hold_hours_slip_to_QA_manager,0.79,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=0.79; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1712,2026-08-30,GE-2026-8107,RM0000025,SOYABEAN REFINED LOOSE OIL,Refined Soyben Rm0000025,40.470,MTS,M/S ARORA AGRI BUSINESS VENTURES,hold_hours_slip_to_QA_manager,1.55,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=RM_BULK_OIL; hold_to_chemist_h=1.54; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,,2026-08-30,GE-2026-3924,PM0000852,PREFORM 49.5 GMS 36 MM,,159000.000,PCS,FRYSTAL PET PRIVATE LIMITED,hold_hours_slip_to_QA_manager,,hours,NOT_STARTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=; grpo_state=NOT_IN_GRPO_QUEUE
qc_inspection,JIVO_OIL,1703,2026-08-29,GE-2026-5264,PM0000427,LABEL 5 LTR GROUNDNUT FRONT,Label 5ltr Groundnut Oil,31350.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,1.31,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.7; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1704,2026-08-29,GE-2026-5264,PM0000428,LABEL 5 LTR GROUNDNUT BACK,Label 5ltr Groundnut Oil,31350.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,1.34,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.67; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1701,2026-08-29,GE-2026-5264,PM0000425,LABEL 1 LTR GROUNDNUT FRONT,Label 1ltr Cp Groundnut,201500.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,1.36,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.45; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1702,2026-08-29,GE-2026-5264,PM0000426,LABEL 1 LTR GROUNDNUT BACK,Label 1ltr Cp Groundnut,201500.000,PCS,ROYAL PRIME LABELS,hold_hours_slip_to_QA_manager,1.35,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=0.5; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1706,2026-08-29,GE-2026-2973,PM0000887,LABEL 200 LTR POMACE SANO,Label Sano Pomace Olive 200lr,52.000,PCS,GRAPHICS ELITE,hold_hours_slip_to_QA_manager,3.1,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.86; grpo_state=PENDING_IN_APP
qc_inspection,JIVO_OIL,1708,2026-08-29,GE-2026-1713,PM0000422,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL BACK,Label 500ml Cp Groundnut Oil,1014.000,PCS,GRAPHICS ELITE,hold_hours_slip_to_QA_manager,3.15,hours,ACCEPTED,factory.jivo.in /quality-control/inspections/,VERIFIED,group=PM_PACKAGING; hold_to_chemist_h=2.92; grpo_state=PENDING_IN_APP
