location,code,sap_warehouse,type,capacity,capacity_uom,current_qty,free,pct_full,as_of,source_endpoint
Bhakharpur Basement — FINISHED-GOODS cells,BHAKHARPUR-BASEMENT/FINISHED-GOODS,BH-BT,WMS rack grid (stock-holding),739,pallet_positions,266,473,36.0,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — WALKABLE-PATH cells,BHAKHARPUR-BASEMENT/WALKABLE-PATH,BH-BT,WMS grid cell (holdsStock=false),94,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — PACKING-MATERIAL cells,BHAKHARPUR-BASEMENT/PACKING-MATERIAL,BH-BT,WMS grid cell (holdsStock=false),46,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — STAIRS cells,BHAKHARPUR-BASEMENT/STAIRS,BH-BT,WMS grid cell (holdsStock=false),27,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — PILLAR cells,BHAKHARPUR-BASEMENT/PILLAR,BH-BT,WMS grid cell (holdsStock=false),18,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — CONVEYER cells,BHAKHARPUR-BASEMENT/CONVEYER,BH-BT,WMS grid cell (holdsStock=false),18,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — LIFT cells,BHAKHARPUR-BASEMENT/LIFT,BH-BT,WMS grid cell (holdsStock=false),12,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — CABIN cells,BHAKHARPUR-BASEMENT/CABIN,BH-BT,WMS grid cell (holdsStock=false),6,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur Basement — MAIN-GATE cells,BHAKHARPUR-BASEMENT/MAIN-GATE,BH-BT,WMS grid cell (holdsStock=false),1,pallet_positions,0,,,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_OIL)
Bhakharpur New Basement — total FG stock,BHAKHARPUR-BASEMENT,BH-BT,SAP warehouse (app stock mirror),591200,litres (INFERRED: 739 pos x 800 L sheet constant),414078,177122,70.0,2026-08-30T12:26Z,"dashboards stock --warehouse BH-BT (capacity INFERRED, not stored)"
Gupta Godown — FINISHED-GOODS + GOODS-RETURN cells,GUPTA-GODOWN/stock-holding,BH-GPM (INVALID — not in Mart SAP warehouse master; real code is GP-FGM),WMS rack grid (stock-holding),528,pallet_positions,525,3,99.4,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_MART)
Gupta Godown — cells with an unresolved purposeId,GUPTA-GODOWN/<null purpose>,BH-GPM (INVALID),"WMS grid cell (purpose unresolved, 698 pallets standing in them)",780,pallet_positions,698,82,89.5,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_MART)
Gupta Godown — whole 40x40x1 grid,GUPTA-GODOWN,BH-GPM (INVALID),WMS rack grid (all cells),1600,pallet_positions,1202,398,75.1,2026-08-30T12:26Z,wms wms-locations + wms wms-pallets (--company JIVO_MART)
Bhakharpur Production Finished 1st Floor,,BH-PF,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"250,263 L FG (131,356 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,"dashboards stock --warehouse BH-PF; barcode boxes --warehouse BH-PF --status ACTIVE = 122,414 boxes"
Gupta Godown Basement Finished (Oil corner),,GP-FG,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"20,716 L FG (2,615 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,"dashboards stock --warehouse GP-FG; barcode boxes --warehouse GP-FG --status ACTIVE = 6,250 boxes"
Bhakharpur Finished Basement,,BH-FG,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"30,188 L FG (13,432 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-FG; barcode boxes --warehouse BH-FG --status ACTIVE = 13 boxes
Bhakharpur Schemes,,BH-SC,"SAP warehouse — NOT modelled in WMS, no rack grid",NOT RECORDED,,"18,364 L FG (70,154 pcs)",UNKNOWN — no capacity on file,,2026-08-30T12:26Z,dashboards stock --warehouse BH-SC
