code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PET BOTTLES,PCS,1,BUY,105872.00,83016.00,38376.00,22856.00,-15520.00,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),16.0,PARAMBA POLYMER
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,LABEL,PCS,1,BUY,98162.00,65443.00,1.00,32719.00,32718.00,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,LABEL,PCS,1,BUY,98162.00,65443.00,1.00,32719.00,32718.00,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET BOTTLES,PCS,1,MAKE,58015.50,88628.00,194826.00,-30612.50,-225438.50,4.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),71.5,TPAC PACKAGING INDIA PVT LTD II
PM0000824,LABEL 1 LTR KACHI GHANI FULL,LABEL,PCS,1,BUY,58015.50,562148.00,149500.00,-504132.50,-653632.50,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED,38.0,SBP (FOOD & HYGIENE) PVT LTD
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,LABEL,PCS,1,BUY,55761.70,130614.00,0.00,-74852.30,-74852.30,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,LABEL,PCS,1,BUY,55761.70,162924.00,0.00,-107162.30,-107162.30,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,LABEL,PCS,1,BUY,38436.00,34240.00,0.00,4196.00,4196.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,LABEL,PCS,1,BUY,38436.00,34240.00,0.00,4196.00,4196.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
PM0000517,PET BOTTLE 1 LTR 75 GMS,PET BOTTLES,PCS,1,BUY,33579.25,8112.00,37013.00,25467.25,-11545.75,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
