code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,CANOLA,62281,0.9043,56321,56.32,40879,0.8947,36576,36.58,36576,56321,46448,21100,120670,45074
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,88645,0.5867,52010,52.01,41095,0.8916,36641,36.64,36641,52010,44326,71230,78605,116100
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,COMMODITY,SOYABEAN,64799,0.566,36674,36.67,61218,0.7071,43288,43.29,36674,43288,39981,74580,68121,51696
FG0000316,SOYABEAN OIL 13 KGS (B),COMMODITY,SOYABEAN,32470,0.566,18377,18.38,70322,0.7071,49726,49.73,18377,49726,34052,30829,65871,709
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,COMMODITY,SOYABEAN,44850,0.566,25384,25.38,52243,0.7071,36942,36.94,25384,36942,31163,36591,54184,43775
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,24598,0.9054,22271,22.27,35547,0.9193,32680,32.68,22271,32680,27476,27540,45640,615
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COMMODITY,SUNFLOWER,24429,1.2015,29352,29.35,20084,1.1943,23985,23.99,23985,29352,26669,23907,25408,23973
FG0000015,REFINED OIL 15 LTR,PREMIUM,CANOLA,28004,0.9043,25324,25.32,26344,0.8947,23570,23.57,23570,25324,24447,15990,57855,10168
FG0000032,COLD PRESS 1 LTR 20 PCS,PREMIUM,CANOLA,22404,0.9043,20260,20.26,31758,0.8947,28414,28.41,20260,28414,24337,6364,35872,24977
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,PREMIUM,CANOLA,27766,0.9043,25109,25.11,24856,0.8947,22239,22.24,22239,25109,23674,38520,44779,0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,17584,0.9054,15921,15.92,29530,0.9193,27148,27.15,15921,27148,21535,25364,26494,895
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,17102,0.9054,15484,15.48,27731,0.9193,25495,25.49,15484,25495,20489,24036,29081,-1811
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,19399,0.9054,17564,17.56,22655,0.9193,20828,20.83,17564,20828,19196,14295,29125,14777
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PREMIUM,GROUNDNUT,21041,0.9251,19465,19.46,18957,0.9863,18697,18.7,18697,19465,19081,11629,28065,23429
