code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PREMIUM,GROUNDNUT,217796,1.0295,224230,224.23,133731,1.0497,140375,140.37,140375,224230,182302,126727,206377,320285
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COMMODITY,SUNFLOWER,124906,1.3008,162475,162.47,77578,1.2904,100107,100.11,100107,162475,131291,79027,172518,123173
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,229050,0.6671,152791,152.79,111270,0.9043,100618,100.62,100618,152791,126705,225798,155120,306234
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COMMODITY,SUNFLOWER,111660,1.3008,145244,145.24,74609,1.2904,96277,96.28,96277,145244,120760,50980,87330,196669
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,MUSTARD,80653,0.6671,53801,53.8,122981,0.9043,111208,111.21,53801,111208,82505,4251,156232,81477
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PREMIUM,GROUNDNUT,83496,1.0295,85963,85.96,56163,1.0497,58953,58.95,58953,85963,72458,72350,55875,122264
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,96678,0.6671,64490,64.49,84539,0.9043,76447,76.45,64490,76447,70468,119420,74275,96338
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,COMMODITY,SOYABEAN,64799,0.8973,58142,58.14,68635,1.0183,69888,69.89,58142,69888,64015,74580,68121,51696
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,75154,0.7837,58897,58.9,75409,0.7451,56188,56.19,56188,58897,57543,91400,79715,54348
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,75722,0.7837,59342,59.34,74433,0.7451,55461,55.46,55461,59342,57401,84214,61994,80958
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,80439,0.7837,63038,63.04,56741,0.7451,42279,42.28,42279,63038,52658,50695,14030,176592
FG0000316,SOYABEAN OIL 13 KGS (B),COMMODITY,SOYABEAN,32470,0.8973,29134,29.13,70322,1.0183,71606,71.61,29134,71606,50370,30829,65871,709
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,COMMODITY,SOYABEAN,44850,0.8973,40242,40.24,52243,1.0183,53197,53.2,40242,53197,46719,36591,54184,43775
FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,CANOLA,114074,0.4353,49660,49.66,89957,0.4396,39541,39.54,39541,49660,44601,61885,169130,111207
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,35620,0.7837,27914,27.91,48703,0.7451,36290,36.29,27914,36290,32102,48140,53090,5629
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,49764,0.7837,38999,39.0,29594,0.7451,22051,22.05,22051,38999,30525,23075,10710,115506
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,38821,0.7837,30423,30.42,39726,0.7451,29600,29.6,29600,30423,30012,49786,15833,50843
FG0000032,COLD PRESS 1 LTR 20 PCS,PREMIUM,CANOLA,57295,0.4353,24942,24.94,65350,0.4396,28725,28.73,24942,28725,26834,73457,26166,72261
FG0000444,SOYABEAN OIL 12 KGS (B),COMMODITY,SOYABEAN,40168,0.8973,36041,36.04,15063,1.0183,15338,15.34,15338,36041,25690,13596,90462,16447
FG0000250,SOYABEAN OIL 15 KGS,COMMODITY,SOYABEAN,19231,0.8973,17255,17.26,28753,1.0183,29278,29.28,17255,29278,23267,24725,32967,0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,20220,0.8973,18143,18.14,26126,1.0183,26603,26.6,18143,26603,22373,36328,15426,8905
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,COMMODITY,RICE BRAN,20315,1.0885,22113,22.11,18746,1.1696,21926,21.93,21926,22113,22020,13260,29975,17711
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,COMMODITY,RICE BRAN,21967,1.0885,23911,23.91,16016,1.1696,18733,18.73,18733,23911,21322,17361,21450,27090
FG0000297,SOYABEAN OIL 13 KGS TIN IMPORTED PCS,COMMODITY,SOYABEAN,16867,0.8973,15134,15.13,26911,1.0183,27402,27.4,15134,27402,21268,15657,8371,26571
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,23556,0.7837,18460,18.46,24458,0.7451,18224,18.22,18224,18460,18342,30000,20000,20667
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,COMMODITY,MUSTARD,30526,0.6671,20362,20.36,16138,0.9043,14593,14.59,14593,20362,17478,22441,47900,21235
FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,COMMODITY,SOYABEAN,19281,0.8973,17300,17.3,15565,1.0183,15849,15.85,15849,17300,16575,-280,12033,46091
FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,COMMODITY,SUNFLOWER,12863,1.3008,16731,16.73,10126,1.2904,13067,13.07,13067,16731,14899,38588,0,0
FG0000128,JIVO GOLD 5 LTR 4 PCS,COMMODITY,BLENDED,13304,0.8666,11529,11.53,17694,0.9026,15971,15.97,11529,15971,13750,11960,2965,24986
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COMMODITY,SUNFLOWER,12772,1.3008,16614,16.61,7636,1.2904,9853,9.85,9853,16614,13234,2460,16590,19267
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,24478,0.6671,16328,16.33,11001,0.9043,9948,9.95,9948,16328,13138,2200,39207,32027
FG0000015,REFINED OIL 15 LTR,PREMIUM,CANOLA,29534,0.4353,12857,12.86,29488,0.4396,12962,12.96,12857,12962,12909,17790,57855,12958
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,COMMODITY,SOYABEAN,13373,0.8973,11999,12.0,13349,1.0183,13592,13.59,11999,13592,12796,19735,6745,13640
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,PREMIUM,CANOLA,31782,0.4353,13836,13.84,26362,0.4396,11588,11.59,11588,13836,12712,48520,46826,0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,16650,0.7837,13048,13.05,14863,0.7451,11075,11.07,11075,13048,12061,21500,19962,8488
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,COMMODITY,MUSTARD,15594,0.6671,10402,10.4,12178,0.9043,11012,11.01,10402,11012,10707,15805,20705,10271
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,BLENDED,12765,0.8666,11062,11.06,10668,0.9026,9629,9.63,9629,11062,10345,4000,33261,1033
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,PREMIUM,MUSTARD,14854,0.6671,9909,9.91,11628,0.9043,10515,10.51,9909,10515,10212,14246,20686,9631
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,11270,0.7837,8832,8.83,13429,0.7451,10006,10.01,8832,10006,9419,17220,5016,11573
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,COMMODITY,MUSTARD,16162,0.6671,10781,10.78,8905,0.9043,8052,8.05,8052,10781,9417,10868,16968,20650
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,PREMIUM,CANOLA,14995,0.4353,6528,6.53,23809,0.4396,10465,10.47,6528,10465,8497,24094,19858,1033
FG0000418,SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,SOYABEAN,10395,0.8973,9327,9.33,6420,1.0183,6537,6.54,6537,9327,7932,1405,673,29107
FG0000178,MUSTARD KACHI GHANI 15 KGS,COMMODITY,MUSTARD,10351,0.6671,6905,6.9,8349,0.9043,7549,7.55,6905,7549,7227,3214,19220,8619
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,COMMODITY,MUSTARD,13778,0.6671,9191,9.19,5167,0.9043,4672,4.67,4672,9191,6931,0,0,41333
FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,PREMIUM,CANOLA,8295,0.4353,3611,3.61,18538,0.4396,8149,8.15,3611,8149,5880,13832,11180,-128
FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,PREMIUM,CANOLA,13517,0.4353,5884,5.88,12321,0.4396,5416,5.42,5416,5884,5650,26250,14300,0
FG0000169,REFINED COTTON SEED OIL 13 KGS,COMMODITY,COTTON SEED,8476,0.7206,6108,6.11,8745,0.5228,4572,4.57,4572,6108,5340,16829,8600,0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,8844,0.7837,6931,6.93,4542,0.7451,3384,3.38,3384,6931,5158,3000,7000,16533
FG0000456,COLD PRESS SUNFLOWER 1 LTR 20 PCS 26,PREMIUM,SUNFLOWER,5766,1.3008,7500,7.5,2162,1.2904,2790,2.79,2790,7500,5145,0,0,17298
FG0000091,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,COMMODITY,SUNFLOWER,5580,1.3008,7258,7.26,2092,1.2904,2700,2.7,2700,7258,4979,0,0,16740
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,8295,0.6671,5533,5.53,4659,0.9043,4213,4.21,4213,5533,4873,12070,6801,6014
FG0000149,JIVO GOLD 1 LTR 20 PCS,COMMODITY,BLENDED,445,0.8666,386,0.39,9754,0.9026,8804,8.8,386,8804,4595,259,1076,0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,PREMIUM,MUSTARD,7156,0.6671,4774,4.77,4678,0.9043,4230,4.23,4230,4774,4502,4280,8840,8349
FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,PREMIUM,CANOLA,5448,0.4353,2372,2.37,14672,0.4396,6449,6.45,2372,6449,4410,11094,5250,0
FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,PREMIUM,CANOLA,7880,0.4353,3430,3.43,10296,0.4396,4526,4.53,3430,4526,3978,14025,9615,0
FG0000367,SANO POMACE OLIVE OIL 15 L,PREMIUM,OLIVE,6443,0.7837,5049,5.05,3792,0.7451,2826,2.83,2826,5049,3937,0,3270,16058
FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,PREMIUM,CANOLA,6683,0.4353,2909,2.91,10972,0.4396,4823,4.82,2909,4823,3866,10518,9252,279
