code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PREMIUM,GROUNDNUT,217796,1.338,291402,291.4,133731,1.3254,177251,177.25,177251,291402,234327,126727,206377,320285
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,229050,0.7338,168076,168.08,111270,0.9876,109890,109.89,109890,168076,138983,225798,155120,306234
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COMMODITY,SUNFLOWER,124906,1.1992,149785,149.78,77578,1.2052,93493,93.49,93493,149785,121639,79027,172518,123173
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COMMODITY,SUNFLOWER,111660,1.1992,133900,133.9,74609,1.2052,89916,89.92,89916,133900,111908,50980,87330,196669
FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,CANOLA,114074,1.0155,115845,115.85,89957,0.9678,87059,87.06,87059,115845,101452,61885,169130,111207
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PREMIUM,GROUNDNUT,83496,1.338,111715,111.71,56163,1.3254,74440,74.44,74440,111715,93077,72350,55875,122264
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,MUSTARD,80653,0.7338,59183,59.18,122981,0.9876,121455,121.46,59183,121455,90319,4251,156232,81477
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,75154,1.1122,83584,83.58,75409,1.0279,77512,77.51,77512,83584,80548,91400,79715,54348
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,75722,1.1122,84215,84.21,74433,1.0279,76509,76.51,76509,84215,80362,84214,61994,80958
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,96678,0.7338,70941,70.94,84539,0.9876,83491,83.49,70941,83491,77216,119420,74275,96338
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,80439,1.1122,89461,89.46,56741,1.0279,58323,58.32,58323,89461,73892,50695,14030,176592
FG0000032,COLD PRESS 1 LTR 20 PCS,PREMIUM,CANOLA,57295,1.0155,58184,58.18,65350,0.9678,63245,63.25,58184,63245,60715,73457,26166,72261
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,COMMODITY,SOYABEAN,64799,0.7046,45659,45.66,68635,0.8168,56062,56.06,45659,56062,50861,74580,68121,51696
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,35620,1.1122,39615,39.61,48703,1.0279,50062,50.06,39615,50062,44838,48140,53090,5629
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,PREMIUM,OLIVE,49764,1.1122,55345,55.35,29594,1.0279,30420,30.42,30420,55345,42883,23075,10710,115506
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,38821,1.1122,43175,43.17,39726,1.0279,40834,40.83,40834,43175,42004,49786,15833,50843
FG0000316,SOYABEAN OIL 13 KGS (B),COMMODITY,SOYABEAN,32470,0.7046,22879,22.88,70322,0.8168,57440,57.44,22879,57440,40160,30829,65871,709
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,COMMODITY,SOYABEAN,44850,0.7046,31603,31.6,52243,0.8168,42672,42.67,31603,42672,37138,36591,54184,43775
FG0000015,REFINED OIL 15 LTR,PREMIUM,CANOLA,29534,1.0155,29993,29.99,29488,0.9678,28538,28.54,28538,29993,29265,17790,57855,12958
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,PREMIUM,CANOLA,31782,1.0155,32275,32.28,26362,0.9678,25513,25.51,25513,32275,28894,48520,46826,0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,23556,1.1122,26198,26.2,24458,1.0279,25141,25.14,25141,26198,25669,30000,20000,20667
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,COMMODITY,RICE BRAN,20315,1.047,21270,21.27,18746,1.1393,21357,21.36,21270,21357,21314,13260,29975,17711
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,COMMODITY,RICE BRAN,21967,1.047,22999,23.0,16016,1.1393,18247,18.25,18247,22999,20623,17361,21450,27090
FG0000444,SOYABEAN OIL 12 KGS (B),COMMODITY,SOYABEAN,40168,0.7046,28304,28.3,15063,0.8168,12304,12.3,12304,28304,20304,13596,90462,16447
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,COMMODITY,MUSTARD,30526,0.7338,22399,22.4,16138,0.9876,15938,15.94,15938,22399,19169,22441,47900,21235
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,PREMIUM,CANOLA,14995,1.0155,15228,15.23,23809,0.9678,23042,23.04,15228,23042,19135,24094,19858,1033
FG0000250,SOYABEAN OIL 15 KGS,COMMODITY,SOYABEAN,19231,0.7046,13551,13.55,28753,0.8168,23486,23.49,13551,23486,18518,24725,32967,0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,20220,0.7046,14248,14.25,26126,0.8168,21340,21.34,14248,21340,17794,36328,15426,8905
FG0000297,SOYABEAN OIL 13 KGS TIN IMPORTED PCS,COMMODITY,SOYABEAN,16867,0.7046,11885,11.88,26911,0.8168,21981,21.98,11885,21981,16933,15657,8371,26571
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PREMIUM,OLIVE,16650,1.1122,18517,18.52,14863,1.0279,15277,15.28,15277,18517,16897,21500,19962,8488
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,24478,0.7338,17962,17.96,11001,0.9876,10864,10.86,10864,17962,14413,2200,39207,32027
FG0000128,JIVO GOLD 5 LTR 4 PCS,COMMODITY,BLENDED,13304,0.9014,11992,11.99,17694,0.9397,16626,16.63,11992,16626,14309,11960,2965,24986
FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,COMMODITY,SUNFLOWER,12863,1.1992,15425,15.42,10126,1.2052,12203,12.2,12203,15425,13814,38588,0,0
FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,PREMIUM,CANOLA,8295,1.0155,8423,8.42,18538,0.9678,17941,17.94,8423,17941,13182,13832,11180,-128
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,PREMIUM,OLIVE,11270,1.1122,12534,12.53,13429,1.0279,13803,13.8,12534,13803,13169,17220,5016,11573
FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,COMMODITY,SOYABEAN,19281,0.7046,13586,13.59,15565,0.8168,12714,12.71,12714,13586,13150,-280,12033,46091
FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,PREMIUM,CANOLA,13517,1.0155,13727,13.73,12321,0.9678,11924,11.92,11924,13727,12825,26250,14300,0
