WHS	ITEM	NAME	GRP	ONHAND	COMMITTED	STOCKVAL	LAST_IN	LAST_OUT	FIRST_MOVE	OUT_90D	DAYS_SINCE_OUT	DAYS_SINCE_IN
BH-BS	PM0000594	PREFORM 40 GMS 36 MM	105	405400.000000	0.000000	2547720.000000	2026-08-22	2026-08-21	2025-12-27	792850.000000	9	8
BH-BS	PM0000053	HDPE BOTTLE 5 LTR	105	24038.000000	0.000000	1120186.000000	2026-08-29	2026-08-21	2025-11-27	193280.000000	9	1
BH-BS	PM0000121	PET BOTTLE 1 LTR 52 GMS POMACE	105	115867.000000	12297.000000	1116033.000000	2026-08-29	2026-07-31	2025-11-20	621501.000000	30	1
BH-BS	PM0000817	PREFORM 21/23 GMS	105	223488.000000	0.000000	723649.000000	2026-07-27	2026-07-28	2025-12-27	267640.000000	33	34
BH-BS	PM0000851	PET BOTTLE 1 LTR 26 GM	105	142811.000000	0.000000	722501.000000	2026-08-27	2026-08-22	2026-01-28	598622.000000	8	3
BH-BS	PM0000194	PET BOTTLE 1 LTR 40 GMS	105	60465.000000	0.000000	451069.000000	2026-08-29	2026-08-27	2025-11-20	584759.000000	3	1
BH-BS	PM0000125	PET BOTTLE 500 MLS 34 GMS	105	65398.000000	0.000000	414623.000000	2026-07-27	2026-07-26	2025-12-17	66054.000000	35	34
BH-BS	PM0000235	CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN	105	484900.000000	0.000000	380255.000000	2026-08-26	2026-08-27	2025-12-17	1244770.000000	3	4
BH-BS	PM0000078	CAPS 5 LTR/15 LTR	105	61200.000000	0.000000	253980.000000	2026-08-12	2026-08-29	2025-12-17	128290.000000	1	18
BH-BS	PM0000619	PET BOTTLE 500 MLS 35 GMS GREEN EXPORT	105	28420.000000	0.000000	187572.000000	2026-07-28	2026-06-22	2025-12-17	1460.000000	69	33
BH-BS	PM0000113	HDPE BOTTLE 3 LTR	105	5705.000000	0.000000	178852.000000	2026-08-13	2026-07-26	2025-12-17	3994.000000	35	17
BH-BS	PM0000058	PET BOTTLE 200 MLS OLIVE OIL	105	50460.000000	0.000000	158949.000000	2026-08-22	2026-08-25	2025-12-17	189407.000000	5	8
BH-BS	PM0000408	CAPS 1 & 2 LTR WHITE AND GREEN PLAIN	105	102000.000000	0.000000	127500.000000	2026-08-06	2026-08-01	2025-12-17	136044.000000	29	24
BH-BS	PM0000567	CAPS 1 LTR WHITE AND ORANGE (SMALL) PLAIN	105	205000.000000	0.000000	125050.000000	2026-02-20	2026-07-26	2025-12-17	60500.000000	35	191
BH-BS	PM0000693	HDPE BOTTLE 5 LTRS YELLOW VEDAKA	105	3520.000000	0.000000	119936.000000	2026-07-28	2026-07-27	2025-12-17	2380.000000	34	33
BH-BS	PM0000079	CAPS 1 & 2 LTR FULL GREEN WITH LOGO	105	78000.000000	0.000000	97500.000000	2026-08-26	2026-08-29	2025-12-17	837000.000000	1	4
BH-BS	PM0000752	HDPE BOTTLE 5 LTRS BROWN VEDAKA	105	2740.000000	0.000000	95507.000000	2026-08-03	2026-07-27	2025-12-17	640.000000	34	27
BH-BS	PM0000697	PET BOTTLE 2 LTR 80 GM OLIVE GREEN HANDLE VEDAKA	105	4284.000000	0.000000	86494.000000	2026-02-01	2026-07-26	2025-12-11	3691.000000	35	210
BH-BS	PM0000060	CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO	105	66000.000000	0.000000	85140.000000	2026-08-22	2026-08-22	2025-12-17	182958.000000	8	8
BH-BS	PM0000085	CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO	105	57000.000000	0.000000	73530.000000	2026-08-26	2026-08-29	2025-11-18	1094740.000000	1	4
BH-BS	PM0000792	PET BOTTLE 1 LTR 75 GMS GREEN	105	4487.000000	0.000000	65510.000000	2026-02-05	2026-02-23	2026-02-05	0.000000	188	206
BH-BS	PM0000740	HDPE BOTTLE 5 LTR RED VEDAKA	105	1656.000000	0.000000	57563.000000	2026-02-04	2026-03-07	2025-12-17	0.000000	176	207
BH-BS	PM0000725	CAPS 1 & 2 LTR WHITE AND OLIVE-GREEN WITH LOGO MO	105	54000.000000	0.000000	56700.000000	2025-12-03	NULL	2025-12-03	0.000000	NULL	270
BH-BS	PM0000723	CAPS 1 & 2 LTR WHITE AND GREEN-CYAN WITH LOGO CO	105	51000.000000	0.000000	53550.000000	2026-02-20	NULL	2026-02-20	0.000000	NULL	191
BH-BS	PM0000412	CAPS 1 & 2 LTR WHITE AND ORANGE PLAIN	105	37000.000000	0.000000	39960.000000	2025-12-17	NULL	2025-12-17	0.000000	NULL	256
BH-BS	PM0000059	CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO	105	36000.000000	0.000000	37800.000000	2026-08-01	2026-07-26	2025-12-17	56800.000000	35	29
BH-BS	PM0000822	POUCH SPICES CUMIN SEEDS 100 GMS ROLL KGS	105	295.000000	0.000000	36642.000000	2026-02-11	NULL	2026-02-11	0.000000	NULL	200
BH-BS	PM0000728	HDPE BOTTLE 4 LTR OLIVE GREEN	105	1152.000000	0.000000	35482.000000	2026-01-27	2026-07-26	2025-12-17	1344.000000	35	215
BH-BS	PM0000605	CAPS 1 LTR FULL GREEN SMALL PLAIN	105	55000.000000	0.000000	34100.000000	2026-02-23	2026-07-26	2025-12-17	5000.000000	35	188
BH-BS	PM0000494	LABEL 5 LTR COLD PRESS CANOLA FRONT B.B	105	7100.000000	0.000000	20590.000000	2026-05-08	2026-07-26	2025-12-17	700.000000	35	114
BH-BS	PM0000505	LABEL 15 KGS COLD PRESS KACHI GHANI MUSTARD OIL	105	8450.000000	0.000000	14714.000000	2026-01-09	2026-05-23	2025-12-17	0.000000	99	233
BH-BS	PM0000390	PET JAR 60 GMS 400 GMS SEEDS	105	895.000000	0.000000	14354.000000	2026-02-23	NULL	2026-02-23	0.000000	NULL	188
BH-BS	PM0000495	LABEL 5 LTR COLD PRESS CANOLA BACK B.B	105	7000.000000	0.000000	13859.000000	2026-05-08	2026-07-26	2025-12-17	700.000000	35	114
BH-BS	PM0000667	LABEL 4 LTR SUNFLOWER OIL FRONT	105	7700.000000	0.000000	11145.000000	2026-02-02	NULL	2025-12-17	0.000000	NULL	209
BH-BS	PM0000748	LABEL 1 LTR EXTRA VIRGIN FRONT LE CHEF	105	4000.000000	0.000000	11000.000000	2026-01-05	2025-12-31	2025-12-17	0.000000	242	237
