date,standing_L_all_companies,standing_L_JIVO_OIL,standing_L_BH-BT,standing_L_BH-PF,standing_L_BH-BT_plus_BH-PF,settled,note
2026-06-01,21228.0,0.0,0,0,0,NO,June go-live ramp
2026-06-02,21228.0,0.0,0,0,0,NO,June go-live ramp
2026-06-03,21228.0,0.0,0,0,0,NO,June go-live ramp
2026-06-04,21317.1,0.0,0,0,0,NO,June go-live ramp
2026-06-05,21333.2,0.0,0,0,0,NO,June go-live ramp
2026-06-06,25385.7,1785.5,0,0,0,NO,June go-live ramp
2026-06-07,25385.7,1785.5,0,0,0,NO,June go-live ramp
2026-06-08,31143.7,1785.5,0,0,0,NO,June go-live ramp
2026-06-09,32353.6,2995.4,0,0,0,NO,June go-live ramp
2026-06-10,33799.6,3045.4,0,0,0,NO,June go-live ramp
2026-06-11,38191.6,3045.4,0,0,0,NO,June go-live ramp
2026-06-12,40191.6,5045.4,0,0,0,NO,June go-live ramp
2026-06-13,52545.4,15245.4,0,0,0,NO,June go-live ramp
2026-06-14,52545.4,15245.4,0,0,0,NO,June go-live ramp
2026-06-15,152396.9,67622.6,0,25111.6,25111.6,NO,June go-live ramp
2026-06-16,244847.6,125873.3,0,57441.9,57441.9,NO,June go-live ramp
2026-06-17,217262.2,106815.9,0,47365.4,47365.4,NO,June go-live ramp
2026-06-18,177105.7,70986.4,0,27233.0,27233.0,NO,June go-live ramp
2026-06-19,218886.3,59737.0,0,33406.6,33406.6,NO,June go-live ramp
2026-06-20,184128.5,51543.9,0,23516.5,23516.5,NO,June go-live ramp
2026-06-21,149526.3,49195.1,0,23516.5,23516.5,NO,June go-live ramp
2026-06-22,197835.9,56833.7,0,33901.1,33901.1,NO,June go-live ramp
2026-06-23,174416.8,41000.6,0,25676.9,25676.9,NO,June go-live ramp
2026-06-24,233637.3,87939.8,0,22880.0,22880.0,NO,June go-live ramp
2026-06-25,192990.4,57071.5,0,15310.8,15310.8,NO,June go-live ramp
2026-06-26,246261.1,60733.2,0,17033.0,17033.0,NO,June go-live ramp
2026-06-27,202027.8,67448.2,0,17033.0,17033.0,NO,June go-live ramp
2026-06-28,202027.8,67448.2,0,17033.0,17033.0,NO,June go-live ramp
2026-06-29,244719.2,58387.2,0,19516.5,19516.5,NO,June go-live ramp
2026-06-30,555355.1,277755.2,0,47660.1,47660.1,NO,June go-live ramp
2026-07-01,575796.8,373064.9,0,70524.4,70524.4,YES,
2026-07-02,578142.0,351146.9,0,68737.1,68737.1,YES,
2026-07-03,505584.9,309746.0,0,55846.4,55846.4,YES,
2026-07-04,463935.9,282344.6,0,46388.2,46388.2,YES,
2026-07-05,463935.9,282344.6,0,46388.2,46388.2,YES,
2026-07-06,448160.7,247028.9,0,42000.1,42000.1,YES,
2026-07-07,429249.2,214219.3,0,34085.2,34085.2,YES,
2026-07-08,315688.3,131945.2,0,26991.8,26991.8,YES,
2026-07-09,227546.6,81355.3,0,23098.9,23098.9,YES,
2026-07-10,299438.0,125524.2,0,50906.4,50906.4,YES,
2026-07-11,167326.6,52079.3,0,36987.4,36987.4,YES,
2026-07-12,136332.2,30015.0,0,25626.4,25626.4,YES,
2026-07-13,210738.2,83013.9,0,49474.8,49474.8,YES,
2026-07-14,159773.9,86042.1,0,48106.5,48106.5,YES,
2026-07-15,148651.6,38544.2,0,35380.2,35380.2,YES,
2026-07-16,183958.6,29738.1,0,17837.3,17837.3,YES,
2026-07-17,228687.7,28932.4,0,10113.5,10113.5,YES,
2026-07-18,81484.6,6519.8,0,575.0,575.0,YES,
2026-07-19,51364.6,6519.8,0,575.0,575.0,YES,
2026-07-20,83682.6,18748.7,0,15014.3,15014.3,YES,
2026-07-21,121761.3,19597.4,0,9263.0,9263.0,YES,
2026-07-22,149420.0,31016.1,0,20881.6,20881.6,YES,
2026-07-23,281506.6,114647.8,23957.0,68231.0,92188.0,YES,
2026-07-24,333979.2,98099.4,22944.0,51576.1,74520.1,YES,
2026-07-25,327574.4,74161.5,39292.0,10639.6,49931.6,YES,
2026-07-26,288574.4,74161.5,39292.0,10639.6,49931.6,YES,
2026-07-27,272884.3,62241.5,21648.0,31279.0,52927.0,YES,
2026-07-28,280972.2,117709.4,59451.0,28693.8,88144.8,YES,
2026-07-29,264504.4,109773.8,40273.0,43824.8,84097.8,YES,
2026-07-30,232906.7,109520.5,59750.0,28874.3,88624.3,YES,
2026-07-31,812797.4,351044.5,245193.0,87806.0,332999.0,YES,
2026-08-01,688992.4,326439.5,225298.0,82806.0,308104.0,YES,
2026-08-02,688992.4,326439.5,225298.0,82806.0,308104.0,YES,
2026-08-03,657147.7,318568.9,223229.0,78472.1,301701.1,YES,
2026-08-04,603780.1,297153.5,184478.0,82861.3,267339.3,YES,
2026-08-05,543897.5,264740.3,171914.0,64912.1,236826.1,YES,
2026-08-06,473664.2,232812.0,156711.0,52945.1,209656.1,YES,
2026-08-07,467416.6,192194.6,123397.0,55943.4,179340.4,YES,
2026-08-08,348823.2,148491.2,92797.7,50056.0,142853.7,YES,
2026-08-09,299091.0,137307.0,82327.7,49341.8,131669.5,YES,
2026-08-10,393679.2,147391.2,67595.1,54258.7,121853.7,YES,
2026-08-11,359323.1,124524.9,49584.8,70147.9,119732.7,YES,
