date,invoice_docnum,customer,item,qty,litres,invoice_datetime,dispatch_datetime,lag_hours,warehouse,status,company,party_type,vehicle,dock_entry,docked_at,source
2026-04-29,626040483,JIVO MART PVT LTD,PM0000249 CARTON 5 LTR TIN 1 PCS WITH THERMOCOL,320.0,0.0,2026-04-29 14:51:00,2026-06-17 18:01:23.181933,1179.17,GP-FG,DISPATCHED,JIVO_OIL,INTERCOMPANY,DL01LX3089,DOCK-20260617-0010,2026-06-17 17:05:41.174213,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-04-29,626040483,JIVO MART PVT LTD,PM0000234 CARTON 1 LTR OLIVE 3 PCS,110.0,0.0,2026-04-29 14:51:00,2026-06-17 18:01:23.181933,1179.17,GP-FG,DISPATCHED,JIVO_OIL,INTERCOMPANY,DL01LX3089,DOCK-20260617-0010,2026-06-17 17:05:41.174213,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-04-29,626040483,JIVO MART PVT LTD,PM0000292 CARTON 5 LTR HDPE 2 PCS,730.0,0.0,2026-04-29 14:51:00,2026-06-17 18:01:23.181933,1179.17,GP-FG,DISPATCHED,JIVO_OIL,INTERCOMPANY,DL01LX3089,DOCK-20260617-0010,2026-06-17 17:05:41.174213,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-04-29,626040483,JIVO MART PVT LTD,PM0000225 CARTON 5 LTR HDPE 1 PC,1726.0,0.0,2026-04-29 14:51:00,2026-06-17 18:01:23.181933,1179.17,GP-FG,DISPATCHED,JIVO_OIL,INTERCOMPANY,DL01LX3089,DOCK-20260617-0010,2026-06-17 17:05:41.174213,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-04-29,626040483,JIVO MART PVT LTD,PM0000405 CARTON 5 LTR HDPE WITH THERMOCOL,430.0,0.0,2026-04-29 14:51:00,2026-06-17 18:01:23.181933,1179.17,GP-FG,DISPATCHED,JIVO_OIL,INTERCOMPANY,DL01LX3089,DOCK-20260617-0010,2026-06-17 17:05:41.174213,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-05-31,626058305,GAGANDEEP SINGH,FG0000328 PET BOTTLE 250 ML JIVO NATURAL MINERAL SPECIAL EDITION ARSHDEEP  * (24 PCS),14400.0,3600.0,2026-05-31 15:54:00,2026-06-18 20:04:00.733365,436.17,BH-FG,DISPATCHED,JIVO_BEVERAGES,TRADE,DL01MA6176,DOCK-20260618-0016,2026-06-18 19:58:51.021065,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-05-31,626058307,GAGANDEEP SINGH,FG0000328 PET BOTTLE 250 ML JIVO NATURAL MINERAL SPECIAL EDITION ARSHDEEP  * (24 PCS),14400.0,3600.0,2026-05-31 16:02:00,2026-06-16 17:22:31.489276,385.34,BH-FG,DISPATCHED,JIVO_BEVERAGES,TRADE,DL01LY5728,DOCK-20260616-0008,2026-06-16 17:08:51.605487,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-05-31,626058308,GAGANDEEP SINGH,FG0000328 PET BOTTLE 250 ML JIVO NATURAL MINERAL SPECIAL EDITION ARSHDEEP  * (24 PCS),14400.0,3600.0,2026-05-31 16:04:00,2026-06-16 17:22:31.489276,385.31,BH-FG,DISPATCHED,JIVO_BEVERAGES,TRADE,DL01LY5728,DOCK-20260616-0008,2026-06-16 17:08:51.605487,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-05-31,626058309,GAGANDEEP SINGH,FG0000328 PET BOTTLE 250 ML JIVO NATURAL MINERAL SPECIAL EDITION ARSHDEEP  * (24 PCS),9600.0,2400.0,2026-05-31 16:06:00,2026-06-16 17:22:31.489276,385.28,BH-FG,DISPATCHED,JIVO_BEVERAGES,TRADE,DL01LY5728,DOCK-20260616-0008,2026-06-16 17:08:51.605487,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
2026-05-31,626058310,GAGANDEEP SINGH,FG0000328 PET BOTTLE 250 ML JIVO NATURAL MINERAL SPECIAL EDITION ARSHDEEP  * (24 PCS),14400.0,3600.0,2026-05-31 16:08:00,2026-06-18 20:04:00.733365,435.93,BH-FG,DISPATCHED,JIVO_BEVERAGES,TRADE,DL01MA6176,DOCK-20260618-0016,2026-06-18 19:58:51.021065,GET /gate-core/sales-dispatch/ joined to OINV/INV1 by DocNum
