pack_litres,active_days,median_units_per_day,p90_units_per_day,median_litres_per_day,p90_litres_per_day
0.2,18,5005,21434,1001,4287
0.25,8,1338,2490,334,622
0.5,14,1098,8326,549,4163
0.769,40,9252,18208,7115,14002
0.824,42,8820,18725,7268,15429
0.9545,16,5200,18700,4963,17849
1,145,28680,57655,28680,57655
1.002,22,6462,17453,6474,17488
1.0022,50,10296,17643,10319,17682
1.044,11,153,219,160,229
2,51,3370,10360,6740,20720
3,16,1788,4257,5364,12771
4,22,1550,2859,6200,11434
5,119,3764,7936,18820,39680
5.01,47,2880,5448,14429,27296
5.011,7,680,1047,3407,5247
6,6,1330,2625,7983,15750
12.0264,5,10,23,120,281
13.19,12,682,1269,8989,16733
14.29,34,700,1338,10010,19121
15,37,433,1150,6495,17256
16,10,32,88,504,1400
16.0352,6,30,44,489,698
16.48,8,452,943,7449,15537
20,15,300,827,6000,16532
200,18,50,56,10000,11200
200.44,13,10,25,2004,5011
