item_code,item_name,pack_litres,orders,total_completed,median_units_per_day,p90_units_per_day,resource_codes,_process,_uom,_otype,_days,_pack_src,_category,_variety,_median_litres_per_day
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,,97,3288728.58,28000.0,131986.3,,FILLING_NO_RESOURCE_LINE,LTR,S,62,bulk (LTR) - no pack,,CANOLA,28000.0
RM0000001,LOOSE REFINED OLIVE OIL,,86,2369458.71,25000.0,60264.7,,BULK_OIL_BLEND,LTR,P,70,bulk (LTR) - no pack,,OLIVE,25000.0
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,1,76,1792673.0,26258.0,60417.6,JWPL09240005,BOTTLE_BLOWING,PCS,S,57,SAP resource BaseQty,,PET BOTTLES,26258.0
RM0000009,REFINED SUNFLOWER OIL,,75,1142311.0,15500.0,30000.0,,BULK_OIL_BLEND,LTR,P,64,bulk (LTR) - no pack,,SUNFLOWER,15500.0
RM0000011,GROUNDNUT LOOSE OIL,,76,1136354.0,15450.0,35550.0,,BULK_OIL_BLEND,LTR,P,60,bulk (LTR) - no pack,,GROUNDNUT,15450.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1,113,960799.0,13936.0,21449.6,JWPL09240001,FILLING,PCS,S,72,SAP resource BaseQty,PREMIUM,GROUNDNUT,13936.0
PM0000194,PET BOTTLE 1 LTR 40 GMS,1,48,908504.0,22768.0,34399.2,JWPL09240005,BOTTLE_BLOWING,PCS,S,37,SAP resource BaseQty,,PET BOTTLES,22768.0
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1,82,748283.0,10000.0,23080.0,JWPL09240002,FILLING,PCS,S,61,SAP resource BaseQty,COMMODITY,MUSTARD,10000.0
RM0000015,LOOSE OIL COLD PRESS/REFINED,,17,670255.73,45780.2,192026.2,,FILLING_NO_RESOURCE_LINE,LTR,S,7,bulk (LTR) - no pack,,CANOLA,45780.2
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,1,59,507595.0,12890.0,23300.0,JWPL09240002,FILLING,PCS,S,40,SAP resource BaseQty,COMMODITY,MUSTARD,12890.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1,51,507580.0,10000.0,27384.0,JWPL09240002,FILLING,PCS,S,37,SAP resource BaseQty,COMMODITY,SUNFLOWER,10000.0
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,1,22,447522.0,16910.0,52804.0,JWPL09240005,BOTTLE_BLOWING,PCS,S,18,SAP resource BaseQty,,PET BOTTLES,16910.0
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,0.824,45,422997.0,8820.0,18724.8,JWPL09240002,FILLING,PCS,S,42,SAP resource BaseQty,COMMODITY,SOYABEAN,7267.7
FG0000028,POMACE OLIVE 1 LTR 16 PCS,1.0022,57,422109.0,9728.0,18489.6,JWPL09240001,FILLING,PCS,S,42,SAP resource BaseQty,PREMIUM,OLIVE,9749.4
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,0.769,47,387234.0,9252.0,18207.6,JWPL09240002,FILLING,PCS,S,40,SAP resource BaseQty,COMMODITY,SOYABEAN,7114.8
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1,44,303000.0,6560.0,17888.0,JWPL09240001,FILLING,PCS,S,37,SAP resource BaseQty,PREMIUM,OLIVE,6560.0
FG0000032,COLD PRESS 1 LTR 20 PCS,1,40,284820.0,6390.0,20000.0,JWPL09240001,FILLING,PCS,S,32,SAP resource BaseQty,PREMIUM,CANOLA,6390.0
RM0000003,MUSTARD LOOSE OIL,,16,275221.0,17342.5,30900.0,,BULK_OIL_BLEND,LTR,P,14,bulk (LTR) - no pack,,MUSTARD,17342.5
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,1,26,211800.0,8420.0,19300.0,JWPL09240001,FILLING,PCS,S,21,SAP resource BaseQty,PREMIUM,CANOLA,8420.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,1.002,32,187083.0,6461.5,17452.8,JWPL09240001,FILLING,PCS,S,22,SAP resource BaseQty,PREMIUM,OLIVE,6474.4
RM0000021,LOOSE OIL GOLD,,21,181958.0,11375.0,20231.0,,BULK_OIL_BLEND,LTR,P,18,bulk (LTR) - no pack,,BLENDED,11375.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,1,22,164334.0,9960.0,16800.0,JWPL09240002,FILLING,PCS,S,19,SAP resource BaseQty,COMMODITY,SOYABEAN,9960.0
FG0000004,COLD PRESS 5 LTR 4 PCS,5,58,136239.0,1846.0,5851.2,JWPL09240001,FILLING,PCS,S,48,SAP resource BaseQty,PREMIUM,CANOLA,9230.0
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,0.9545,20,135260.0,5200.0,18700.0,JWPL09240002,FILLING,PCS,S,16,SAP resource BaseQty,COMMODITY,MUSTARD,4963.4
FG0000409,COLD PRESS GROUNDNUT OIL 200 MLS 70 PCS,1,12,101737.0,7700.0,14000.0,JWPL09240007,FILLING,PCS,S,11,SAP resource BaseQty,PREMIUM,GROUNDNUT,7700.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5,55,99827.0,2264.0,3864.0,JWPL09240002,FILLING,PCS,S,44,SAP resource BaseQty,COMMODITY,MUSTARD,11320.0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1.0022,14,95643.0,8056.0,13257.6,JWPL09240001,FILLING,PCS,S,12,SAP resource BaseQty,PREMIUM,OLIVE,8073.7
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,5.01,41,93121.0,2766.0,4240.0,JWPL09240001,FILLING,PCS,S,36,SAP resource BaseQty,PREMIUM,OLIVE,13857.7
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,1,16,89095.0,4240.0,12608.0,JWPL09240002,FILLING,PCS,S,16,SAP resource BaseQty,COMMODITY,RICE BRAN,4240.0
FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,0.2,10,86590.0,4270.0,31640.0,JWPL09240002,FILLING,PCS,S,7,SAP resource BaseQty,COMMODITY,MUSTARD,854.0
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,1,13,85133.0,8610.0,17214.0,JWPL09240002,FILLING,PCS,S,10,SAP resource BaseQty,COMMODITY,BLENDED,8610.0
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,0.2,17,81955.0,3360.0,14749.0,JWPL09240002|JWPL09240007,FILLING,PCS,S,13,SAP resource BaseQty,PREMIUM,GROUNDNUT,672.0
FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,1,9,81048.0,9960.0,16545.6,JWPL09240002,FILLING,PCS,S,8,SAP resource BaseQty,COMMODITY,SUNFLOWER,9960.0
FG0000386,CHAI 250 GMS 40 PCS,6.8,4,78000.0,32840.0,40136.0,JWPL09240006,FILLING,PCS,S,3,SAP resource BaseQty,OTHERS,TEA,223312.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5,40,77828.0,2554.0,5500.8,JWPL09240002,FILLING,PCS,S,28,SAP resource BaseQty,COMMODITY,SUNFLOWER,12770.0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5,38,76791.0,2080.0,6044.0,JWPL09240001,FILLING,PCS,S,29,SAP resource BaseQty,PREMIUM,GROUNDNUT,10400.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,1,9,72675.0,9600.0,13747.2,JWPL09240002,FILLING,PCS,S,9,SAP resource BaseQty,COMMODITY,MUSTARD,9600.0
RM0000025,SOYABEAN REFINED LOOSE OIL,,6,72430.72,4026.8,36335.2,,BULK_OIL_BLEND,LTR,P,5,bulk (LTR) - no pack,,SOYABEAN,4026.8
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,1,24,69902.0,2740.0,6500.0,JWPL09240002,FILLING,PCS,S,21,SAP resource BaseQty,PREMIUM,MUSTARD,2740.0
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,1,11,69779.0,9840.0,20032.0,JWPL09240002,FILLING,PCS,S,7,SAP resource BaseQty,COMMODITY,MUSTARD,9840.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,2,18,65310.0,4845.0,9952.0,JWPL09240001,FILLING,PCS,S,14,SAP resource BaseQty,PREMIUM,CANOLA,9690.0
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,1,6,46940.0,5580.0,16970.0,JWPL09240002,FILLING,PCS,S,6,SAP resource BaseQty,COMMODITY,MUSTARD,5580.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,5.01,24,46787.0,1896.0,3807.2,JWPL09240001,FILLING,PCS,S,22,SAP resource BaseQty,PREMIUM,OLIVE,9499.0
