ItemCode	QTY
FG0000004	39548.000000
FG0000005	48128.000000
FG0000008	10780.000000
FG0000009	187.000000
FG0000011	11760.000000
FG0000012	2604.000000
FG0000013	43.000000
FG0000015	2072.000000
FG0000016	109.000000
FG0000020	239.000000
FG0000021	6780.000000
FG0000028	67354.000000
FG0000029	5210.000000
FG0000030	276963.000000
FG0000031	21600.000000
FG0000032	26452.000000
FG0000034	100.000000
FG0000038	12650.000000
FG0000039	997.000000
FG0000042	14576.000000
FG0000043	7962.000000
FG0000045	1.000000
FG0000047	40.000000
FG0000053	12103.000000
FG0000064	4052.000000
FG0000070	3170.000000
FG0000074	118.000000
FG0000081	125620.000000
FG0000088	330.000000
FG0000091	8560.000000
FG0000092	152.000000
FG0000104	206.000000
FG0000106	25613.000000
FG0000112	1640.000000
FG0000128	5512.000000
FG0000136	21740.000000
FG0000142	316655.000000
FG0000143	25659.000000
FG0000150	14632.000000
FG0000151	8672.000000
FG0000154	120.000000
FG0000157	624.000000
FG0000192	3056.000000
FG0000194	21528.000000
FG0000226	1388.000000
FG0000227	4112.000000
FG0000232	20.000000
FG0000275	1751.000000
FG0000282	58.000000
FG0000297	1800.000000
FG0000299	35442.000000
FG0000306	14794.000000
FG0000316	127.000000
FG0000320	23120.000000
FG0000324	1148.000000
FG0000328	90.000000
FG0000359	36357.000000
FG0000367	1057.000000
FG0000372	4.000000
FG0000374	2036.000000
FG0000379	42448.000000
FG0000394	11.000000
FG0000395	34.000000
FG0000396	33.000000
FG0000397	29.000000
FG0000398	44.000000
FG0000399	320.000000
FG0000400	380.000000
FG0000404	85.000000
FG0000407	28644.000000
FG0000418	4.000000
FG0000422	21520.000000
FG0000429	20260.000000
FG0000441	13250.000000
FG0000449	50120.000000
FG0000454	9552.000000
FG0000455	778.000000
FG0000456	16740.000000
FG0000460	8992.000000
PM0000194	74760.000000
PM0000663	52.000000
