code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
RM0000003,MUSTARD LOOSE OIL,MUSTARD,LTR,844664.72,79781.89,549630.23,764882.83,215252.60,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,50.0,AWL AGRI BUSINESS LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAPS,PCS,825172.70,657454.00,554000.00,167718.70,-386281.30,11.6,MAHESHWARI CAPS PVT LTD,16.9,BABAJI UDYOG PVT. LTD.
PM0000851,PET BOTTLE 1 LTR 26 GM,PET BOTTLES,PCS,658856.25,156026.00,1406378.00,502830.25,-903547.75,10.0,BR AGROTECH LTD,22.8,TPAC PACKAGING INDIA PVT LTD II
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,CAPS,PCS,515834.10,288066.00,425000.00,227768.10,-197231.90,2.0,MAHESHWARI CAPS PVT LTD,14.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,PCS,483231.00,594796.00,100000.00,-111565.00,-211565.00,6.0,ROYAL PRIME LABELS,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,PCS,483231.00,581495.00,100000.00,-98264.00,-198264.00,6.0,ROYAL PRIME LABELS,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PET BOTTLES,PCS,354436.00,115281.00,427253.00,239155.00,-188098.00,28.5,BR AGROTECH LTD,53.7,ECHO PLAST INDIA
RM0000011,GROUNDNUT LOOSE OIL,GROUNDNUT,LTR,353132.10,17620.08,0.00,335512.02,335512.02,8.0,VINOD AGRO INDUSTRIES PRIVATE LIMITED,22.5,ARIHANT SOLVEX PRIVATE LIMITED
PM0000194,PET BOTTLE 1 LTR 40 GMS,PET BOTTLES,PCS,310694.10,92718.00,252872.00,217976.10,-34895.90,6.7,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),35.7,TPAC PACKAGING INDIA PVT LTD
RM0000009,REFINED SUNFLOWER OIL,SUNFLOWER,LTR,302499.15,14291.42,0.00,288207.73,288207.73,7.0,MODI OIL TRADERS,12.0,KUTCH CHEMICAL INDUSTRIES LIMITED
RM0000001,LOOSE REFINED OLIVE OIL,OLIVE,LTR,266049.14,80586.59,42177.95,185462.55,143284.60,2.6,NURTURING FOODS LLP,13.0,INDRANI FOODS
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,LABEL,PCS,251226.30,215686.00,20800.00,35540.30,14740.30,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,LABEL,PCS,251226.30,232201.00,20800.00,19025.30,-1774.70,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,LABEL,PCS,240503.95,279643.00,51500.00,-39139.05,-90639.05,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,LABEL,PCS,240503.95,279938.00,51000.00,-39434.05,-90434.05,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,CANOLA,LTR,201832.61,39760.85,115458.00,162071.76,46613.76,14.0,DIL EXIM COMMODITIES PRIVATE LIMITED,28.0,ALBA EDIBLE OILS PTY LTD
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAPS,PCS,158401.75,177027.00,770017.00,-18625.25,-788642.25,17.1,BABAJI UDYOG PVT. LTD.,21.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
RM0000025,SOYABEAN REFINED LOOSE OIL,SOYABEAN,LTR,150884.47,284221.30,673087.24,-133336.83,-806424.07,2.3,VEE KAY TRADERS,20.6,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PET BOTTLES,PCS,122304.50,137056.00,38376.00,-14751.50,-53127.50,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),16.0,PARAMBA POLYMER
PM0000075,TAPE LOGO PRINTED,TAPE,MTR,119085.90,1326836.98,83875.86,-1207751.08,-1291626.94,3.7,BAKSHI PLASTIC BHANDAR,15.5,SHRI PATA ENTERPRISES
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,LABEL,PCS,99824.50,69433.00,1.00,30391.50,30390.50,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,LABEL,PCS,99824.50,69433.00,1.00,30391.50,30390.50,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
RM0000021,LOOSE OIL GOLD,BLENDED,LTR,84068.70,2841.00,0.00,81227.70,81227.70,,,,
PM0000053,HDPE BOTTLE 5 LTR,HDPE BOTTLES,PCS,73216.95,50402.00,313735.00,22814.95,-290920.05,20.0,RAJ TECHNOPACK PVT LTD,40.0,AG POLY PACKS PVT LTD
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET BOTTLES,PCS,62592.30,88628.00,194826.00,-26035.70,-220861.70,3.7,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),70.8,TPAC PACKAGING INDIA PVT LTD II
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,LABEL,PCS,58737.80,339372.00,344000.00,-280634.20,-624634.20,6.6,ROYAL PRIME LABELS,21.7,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000824,LABEL 1 LTR KACHI GHANI FULL,LABEL,PCS,54872.20,562148.00,149500.00,-507275.80,-656775.80,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED,38.0,SBP (FOOD & HYGIENE) PVT LTD
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,LABEL,PCS,54167.45,162924.00,0.00,-108756.55,-108756.55,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,LABEL,PCS,54167.45,130614.00,0.00,-76446.55,-76446.55,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000108,LABEL 1 LTR POMACE FRONT,LABEL,PCS,53492.95,222252.00,62007.00,-168759.05,-230766.05,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
PM0000107,LABEL 1 LTR POMACE BACK,LABEL,PCS,53492.95,220270.00,67007.00,-166777.05,-233784.05,10.6,ROYAL PRIME LABELS,10.6,ROYAL PRIME LABELS
PM0000517,PET BOTTLE 1 LTR 75 GMS,PET BOTTLES,PCS,51430.90,11712.00,16013.00,39718.90,23705.90,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000397,LABEL 1 LTR GOLD FRONT,LABEL,PCS,50382.60,20415.00,30000.00,29967.60,-32.40,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED,19.0,THE LABEL STORE AFOPC8295E
PM0000396,LABEL 1 LTR GOLD BACK,LABEL,PCS,50382.60,18009.00,31659.00,32373.60,714.60,8.3,ZENBI INTERNATIONAL PRIVATE LIMITED,19.0,THE LABEL STORE AFOPC8295E
PM0000469,CAPS 5 LTR BROWN,CAPS,PCS,46572.45,123503.00,200114.00,-76930.55,-277044.55,22.0,ECHO PLAST INDIA,47.8,AG POLY PACKS PVT LTD
PM0000015,LABEL 1 LTR COLD PRESS FRONT,LABEL,PCS,43167.70,294350.00,226000.00,-251182.30,-477182.30,8.0,ROYAL PRIME LABELS,19.5,THE LABEL STORE AFOPC8295E
PM0000078,CAPS 5 LTR/15 LTR,CAPS,PCS,39624.90,113847.00,160800.00,-74222.10,-235022.10,1.0,NATIONAL TIN INDUSTRIES,35.0,BERICAP INDIA PRIVATE LIMITED
