code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
RM0000025,SOYABEAN REFINED LOOSE OIL,SOYABEAN,LTR,1,BUY,200434.12,213588.96,656164.18,-13154.84,-669319.01,2.3,VEE KAY TRADERS,20.6,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PET BOTTLES,PCS,1,BUY,105872.00,83016.00,38376.00,22856.00,-15520.00,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),16.0,PARAMBA POLYMER
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,LABEL,PCS,1,BUY,98162.00,65443.00,1.00,32719.00,32718.00,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,LABEL,PCS,1,BUY,98162.00,65443.00,1.00,32719.00,32718.00,6.0,ROYAL PRIME LABELS,9.5,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET BOTTLES,PCS,1,MAKE,65812.60,88628.00,194826.00,-22815.40,-217641.40,4.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),71.5,TPAC PACKAGING INDIA PVT LTD II
PM0000824,LABEL 1 LTR KACHI GHANI FULL,LABEL,PCS,1,BUY,58015.50,562148.00,149500.00,-504132.50,-653632.50,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED,38.0,SBP (FOOD & HYGIENE) PVT LTD
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,LABEL,PCS,1,BUY,55761.70,130614.00,0.00,-74852.30,-74852.30,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,LABEL,PCS,1,BUY,55761.70,162924.00,0.00,-107162.30,-107162.30,10.5,ROYAL PRIME LABELS,10.5,ROYAL PRIME LABELS
PM0000517,PET BOTTLE 1 LTR 75 GMS,PET BOTTLES,PCS,1,BUY,53542.80,8112.00,37013.00,45430.80,8417.80,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,LABEL,PCS,1,BUY,38436.00,34240.00,0.00,4196.00,4196.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,LABEL,PCS,1,BUY,38436.00,34240.00,0.00,4196.00,4196.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PET BOTTLES,PCS,1,BUY,30813.30,23740.00,32612.00,7073.30,-25538.70,36.0,TPAC PACKAGING INDIA PVT LTD II,36.0,TPAC PACKAGING INDIA PVT LTD II
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,CAPS,PCS,1,BUY,29030.55,17361.00,3000.00,11669.55,8669.55,22.4,MAHESHWARI CAPS PVT LTD,22.4,MAHESHWARI CAPS PVT LTD
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,LABEL,PCS,1,BUY,29030.55,36648.00,7800.00,-7617.45,-15417.45,15.0,ROYAL PRIME LABELS,15.0,ROYAL PRIME LABELS
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,LABEL,PCS,1,BUY,29030.55,36589.00,7800.00,-7558.45,-15358.45,15.0,ROYAL PRIME LABELS,15.0,ROYAL PRIME LABELS
PM0000386,LABEL 1 LTR POMACE FRONT SANO,LABEL,PCS,1,BUY,26455.70,94041.00,110740.00,-67585.30,-178325.30,8.4,ROYAL PRIME LABELS,8.4,ROYAL PRIME LABELS
PM0000385,LABEL 1 LTR POMACE BACK SANO,LABEL,PCS,1,BUY,26455.70,94177.00,110740.00,-67721.30,-178461.30,8.4,ROYAL PRIME LABELS,8.4,ROYAL PRIME LABELS
PM0000395,TIN 5 LTR POMACE OLIVE SANO,TIN,PCS,1,BUY,22813.80,7355.00,26880.00,15458.80,-11421.20,48.3,NATIONAL TIN INDUSTRIES,48.3,NATIONAL TIN INDUSTRIES
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,LABEL,PCS,1,BUY,22644.15,11844.00,36100.00,10800.15,-25299.85,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000428,LABEL 5 LTR GROUNDNUT BACK,LABEL,PCS,1,BUY,22644.15,11848.00,36100.00,10796.15,-25303.85,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,1,BUY,22191.10,61991.00,100000.00,-39799.90,-139799.90,4.3,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
RM0000054,SEASAME OIL,SESAME,LTR,1,BUY,19963.55,12157.67,0.00,7805.88,7805.88,5.7,TIRUPATI AGRO INDUSTRIES,5.7,TIRUPATI AGRO INDUSTRIES
PM0000726,CAPS 1 & 2 LTR WHITE AND MINT-GREEN WITH LOGO SO,CAPS,PCS,1,BUY,19963.55,26631.50,15000.00,-6667.95,-21667.95,32.7,MAHESHWARI CAPS PVT LTD,32.7,MAHESHWARI CAPS PVT LTD
PM0000690,LABEL 1 LTR PRESSED SESAME OIL FRONT,LABEL,PCS,1,BUY,19963.55,8395.00,36000.00,11568.55,-24431.45,12.6,ROYAL PRIME LABELS,12.6,ROYAL PRIME LABELS
PM0000691,LABEL 1 LTR PRESSED SESAME OIL BACK,LABEL,PCS,1,BUY,19963.55,8542.00,36000.00,11421.55,-24578.45,12.6,ROYAL PRIME LABELS,12.6,ROYAL PRIME LABELS
PM0000125,PET BOTTLE 500 MLS 34 GMS,PET BOTTLES,PCS,1,BUY,18152.00,97753.00,125560.00,-79601.00,-205161.00,9.0,TPAC PACKAGING INDIA PVT LTD II,11.7,TPAC PACKAGING INDIA PVT LTD
PM0000286,LABEL 1 LTR SOYABEAN FRONT,LABEL,PCS,1,BUY,17094.75,13862.00,0.00,3232.75,3232.75,4.0,ZENBI INTERNATIONAL PRIVATE LIMITED,4.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000287,LABEL 1 LTR SOYABEAN BACK,LABEL,PCS,1,BUY,17094.75,14978.00,0.00,2116.75,2116.75,4.0,ZENBI INTERNATIONAL PRIVATE LIMITED,4.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000629,CARTON TIN TOP,CARTON,PCS,1,BUY,16942.80,20304.00,6550.00,-3361.20,-9911.20,28.5,SSY CONTAINERS PVT LTD,28.5,SSY CONTAINERS PVT LTD
PM0000853,POUCH 250 GM JIVO PREMIUM TEA,POUCH,GMS,1,BUY,13798.40,391460.00,774.23,-377661.60,-378435.83,41.0,M.M INDUSTRIES,41.0,M.M INDUSTRIES
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,CAPS,PCS,1,BUY,13761.50,220542.00,24000.00,-206780.50,-230780.50,11.0,MAHESHWARI CAPS PVT LTD,18.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000126,LABEL 500 MLS COLD PRESS FRONT,LABEL,PCS,1,BUY,13216.00,26816.00,0.00,-13600.00,-13600.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
