code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,PACK,PCS,4000,0,0,0.0,4000,YES,1,8000,2004160,6,2026-09-12,2026-09-06,scheduled_runs,ok,POMACE OLIVE 2 LTR 10 PCS HAND
PM0000362,LABEL 15 LTR REFINED RICE BRAN OIL,PACK,PCS,667,0,0,0.0,667,YES,1,10000,1483300,6,2026-09-18,2026-09-12,scheduled_runs,ok,RICE BRAN OIL 15 LTR
PM0000127,LABEL 500 MLS COLD PRESS BACK,PACK,PCS,10000,0,0,0.0,10000,YES,1,5000,850000,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",COLD PRESS 500 MLS 24 PCS
PM0000413,LABEL 200 MLS EXTRA VIRGIN COCONUT BACK,PACK,PCS,2500,0,0,0.0,2500,YES,1,500,74165,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN COCONUT OIL 200 M
PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,PACK,PCS,2500,0,0,0.0,2500,YES,1,500,74165,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN COCONUT OIL 200 M
PM0000855,PET BOTTLE 10 ML,PACK,PCS,30000,0,0,0.0,30000,YES,1,300,44499,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN OLIVE OIL 10ML
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,OIL,LTR,602494,3744,0,0.6,598750,,0,0,0,11,2026-09-01,2026-08-21,scheduled_runs,"LATE — order today, run slips",COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS;COLD PRESS 1 LTR 20 PCS (NIRMA;COLD PRESS 2 LTR 10 PCS HANDLE;COLD PRESS 3 LTR 6 PCS;COLD PRES
RM0000054,SEASAME OIL,OIL,LTR,30000,3040,0,10.1,26960,,0,0,0,11,2026-09-01,2026-08-21,scheduled_runs,"LATE — order today, run slips",SESAME OIL 1 LTR 20 PCS;SESAME OIL 500 MLS 12 PCS
RM0000037,COCONUT EXTRA VIRGIN OIL,OIL,LTR,7000,5609,0,80.1,1391,,0,0,0,11,2026-09-01,2026-08-21,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN COCONUT OIL 1 LTR;EXTRA VIRGIN COCONUT OIL 200 M;EXTRA VIRGIN COCONUT OIL 500 M
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,PACK,PCS,105000,25930,0,24.7,79070,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",COLD PRESS GROUNDNUT 200 MLS 7
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,PACK,PCS,105000,25930,0,24.7,79070,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",COLD PRESS GROUNDNUT 200 MLS 7
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PACK,PCS,132500,50460,33360,63.3,48680,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",COLD PRESS GROUNDNUT 200 MLS 7;EXTRA VIRGIN COCONUT OIL 200 M;MUSTARD KACHI GHANI 200 ML 35 
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,PACK,PCS,62831,21560,0,34.3,41271,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",JIVO MUSTARD KACCHI GHANI 869 
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,PACK,PCS,62831,22050,0,35.1,40781,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",JIVO MUSTARD KACCHI GHANI 869 
PM0000286,LABEL 1 LTR SOYABEAN FRONT,PACK,PCS,35000,3080,0,8.8,31920,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",SOYABEAN OIL 1 LTR 20 PCS
PM0000287,LABEL 1 LTR SOYABEAN BACK,PACK,PCS,35000,4301,0,12.3,30699,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",SOYABEAN OIL 1 LTR 20 PCS
PM0000862,CAP 10 ML,PACK,PCS,30000,237,0,0.8,29763,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN OLIVE OIL 10ML
PM0000854,LABEL 10 ML EXTRA VIRGIN OLIVE OIL,PACK,PCS,30000,1060,0,3.5,28940,,0,0,0,6,2026-09-01,2026-08-26,unscheduled,"LATE — order today, run slips",EXTRA VIRGIN OLIVE OIL 10ML
