row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
3,FG0000030,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 1 LTR 20 PCS,1,PET 26GM,20,20,220000.0,220.0,0.0,220.0
4,FG0000142,JIVO,PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1,PET 52 GRAM,16,16,380000.0,30.0,350.0,380.0
5,FG0000081,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1,PET 40GM,20,20,270000.0,20.0,250.0,270.0
6,FG0000011,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5,5 LTR JAR,20,4,48000.0,40.0,150.0,240.0
7,FG0000004,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 5 LTR 4 PCS,5,5 LTR JAR,20,4,45000.0,150.0,75.0,225.0
8,FG0000028,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 1 LTR 16 PCS,1,PET 52 GRAM,16,16,160000.0,80.0,80.0,160.0
9,FG0000008,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 5 LTR TIN 4 PCS,5,TIN,20,4,31000.0,85.0,70.0,155.0
10,FG0000136,SANO,COMMODITY,MUSTARD,SANO MUSTARD,SANO MUSTARD OIL 1 LTR 20 PCS,1,PET 26GM,20,20,85000.0,80.0,5.0,85.0
11,FG0000053,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5,5 LTR JAR,20,4,23000.0,15.0,75.0,115.0
12,FG0000032,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR 20 PCS ,1,PET 40GM,20,20,100000.0,25.0,75.0,100.0
13,FG0000143,JIVO,PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5,5 LTR JAR,20,4,20000.0,10.0,90.0,100.0
