code,sku,head,category,pack_type,plan_kl,litres,real_mt,litres_per_piece,lpc_source,pieces,sheet_per_ltrs,sheet_box_lpc,sheet_pcs_lpc,hand_filled,flags
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,PET 26GM,220.0,220000.0,200.2,1.0,ltr in name,220000,1.0,1.0,1.0,,
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,PREMIUM,GROUNDNUT,PET 52 GRAM,380.0,380000.0,345.8,1.0,ltr in name,380000,1.0,1.0,1.0,,
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COMMODITY,SUNFLOWER,PET 40GM,270.0,270000.0,245.7,1.0,ltr in name,270000,1.0,1.0,1.0,,
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,5 LTR JAR,240.0,240000.0,218.4,5.0,ltr in name,48000,5.0,5.0,5.0,,
FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,CANOLA,5 LTR JAR,225.0,225000.0,204.75,5.0,ltr in name,45000,5.0,5.0,5.0,,
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PREMIUM,POMACE,PET 52 GRAM,160.0,160000.0,145.6,1.0,ltr in name,160000,1.0,1.0,1.0,,
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,POMACE,TIN,155.0,155000.0,141.05,5.0,ltr in name,31000,5.0,5.0,5.0,,
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,PET 26GM,85.0,85000.0,77.35,1.0,ltr in name,85000,1.0,1.0,1.0,,
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COMMODITY,SUNFLOWER,5 LTR JAR,115.0,115000.0,104.65,5.0,ltr in name,23000,5.0,5.0,5.0,,
FG0000032,COLD PRESS 1 LTR 20 PCS ,PREMIUM,CANOLA,PET 40GM,100.0,100000.0,91.0,1.0,ltr in name,100000,1.0,1.0,1.0,,
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,PREMIUM,GROUNDNUT,5 LTR JAR,100.0,100000.0,91.0,5.0,ltr in name,20000,5.0,5.0,5.0,,
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,POUCH,100.0,100000.0,91.0,1.0,ltr in name,100000,POUCH,1.0,2.0,,PCS_DISAGREES
FG0000316,SOYABEAN OIL 13 KGS (B),COMMODITY,SOYABEAN,TIN,100.0,100000.0,91.0,14.2857,13kg @910g/L,7000,15.0,15.0,15.0,,BOX_DISAGREES|PCS_DISAGREES|PERLTRS_DISAGREES
FG0000442,JIVO SOYABEAN OIL 12 KGS,COMMODITY,SOYABEAN,TIN,100.0,100000.0,91.0,13.1868,12kg @910g/L,7583,15.0,15.0,15.0,,BOX_DISAGREES|PCS_DISAGREES|PERLTRS_DISAGREES
FG0000250,SOYABEAN OIL 15 KGS,COMMODITY,SOYABEAN,TIN,80.0,80000.0,72.8,16.4835,15kg @910g/L,4853,15.0,15.0,15.0,,BOX_DISAGREES|PCS_DISAGREES|PERLTRS_DISAGREES
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PREMIUM,EXTRA LIGHT,PET 52 GRAM,70.0,70000.0,63.7,1.0,ltr in name,70000,1.0,1.0,1.0,,
FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),PREMIUM,CANOLA,PET 40GM,60.0,60000.0,54.6,1.0,ltr in name,60000,1.0,1.0,1.0,,
FG0000015,REFINED OIL 15 LTR,PREMIUM,CANOLA,TIN,60.0,60000.0,54.6,15.0,ltr in name,4000,15.0,15.0,15.0,,
