row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
102,FG0000030,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.000,PET,20.000,20.000,,220.0,470.0,690.0
2,FG0000142,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.000,PET,16.000,16.000,,35.0,350.0,385.0
156,FG0000081,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1.000,PET,20.000,20.000,,10.0,300.0,310.0
100,FG0000011,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5.000,PET,20.000,4.000,,30.0,200.0,230.0
1,FG0000004,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 5 LTR 4 PCS,5.000,PET,20.000,4.000,,150.0,75.0,225.0
146,FG0000250,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 15 KGS,16.484,TIN,16.484,1.000,,200.0,0.0,200.0
24,FG0000028,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 1 LTR 16 PCS,1.000,PET,16.000,16.000,,80.0,80.0,160.0
31,FG0000008,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 5 LTR TIN 4 PCS,5.000,TIN,20.000,4.000,,85.0,70.0,155.0
140,FG0000194,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 1 LTR POUCH 12 PCS,1.000,POUCH,12.000,12.000,,100.0,50.0,150.0
114,FG0000136,SANO,COMMODITY,MUSTARD,SANO MUSTARD,SANO MUSTARD OIL 1 LTR 20 PCS,1.000,PET,20.000,20.000,,100.0,15.0,115.0
6,FG0000032,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR 20 PCS,1.000,PET,20.000,20.000,,35.0,75.0,110.0
155,FG0000053,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 5 LTR 4 PCS,5.000,PET,20.000,4.000,,10.0,100.0,110.0
16,FG0000143,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,5.000,PET,20.000,4.000,,10.0,90.0,100.0
13,FG0000005,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1.000,PET,16.000,16.000,,35.0,40.0,75.0
148,FG0000191,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 15 LTR,15.000,PET,15.000,1.000,,75.0,0.0,75.0
7,FG0000015,JIVO,PREMIUM,CANOLA,JIVO CANOLA,REFINED OIL 15 LTR,15.000,PET,15.000,1.000,,60.0,0.0,60.0
10,FG0000150,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE 1 LTR 16 PCS,1.000,PET,16.000,16.000,,30.0,30.0,60.0
4,FG0000151,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE 5 LTR TIN 4 PCS,5.000,TIN,20.000,4.000,,35.0,25.0,60.0
39,FG0000407,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),1.000,PET,20.000,20.000,,60.0,0.0,60.0
105,FG0000422,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,1.000,PET,20.000,20.000,,60.0,0.0,60.0
92,FG0000149,JIVO,COMMODITY,GOLD,JIVO GOLD,JIVO GOLD 1 LTR 20 PCS,1.000,PET,20.000,20.000,,5.0,50.0,55.0
9,FG0000306,JIVO,OTHER PREMIUM,YELLOW MUSTARD,YELLOW MUSTARD,YELLOW MUSTARD OIL 1 LTR 20 PCS,1.000,PET,20.000,20.000,,25.0,30.0,55.0
103,FG0000178,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 15 KGS(PRINTED),16.480,TIN,16.480,1.000,,35.0,0.0,35.0
142,FG0000193,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 1 LTR 20 PCS,1.000,PET,20.000,20.000,,20.0,15.0,35.0
19,FG0000374,JIVO,OTHER PREMIUM,YELLOW MUSTARD,YELLOW MUSTARD,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,5.000,TIN,20.000,4.000,,8.0,25.0,33.0
20,FG0000033,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,2.000,PET,20.000,10.000,,30.0,0.0,30.0
5,FG0000034,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 200 LTR 1 PCS,200.000,DRUM,200.000,1.000,,30.0,0.0,30.0
117,FG0000038,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 2 LTR 10 PCS,2.000,PET,20.000,10.000,,30.0,0.0,30.0
93,FG0000128,JIVO,COMMODITY,GOLD,JIVO GOLD,JIVO GOLD 5 LTR 4 PCS,5.000,PET,20.000,4.000,,5.0,25.0,30.0
141,FG0000192,JIVO,COMMODITY,SOYABEAN,JIVO SOYABEAN,SOYABEAN OIL 5 LTR 4 PCS,5.000,PET,20.000,4.000,,20.0,10.0,30.0
43,FG0000064,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,2.0,25.0,27.0
130,FG0000226,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 5 LTR 4 PCS,5.000,PET,20.000,4.000,,6.0,20.0,26.0
186,FG0000091,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN,2.000,PET,10.000,20.000,,0.0,25.0,25.0
157,FG0000275,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER OIL 15 LTR,15.000,PET,15.000,1.000,,25.0,0.0,25.0
37,FG0000324,JIVO,OTHER PREMIUM,SESAME,SESAME,SESAME OIL 1 LTR 20 PCS,1.000,PET,16.000,16.000,,5.0,20.0,25.0
185,FG0000429,JIVO,COMMODITY,MUSTARD,MUSTARD,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,2.000,PET,10.000,20.000,,0.0,25.0,25.0
184,FG0000009,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,5.000,TIN,20.000,4.000,,8.0,15.0,23.0
18,FG0000042,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1.000,PET,16.000,16.000,,12.0,10.0,22.0
131,FG0000227,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAIN HEALTH,RICE BRAN OIL 1 LTR 16 PCS,1.000,PET,20.000,20.000,,6.0,15.0,21.0
177,FG0000441,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,0.200,PET,14.000,70.000,,0.0,21.0,21.0
104,FG0000031,JIVO,COMMODITY,MUSTARD,MUSTARD PK,MUSTARD PAKKI GHANI 1 LTR 20 PCS,1.000,PET,20.000,20.000,,20.0,0.0,20.0
15,FG0000043,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 3 LTR 6 PCS,3.000,PET,18.000,6.000,,20.0,0.0,20.0
101,FG0000106,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,1.000,POUCH,12.000,12.000,,20.0,0.0,20.0
169,FG0000419,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,0.0,20.0,20.0
120,FG0000232,SO OLIVE,COMMODITY,OLIVE,SO OLIVE,SO OLIVE OIL 5 LTR 4 PCS,5.000,PET,20.000,4.000,,2.0,15.0,17.0
48,FG0000228,SO OLIVE,OTHER PREMIUM,BLENDED,SO OLIVE,SO OLIVE OIL 1 LTR 16 PCS,1.000,PET,16.000,16.000,,0.0,15.0,15.0
3,FG0000328,SANO,PREMIUM,POMACE,JIVO POMACE,SANO POMACE OLIVE 200 LTR 1 PCS,200.000,DRUM,200.000,1.000,,15.0,0.0,15.0
99,FG0000379,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,1.000,PET,20.000,20.000,,15.0,0.0,15.0
107,FG0000012,JIVO,COMMODITY,MUSTARD,MUSTARD PK,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5.000,PET,20.000,4.000,,12.0,0.0,12.0
119,FG0000029,JIVO,COMMODITY,MUSTARD,MUSTARD PK,MUSTARD PAKKI GHANI 2 LTR 10 PCS,2.000,PET,20.000,10.000,,12.0,0.0,12.0
22,FG0000021,JIVO,PREMIUM,CANOLA,JIVO CANOLA,REFINED OIL 1 LTR POUCH 12 PCS,1.000,POUCH,12.000,12.000,,3.0,8.0,11.0
41,FG0000074,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,5.000,TIN,20.000,4.000,,5.0,5.0,10.0
134,FG0000132,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAN,RICE BRAN OIL 15 LTR,15.000,PET,15.000,1.000,,10.0,0.0,10.0
40,FG0000189,ZANO,PREMIUM,POMACE,ZANO POMACE,ZANO POMACE OLIVE 1 LTR 16 PCS,1.000,PET,16.000,16.000,,10.0,0.0,10.0
133,FG0000445,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAN,RICE BRAN OIL 15 KGS,16.484,TIN,16.484,1.000,,10.0,0.0,10.0
122,FG0000114,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,0.0,8.0,8.0
78,FG0000158,JIVO,COMMODITY,COTTONSEED,COTTONSEED,REFINED COTTON SEED OIL 15 LTR,15.000,PET,15.000,1.000,,8.0,0.0,8.0
8,FG0000367,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE OIL 15 L,15.000,PET,15.000,1.000,,8.0,0.0,8.0
33,FG0000116,JIVO,PREMIUM,COCONUT,EV COCONUT,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,1.000,PET,16.000,16.000,,1.0,5.0,6.0
124,FG0000372,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 3 LTR TIN 6 PCS,3.000,TIN,18.000,6.000,,0.0,6.0,6.0
106,FG0000026,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 15 LTR,15.000,PET,15.000,1.000,,5.0,0.0,5.0
69,FG0000035,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 500 MLS 24 PCS,0.500,PET,12.000,24.000,,0.0,5.0,5.0
