code,sku,head,category,pack_type,plan_kl,litres,real_mt,litres_per_piece,lpc_source,pieces,sheet_per_ltrs,sheet_box_lpc,sheet_pcs_lpc,hand_filled,flags
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,COMMODITY,MUSTARD,PET,690.0,690000.0,627.9,1.0,ltr in name,690000,1.0,1.0,,,
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,OTHER PREMIUM,GROUNDNUT,PET,385.0,385000.0,350.35,1.0,ltr in name,385000,1.0,1.0,,,
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COMMODITY,SUNFLOWER,PET,310.0,310000.0,282.1,1.0,ltr in name,310000,1.0,1.0,,,
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,COMMODITY,MUSTARD,PET,230.0,230000.0,209.3,5.0,ltr in name,46000,5.0,5.0,,,
FG0000004,COLD PRESS 5 LTR 4 PCS,PREMIUM,CANOLA,PET,225.0,225000.0,204.75,5.0,ltr in name,45000,5.0,5.0,,,
FG0000250,SOYABEAN OIL 15 KGS,COMMODITY,SOYABEAN,TIN,200.0,200000.0,182.0,16.4835,15kg @910g/L,12133,16.484,16.484,,,
FG0000028,POMACE OLIVE 1 LTR 16 PCS,PREMIUM,POMACE,PET,160.0,160000.0,145.6,1.0,ltr in name,160000,1.0,1.0,,,
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,POMACE,TIN,155.0,155000.0,141.05,5.0,ltr in name,31000,5.0,5.0,,,
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,COMMODITY,SOYABEAN,POUCH,150.0,150000.0,136.5,1.0,ltr in name,150000,1.0,1.0,,,
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,PET,115.0,115000.0,104.65,1.0,ltr in name,115000,1.0,1.0,,,
FG0000032,COLD PRESS 1 LTR 20 PCS,PREMIUM,CANOLA,PET,110.0,110000.0,100.1,1.0,ltr in name,110000,1.0,1.0,,,
