code,sku,week,litres
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1,55000.0
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,2,55000.0
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,3,55000.0
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,4,55000.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1,8750.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,2,8750.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,3,8750.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,4,8750.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1,2500.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,2,2500.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,3,2500.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,4,2500.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,1,7500.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,2,7500.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,3,7500.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,4,7500.0
FG0000004,COLD PRESS 5 LTR 4 PCS,1,37500.0
FG0000004,COLD PRESS 5 LTR 4 PCS,2,37500.0
FG0000004,COLD PRESS 5 LTR 4 PCS,3,37500.0
FG0000004,COLD PRESS 5 LTR 4 PCS,4,37500.0
FG0000250,SOYABEAN OIL 15 KGS,1,50000.0
FG0000250,SOYABEAN OIL 15 KGS,2,50000.0
FG0000250,SOYABEAN OIL 15 KGS,3,50000.0
FG0000250,SOYABEAN OIL 15 KGS,4,50000.0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,1,20000.0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,2,20000.0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,3,20000.0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,4,20000.0
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,1,21250.0
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,2,21250.0
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,3,21250.0
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,4,21250.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,1,25000.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,2,25000.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,3,25000.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,4,25000.0
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,1,25000.0
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,2,25000.0
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,3,25000.0
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,4,25000.0
FG0000032,COLD PRESS 1 LTR 20 PCS,1,8750.0
FG0000032,COLD PRESS 1 LTR 20 PCS,2,8750.0
FG0000032,COLD PRESS 1 LTR 20 PCS,3,8750.0
FG0000032,COLD PRESS 1 LTR 20 PCS,4,8750.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,1,2500.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,2,2500.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,3,2500.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,4,2500.0
