item,litres,value,realise,u_type,sub_group,sku
RM0000030 — REFINED COTTON OIL,1.0,2228.57,2228.57,,COTTON SEED,
FG0000155 — EXTRA VIRGIN 2 LTR 10 PCS HANDLE,242.0,281220.16,1162.066776859504,PREMIUM,OLIVE,2 LTR
RM0000039 — A-2 COW GHEE,0.2699999999999996,309.6399999999994,1146.8148148148146,,GHEE,
FG0000082 — DESI GHEE A2 500 MLS 16 PCS,2.5,2721.09,1088.4360000000001,PREMIUM,GHEE,500 MLS
FG0000397 — JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),384.0,392632.32000000007,1022.4800000000001,PREMIUM,OLIVE,500 MLS
FG0000396 — JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),1056.0,885023.0399999998,838.0899999999998,PREMIUM,OLIVE,1 LTR
RM0000006 — DESI GHEE,0.10999999999999943,65.67000000000189,597.0000000000202,,GHEE,
FG0000161 — EXTRA VIRGIN OLIVE 500 MLS 24 PCS,1015.0,531158.2300000001,523.3086009852218,PREMIUM,OLIVE,500 MLS
FG0000398 — JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),1232.0,629847.68,511.24000000000007,PREMIUM,OLIVE,1 LTR
FG0000319 — KIRPA DESI GHEE 500 MLS 16 PCS,1018.0,477860.61,469.41120825147345,PREMIUM,GHEE,500 MLS
FG0000223 — JIVO DESI GHEE 1 LTR 16 PCS,118.0,51942.369999999995,440.1895762711864,PREMIUM,GHEE,1 LTR
FG0000187 — ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,2032.0,876411.2,431.3047244094488,PREMIUM,OLIVE,1 LTR
FG0000074 — EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,13210.0,5656718.029999999,428.2148395155185,PREMIUM,OLIVE,5 LTR
FG0000083 — DESI GHEE A2 1 LTR 9 PCS,23.0,8905.359999999997,387.1895652173912,PREMIUM,GHEE,1 LTR
FG0000394 — JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),656.0,247403.84,377.14,PREMIUM,OLIVE,1 LTR
FG0000112 — EXTRA VIRGIN OLIVE 250 MLS 4 PCS,850.25,314550.4,369.95048515142605,PREMIUM,OLIVE,250 MLS
FG0000395 — JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),3424.0,1249760.0,365.0,PREMIUM,COCONUT,1 LTR
FG0000349 — EXTRA VIRGIN OLIVE 200 MLS 70 PCS,703.9999999999999,246400.0,350.00000000000006,PREMIUM,OLIVE,200 MLS
FG0000064 — EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,28470.0,9690248.950000003,340.3670161573587,PREMIUM,OLIVE,2 LTR
FG0000009 — EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,54890.0,18455388.059999995,336.2249601020221,PREMIUM,OLIVE,5 LTR
FG0000039 — EXTRA LIGHT OLIVE 500 MLS 24 PCS,658.0,219421.41000000003,333.4671884498481,PREMIUM,OLIVE,500 MLS
FG0000042 — EXTRA VIRGIN OLIVE 1 LTR 16 PCS,51899.0,16637602.149999997,320.57654579086295,PREMIUM,OLIVE,1 LTR
FG0000008 — POMACE OLIVE 5 LTR TIN 4 PCS,254225.0,80397202.13000005,316.24428018487583,PREMIUM,OLIVE,5 LTR
