date,warehouse,sap_onhand_l,standing_l,standing_unmatched_l,standing_intercompany_l,physical_l,working_ceiling_l,pallet_absolute_ceiling_l,pct_of_working,pct_of_pallet_absolute,exceeds_absolute_pallet_capacity,implied_l_per_pallet,ceiling_basis,free_vs_working,free_vs_pallet_absolute
2026-07-01,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-01,BH-PF,142028,24364,1500,0,166393,377000,421000,44.1,39.5,no,316,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,210607,254607
2026-07-02,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-02,BH-PF,179319,27174,1500,0,206493,377000,421000,54.8,49.0,no,392,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,170507,214507
2026-07-03,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-03,BH-PF,182028,27497,1500,0,209525,377000,421000,55.6,49.8,no,398,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,167475,211475
2026-07-04,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-04,BH-PF,187054,31193,1500,0,218247,377000,421000,57.9,51.8,no,415,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,158753,202753
2026-07-05,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-05,BH-PF,187054,31193,1500,0,218247,377000,421000,57.9,51.8,no,415,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,158753,202753
2026-07-06,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-06,BH-PF,193538,26805,1500,0,220343,377000,421000,58.4,52.3,no,419,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,156657,200657
2026-07-07,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
2026-07-07,BH-PF,190096,34830,17440,15920,224926,377000,421000,59.7,53.4,no,427,BOOK-FITTED: 89.6% haircut of 421T AND max observed SAP-OnHand 376.3T,152074,196074
2026-07-08,BH-BT,0,0,0,0,0,450000,502400,0.0,0.0,no,0,physical: Daman pallet sheet 628x0.8T,450000,502400
