item_code,name,claimed_august_required_l,claimed_sap_visible_l,claimed_still_short_l,claimed_cover_pct,ACTUAL_aug_purchased_l_T20,ACTUAL_aug_made_l_T59,ACTUAL_aug_issued_to_prodn_l_T60,aug_supply_ignored_by_claim_l,is_made_item_made_share,feedstocks_actually_issued_aug,feedstock_onhand_now_l,feedstock_in_the_17_lines,verdict,evidence
RM0000003,MUSTARD LOOSE OIL,1245959.2,686129.2,440438.9,64.7,672669.7,54767.6,606002.8,660770.5,yes,"RM0000025 SOYABEAN REFINED LOOSE OIL 46,500L","RM0000025=327,817",RM0000025=YES,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,"Aug purchases 672,670 L and production 54,768 L occurred inside the requirement window and were not credited"
RM0000001,LOOSE REFINED OLIVE OIL,675486.5,54151.7,621334.8,8.0,0.0,408154.7,470794.7,878949.3,yes,"RM0000001 LOOSE REFINED OLIVE OIL 151,000L; RM0000052 LOOSE REFINED OLIVE OIL (DARK COLOUR) 141,000L; RM0000025 SOYABEAN REFINED LOOSE OIL 90,000L; RM0000013 POMACE OLIVE LOOSE OIL IMPORTED 20,000L","RM0000001=54,086; RM0000052=153,993; RM0000025=327,817; RM0000013=27,222",RM0000001=YES; RM0000052=NO - SILENTLY OMITTED; RM0000025=YES; RM0000013=YES,REFUTED - headline calls this near-zero with no inbound; it is a MADE item with live August production the supply side never counted,"OINM T59 receipt-from-production Aug = 408,155 L; T60 issue-to-production Aug = 470,795 L; sap_visible_l is defined as stock + POR1 open PO only and excludes production by construction"
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,620254.9,0.0,620254.9,0.0,0.0,0.0,0.0,0.0,no,-,-,-,"REFUTED - crude feeds RM0000015 not RM0000002; the ~93% yield to RM0000002 was inferred from 620255/578168, never from a BOM",WOR1: last crude-consuming production orders Jun-Jul 2026 all made RM0000015. Aug WOR1 for RM0000002 issued ZERO RM0000016. OPOR/POR1: all RM0000016 lines DocStatus=C OpenQty=0. OITW OnHand=0 (both confirmed)
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,578168.4,9423.8,568744.5,1.6,0.0,308267.2,322082.0,630349.2,yes,"RM0000025 SOYABEAN REFINED LOOSE OIL 217,330L; RM0000015 LOOSE OIL COLD PRESS/REFINED 73,300L; RM0000007 RICE BRAN REFINED OIL 12,500L; RM0000066 PEANUT OIL 2,050L","RM0000025=327,817; RM0000015=35,295; RM0000007=67,331; RM0000066=230,875",RM0000025=YES; RM0000015=YES; RM0000007=YES; RM0000066=YES,REFUTED - headline calls this near-zero with no inbound; it is a MADE item with live August production the supply side never counted,"OINM T59 receipt-from-production Aug = 308,267 L; T60 issue-to-production Aug = 322,082 L; sap_visible_l is defined as stock + POR1 open PO only and excludes production by construction"
RM0000025,SOYABEAN REFINED LOOSE OIL,550348.9,854553.1,0.0,100,1003570.4,58240.9,895734.9,953975.8,yes,"RM0000025 SOYABEAN REFINED LOOSE OIL 50,000L","RM0000025=327,817",RM0000025=YES,OK - reported as covered,"Aug purchases 1,003,570 L, made 58,241 L"
RM0000011,GROUNDNUT LOOSE OIL,526259.7,35271.1,490988.6,6.7,0.0,489825.0,470876.0,960701.0,yes,"RM0000066 PEANUT OIL 218,845L; RM0000025 SOYABEAN REFINED LOOSE OIL 160,975L; RM0000001 LOOSE REFINED OLIVE OIL 51,000L; RM0000007 RICE BRAN REFINED OIL 39,370L; RM0000011 GROUNDNUT LOOSE OIL 18,500L","RM0000066=230,875; RM0000025=327,817; RM0000001=54,086; RM0000007=67,331; RM0000011=35,271",RM0000066=YES; RM0000025=YES; RM0000001=YES; RM0000007=YES; RM0000011=YES,REFUTED - headline calls this near-zero with no inbound; it is a MADE item with live August production the supply side never counted,"OINM T59 receipt-from-production Aug = 489,825 L; T60 issue-to-production Aug = 470,876 L; sap_visible_l is defined as stock + POR1 open PO only and excludes production by construction"
RM0000009,REFINED SUNFLOWER OIL,420000.0,14294.4,405705.6,3.4,0.0,225642.0,246260.0,471902.0,yes,"RM0000025 SOYABEAN REFINED LOOSE OIL 202,150L; RM0000007 RICE BRAN REFINED OIL 21,370L","RM0000025=327,817; RM0000007=67,331",RM0000025=YES; RM0000007=YES,REFUTED - headline calls this near-zero with no inbound; it is a MADE item with live August production the supply side never counted,"OINM T59 receipt-from-production Aug = 225,642 L; T60 issue-to-production Aug = 246,260 L; sap_visible_l is defined as stock + POR1 open PO only and excludes production by construction"
RM0000007,RICE BRAN REFINED OIL,67142.8,72099.9,0.0,100,85736.2,3421.0,84292.0,87713.0,no,-,-,-,OK - reported as covered,"Aug purchases 85,736 L, made 3,421 L"
RM0000021,LOOSE OIL GOLD,63000.0,8222.0,54778.0,13.1,0.0,34608.0,27560.0,62168.0,yes,"RM0000025 SOYABEAN REFINED LOOSE OIL 32,940L","RM0000025=327,817",RM0000025=YES,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,"Aug purchases 0 L and production 34,608 L occurred inside the requirement window and were not credited"
RM0000040,SO OLIVE OIL,32000.0,9036.0,22964.0,28.2,0.0,61.0,100.0,161.0,yes,-,-,-,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,Aug purchases 0 L and production 61 L occurred inside the requirement window and were not credited
RM0000054,SEASAME OIL,25000.0,3165.7,21834.3,12.7,10868.1,5.0,10140.0,10145.0,n/a,-,-,-,OVERSTATED - whole-month requirement measured against a 29-Aug residual stock snapshot,"Aug purchases 10,868 L and production 5 L occurred inside the requirement window and were not credited"
