code,name,group,oih,sold,msl,fg,wip,required_pcs,litres_per_pc,required_litres
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,MUSTARD,431901.0,155120.0,54292.0,4533.0,0.0,481660.0,1.0,481660.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,SUNFLOWER,215260.0,172518.0,60381.299999999996,24415.0,0.0,251226.3,1.0,251226.3
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,GROUNDNUT,177785.0,206377.0,72231.95,9513.0,0.0,240503.95,1.0,240503.95
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,MUSTARD,31540.0,14855.0,5199.25,9518.0,0.0,27221.25,5.0,136106.25
FG0000004,COLD PRESS 5 LTR 4 PCS,CANOLA,11900.0,33826.0,11839.099999999999,5537.0,0.0,18202.1,5.0,91010.5
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,14000.0,15943.0,5580.049999999999,2608.0,0.0,16972.05,5.01,85029.9705
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,GROUNDNUT,11780.0,11175.0,3911.2499999999995,2012.0,0.0,13679.25,5.0,68396.25
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,MUSTARD,2600.0,156232.0,54681.2,2409.0,0.0,54872.2,1.0,54872.2
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,MUSTARD,47000.0,39207.0,13722.449999999999,6555.0,0.0,54167.45,1.0,54167.45
FG0000028,POMACE OLIVE 1 LTR 16 PCS,OLIVE,68481.0,61994.0,21697.899999999998,37325.0,0.0,52853.899999999994,1.0022,52970.17857999999
FG0000149,JIVO GOLD 1 LTR 20 PCS,BLENDED,50020.0,1076.0,376.59999999999997,14.0,0.0,50382.6,1.0,50382.6
FG0000444,SOYABEAN OIL 12 KGS (B),SOYABEAN,1293.0,6860.0,2401.0,338.0,0.0,3356.0,13.19,44265.64
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,SUNFLOWER,9020.0,17466.0,6113.099999999999,6557.0,0.0,8576.099999999999,5.0,42880.49999999999
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,MUSTARD,19920.0,50160.0,17556.0,0.0,0.0,37476.0,0.9545,35770.842000000004
FG0000032,COLD PRESS 1 LTR 20 PCS,CANOLA,55149.0,26166.0,9158.099999999999,29076.0,0.0,35231.1,1.0,35231.1
FG0000128,JIVO GOLD 5 LTR 4 PCS,BLENDED,5040.0,593.0,207.54999999999998,47.0,0.0,5200.55,5.0,26002.75
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,OLIVE,12500.0,2508.0,877.8,1759.0,0.0,11618.8,2.0,23237.6
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,MUSTARD,3888.0,1768.0,618.8,4.0,0.0,4502.8,5.0,22514.0
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,GROUNDNUT,10000.0,2570.0,899.4999999999999,0.0,0.0,10899.5,2.0,21799.0
FG0000316,SOYABEAN OIL 13 KGS (B),SOYABEAN,0.0,4611.0,1613.85,156.0,0.0,1457.85,14.29,20832.676499999998
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,GROUNDNUT,91420.0,32270.0,11294.5,2890.0,0.0,99824.5,0.2,19964.9
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,MUSTARD,19770.0,20686.0,7240.099999999999,7091.0,0.0,19919.1,1.0,19919.1
FG0000324,SESAME OIL 1 LTR 20 PCS,SESAME,20100.0,3667.0,1283.4499999999998,1597.0,0.0,19786.45,1.0,19786.45
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,MUSTARD,16200.0,6801.0,2380.35,0.0,0.0,18580.35,1.0,18580.35
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,SOYABEAN,20172.0,70439.0,24653.649999999998,21360.0,0.0,23465.649999999994,0.769,18045.084849999996
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN,50000.0,15426.0,5399.099999999999,38419.0,0.0,16980.1,1.0,16980.1
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,BLENDED,3000.0,1372.0,480.2,128.0,0.0,3352.2,5.0,16761.0
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,BLENDED,15000.0,7167.0,2508.45,776.0,0.0,16732.45,1.0,16732.45
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,OLIVE,10000.0,19962.0,6986.7,1230.0,0.0,15756.7,1.0025,15796.09175
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,CANOLA,0.0,46826.0,16389.1,819.0,0.0,15570.099999999999,1.0,15570.099999999999
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,SOYABEAN,15000.0,271.0,94.85,76.0,0.0,15018.85,1.0,15018.85
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,RICE BRAN,4020.0,5995.0,2098.25,3360.0,0.0,2758.25,5.0,13791.25
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,SOYABEAN,8876.0,82653.0,28928.55,21500.0,0.0,16304.550000000003,0.824,13434.949200000001
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,RICE BRAN,15800.0,21450.0,7507.499999999999,10341.0,0.0,12966.5,1.0,12966.5
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,4000.0,2806.0,982.0999999999999,2460.0,0.0,2522.1000000000004,5.01,12635.721000000001
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,OLIVE,32983.0,53090.0,18581.5,39217.0,0.0,12347.5,1.0,12347.5
FG0000250,SOYABEAN OIL 15 KGS,SOYABEAN,0.0,2000.0,700.0,0.0,0.0,700.0,16.4835,11538.449999999999
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,OLIVE,22821.0,15833.0,5541.549999999999,17764.0,0.0,10598.55,1.002,10619.747099999999
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,OLIVE,4000.0,4034.0,1411.8999999999999,260.0,0.0,5151.9,2.004,10324.407599999999
FG0000367,SANO POMACE OLIVE OIL 15 L,OLIVE,590.0,218.0,76.3,17.0,0.0,649.3,15.03,9758.979
FG0000015,REFINED OIL 15 LTR,CANOLA,0.0,3857.0,1349.9499999999998,730.0,0.0,619.9499999999998,15.0,9299.249999999996
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,CANOLA,8420.0,656.0,229.6,60.0,0.0,8589.6,1.0,8589.6
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,SOYABEAN,3200.0,1349.0,472.15,2057.0,0.0,1615.15,5.0,8075.75
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,CANOLA,2500.0,8938.0,3128.2999999999997,1660.0,0.0,3968.2999999999993,2.0,7936.5999999999985
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,BLENDED,0.0,33261.0,11641.349999999999,3958.0,0.0,7683.3499999999985,1.0,7683.3499999999985
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,OLIVE,0.0,100.0,35.0,0.0,0.0,35.0,200.0,7000.0
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,SUNFLOWER,5000.0,5201.0,1820.35,0.0,0.0,6820.35,1.0,6820.35
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,OLIVE,3020.0,2142.0,749.6999999999999,2476.0,0.0,1293.6999999999998,5.0,6468.499999999999
FG0000035,COLD PRESS 500 MLS 24 PCS,CANOLA,10000.0,9600.0,3360.0,984.0,0.0,12376.0,0.5,6188.0
FG0000372,POMACE OLIVE 3 LTR TIN 2 PCS,OLIVE,2000.0,-28.0,0.0,32.0,0.0,1968.0,3.03,5963.04
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,COCONUT,5002.0,-112.0,0.0,1.0,0.0,5001.0,1.0,5001.0
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,MUSTARD,5000.0,-94.0,0.0,95.0,0.0,4905.0,1.0,4905.0
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,MUSTARD,6650.0,2650.0,927.4999999999999,5270.0,0.0,2307.5,2.0,4615.0
FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,MUSTARD,13660.0,25200.0,8820.0,0.0,0.0,22480.0,0.2,4496.0
FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,CANOLA,0.0,2860.0,1000.9999999999999,0.0,0.0,1000.9999999999999,4.0,4003.9999999999995
FG0000362,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,CANOLA,2000.0,0.0,0.0,30.0,0.0,1970.0,2.0,3940.0
FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,0.0,1643.0,575.05,0.0,0.0,575.05,6.0022,3451.56511
FG0000169,REFINED COTTON SEED OIL 13 KGS,COTTON SEED,0.0,602.0,210.7,0.0,0.0,210.7,14.29,3010.903
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,OLIVE,1000.0,969.0,339.15,772.0,0.0,567.1500000000001,5.011,2841.9886500000007
FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,CANOLA,0.0,2795.0,978.2499999999999,42.0,0.0,936.2499999999999,3.0,2808.7499999999995
FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,BLENDED,688.0,0.0,0.0,128.0,0.0,560.0,5.0,2800.0
FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS,OLIVE,1000.0,-83.0,0.0,79.0,0.0,921.0,3.0,2763.0
FG0000178,MUSTARD KACHI GHANI 15 KGS,MUSTARD,200.0,1166.0,408.09999999999997,442.0,0.0,166.0999999999999,16.48,2737.3279999999986
FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,GROUNDNUT,2152.0,9600.0,3360.0,576.0,0.0,4936.0,0.5,2468.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,OLIVE,11.0,35.0,12.25,11.0,0.0,12.25,200.44,2455.39
FG0000109,COLD PRESS SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN,2400.0,77.0,26.95,0.0,0.0,2426.95,1.0,2426.95
FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,CANOLA,2.0,1923.0,673.05,85.0,0.0,590.05,4.0,2360.2
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),MUSTARD,0.0,351.0,122.85,5.0,0.0,117.85,20.0,2357.0
FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,BLENDED,940.0,0.0,0.0,492.0,0.0,448.0,5.0,2240.0
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,OLIVE,0.0,10208.0,3572.7999999999997,1677.0,0.0,1895.7999999999997,1.0,1895.7999999999997
FG0000152,SANO OLIVE CLASSIC 5 LTR TIN 4 PCS,OLIVE,0.0,1080.0,378.0,0.0,0.0,378.0,5.0,1890.0
FG0000383,REFINED OIL 13 KG,CANOLA,0.0,333.0,116.55,1.0,0.0,115.55,14.29,1651.2095
FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,BLENDED,2420.0,0.0,0.0,839.0,0.0,1581.0,1.0,1581.0
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),MUSTARD,0.0,293.0,102.55,24.0,0.0,78.55,20.0,1571.0
FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,CANOLA,0.0,875.0,306.25,0.0,0.0,306.25,5.0,1531.25
FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,0.0,1542.0,539.6999999999999,292.0,0.0,247.69999999999993,6.0,1486.1999999999996
FG0000373,EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,CANOLA,0.0,1152.0,403.2,0.0,0.0,403.2,3.03,1221.696
FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,SUNFLOWER,0.0,15.0,5.25,0.0,0.0,5.25,200.0,1050.0
FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,BLENDED,2000.0,0.0,0.0,982.0,0.0,1018.0,1.0,1018.0
FG0000016,REFINED OIL 2 LTR,CANOLA,0.0,200.0,70.0,24.0,0.0,46.0,20.0,920.0
FG0000013,REFINED OIL 1000 MLS,CANOLA,0.0,130.0,45.5,9.0,0.0,36.5,20.0,730.0
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,OLIVE,1000.0,-20.0,0.0,660.0,0.0,340.0,2.0,680.0
FG0000020,REFINED OIL 5 LTR,CANOLA,0.0,219.0,76.64999999999999,46.0,0.0,30.64999999999999,20.0,612.9999999999998
FG0000133,COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE,SUNFLOWER,300.0,0.0,0.0,39.0,0.0,261.0,2.0,522.0
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),COCONUT,0.0,87.0,30.45,0.0,0.0,30.45,16.0,487.2
FG0000026,MUSTARD KACCHI GHANI 15 LTR,MUSTARD,0.0,64.0,22.4,0.0,0.0,22.4,15.0,336.0
FG0000414,COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS,CANOLA,0.0,140.0,49.0,0.0,0.0,49.0,5.0,245.0
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,0.0,29.0,10.149999999999999,0.0,0.0,10.149999999999999,16.0,162.39999999999998
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,0.0,23.0,8.049999999999999,0.0,0.0,8.049999999999999,16.0352,129.08335999999997
FG0000191,SOYABEAN OIL 15 LTR,SOYABEAN,0.0,19.0,6.6499999999999995,0.0,0.0,6.6499999999999995,15.0,99.74999999999999
FG0000170,SOYABEAN OIL 13 KGS,SOYABEAN,0.0,14.0,4.8999999999999995,0.0,0.0,4.8999999999999995,14.29,70.02099999999999
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,0.0,20.0,7.0,3.0,0.0,4.0,16.0352,64.1408
FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),MUSTARD,0.0,116.0,40.599999999999994,12.0,0.0,28.599999999999994,2.0,57.19999999999999
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),OLIVE,0.0,15.0,5.25,1.0,0.0,4.25,12.0264,51.1122
FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,OLIVE,0.0,305.0,106.75,7.0,0.0,99.75,0.50125,49.9996875
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),OLIVE,0.0,216.0,75.6,29.0,0.0,46.599999999999994,1.0,46.599999999999994
FG0000085,COLD PRESS SOYABEAN 5 LTR 4 PCS,SOYABEAN,0.0,25.0,8.75,0.0,0.0,8.75,5.0,43.75
FG0000223,JIVO DESI GHEE 1 LTR 16 PCS,GHEE,0.0,118.0,41.3,0.0,0.0,41.3,1.0,41.3
FG0000086,COLD PRESS SOYABEAN 1 LTR 20 PCS,SOYABEAN,0.0,105.0,36.75,0.0,0.0,36.75,1.0,36.75
FG0000176,COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS,CANOLA,0.0,23.0,8.049999999999999,0.0,0.0,8.049999999999999,4.0,32.199999999999996
