code,name,kind,need,on_hand,on_order,cover_pct,short,skus_blocked,litres_at_risk,value_at_risk,lead_days,order_by,status
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,OIL,581577,1130,0,0.2,580447,12,545000,86887711,11,2026-08-21,LATE
PM0000397,LABEL 1 LTR GOLD FRONT,PACK,55000,10,0,0.0,54990,1,55000,8838178,6,2026-08-26,LATE
PM0000396,LABEL 1 LTR GOLD BACK,PACK,55000,15,0,0.0,54985,1,55000,8838178,6,2026-08-26,LATE
PM0000260,TIN 5 LTR SO OLIVE PRINTED,PACK,3400,2,0,0.1,3398,1,17000,2888964,6,2026-08-26,LATE
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,PACK,4000,0,0,0.0,4000,1,8000,2004159,6,2026-08-26,LATE
PM0000362,LABEL 15 LTR REFINED RICE BRAN OIL,PACK,667,0,0,0.0,667,1,10000,1483300,6,2026-08-26,LATE
PM0000127,LABEL 500 MLS COLD PRESS BACK,PACK,10000,0,0,0.0,10000,1,5000,850000,6,2026-08-26,LATE
PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,PACK,2500,0,0,0.0,2500,1,500,74165,6,2026-08-26,LATE
PM0000413,LABEL 200 MLS EXTRA VIRGIN COCONUT BACK,PACK,2500,0,0,0.0,2500,1,500,74165,6,2026-08-26,LATE
PM0000855,PET BOTTLE 10 ML,PACK,30000,0,0,0.0,30000,1,300,44499,6,2026-08-26,LATE
PM0000862,CAP 10 ML,PACK,30000,237,0,0.8,29763,1,300,44499,6,2026-08-26,LATE
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,OIL,624788,0,0,0.0,624788,0,0,0,11,2026-08-21,LATE
RM0000036,COCUNUT RAW MATERIAL GIRI,OIL,10500,0,0,0.0,10500,0,0,0,11,2026-08-21,LATE
RM0000003,MUSTARD LOOSE OIL,OIL,1372954,173688,413597,42.8,785669,20,1378000,207278394,11,2026-08-21,LATE
RM0000001,LOOSE REFINED OLIVE OIL,OIL,680408,10687,66,1.6,669655,22,679300,189943483,11,2026-08-21,LATE
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PACK,732000,115872,84128,27.3,532000,8,732000,150351900,6,2026-08-26,LATE
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,PACK,1105331,485000,145000,57.0,475331,9,996500,148788295,6,2026-08-26,LATE
PM0000003,CARTON 1 LTR POMACE 16 PCS,PACK,42750,3044,28004,72.6,11702,7,684000,140220982,6,2026-08-26,LATE
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,PACK,810000,57000,521000,71.4,232000,6,805000,134357533,6,2026-08-26,LATE
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,PACK,43142,15135,25616,94.5,2390,5,860000,128190169,6,2026-08-26,LATE
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,PACK,715000,384169,0,53.7,330831,2,715000,106825094,6,2026-08-26,LATE
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,PACK,715000,380088,0,53.2,334912,2,715000,106825094,6,2026-08-26,LATE
RM0000011,GROUNDNUT LOOSE OIL,OIL,531350,231079,113593,64.9,186678,5,531000,89740274,11,2026-08-21,LATE
PM0000194,PET BOTTLE 1 LTR 40 GMS,PACK,565000,60734,63364,22.0,440902,7,565000,86510459,6,2026-08-26,LATE
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,PACK,28250,11267,13990,89.4,2993,7,565000,86510459,6,2026-08-26,LATE
RM0000009,REFINED SUNFLOWER OIL,OIL,475005,8725,0,1.8,466280,6,480000,71075894,11,2026-08-21,LATE
PM0000082,CARTON 5 LTR OLIVE 4 PCS,PACK,11050,3371,1373,42.9,6306,4,221000,66277239,6,2026-08-26,LATE
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,PACK,385000,80817,201500,73.3,102683,1,385000,64969669,6,2026-08-26,LATE
PM0000426,LABEL 1 LTR GROUNDNUT BACK,PACK,385000,80000,201500,73.1,103500,1,385000,64969669,6,2026-08-26,LATE
PM0000076,TIN 15 LTR,PACK,25473,6473,11615,71.0,7385,9,401000,57593080,6,2026-08-26,LATE
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,PACK,335000,198156,0,59.2,136844,2,335000,51124159,6,2026-08-26,LATE
PM0000231,LABEL 1 LTR SUNFLOWER BACK,PACK,335000,188865,0,56.4,146135,2,335000,51124159,6,2026-08-26,LATE
PM0000629,CARTON TIN TOP,PACK,22929,13716,0,59.8,9213,8,366000,50683205,6,2026-08-26,LATE
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PACK,65600,45169,0,68.9,20431,5,328000,49210636,6,2026-08-26,LATE
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,PACK,31000,3514,23816,88.2,3670,1,155000,49017863,6,2026-08-26,LATE
PM0000107,LABEL 1 LTR POMACE BACK,PACK,160000,119761,0,74.9,40239,1,160000,45036423,6,2026-08-26,LATE
PM0000108,LABEL 1 LTR POMACE FRONT,PACK,160000,125168,0,78.2,34832,1,160000,45036423,6,2026-08-26,LATE
PM0000535,LABEL 5 LTR COLD PRESS BACK 994,PACK,45000,11696,0,26.0,33304,1,225000,35135927,6,2026-08-26,LATE
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,PACK,95000,1505,0,1.6,93495,3,110000,17355048,6,2026-08-26,LATE
PM0000517,PET BOTTLE 1 LTR 75 GMS,PACK,90000,1553,21000,25.1,67447,4,90000,17247057,6,2026-08-26,LATE
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,PACK,4500,1052,0,23.4,3448,4,90000,17247057,6,2026-08-26,LATE
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,PACK,115000,113233,0,98.5,1767,1,115000,16856113,6,2026-08-26,LATE
PM0000634,CARTON 1 LTR 20 PCS SANO,PACK,5750,1645,2418,70.7,1687,1,115000,16856113,6,2026-08-26,LATE
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,PACK,22000,20645,0,93.8,1355,1,110000,16290097,6,2026-08-26,LATE
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PACK,31500,907,20612,68.3,9981,5,63000,15986508,6,2026-08-26,LATE
RM0000021,LOOSE OIL GOLD,OIL,85000,8177,0,9.6,76823,2,85000,13208156,11,2026-08-21,LATE
PM0000008,CARTON 15 LTR 1 PCS,PACK,4000,2962,0,74.1,1038,1,60000,10542175,6,2026-08-26,LATE
PM0000073,MS COATED DRUM 200 LTR,PACK,230,67,100,72.6,63,3,46000,9834240,6,2026-08-26,LATE
PM0000346,LABEL 15 LTR SOYBEAN OIL,PACK,5000,3891,0,77.8,1109,1,75000,9708632,6,2026-08-26,LATE
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,PACK,55000,9004,0,16.4,45996,1,55000,9210598,6,2026-08-26,LATE
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,PACK,55000,8904,0,16.2,46096,1,55000,9210598,6,2026-08-26,LATE
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,PACK,62831,21560,0,34.3,41271,1,60000,8933341,6,2026-08-26,LATE
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,PACK,62831,22050,0,35.1,40781,1,60000,8933341,6,2026-08-26,LATE
PM0000245,CARTON 5 LTR 4 PCS PET,PACK,2807,2486,14,89.1,307,4,45000,7505624,6,2026-08-26,LATE
RM0000054,SEASAME OIL,OIL,25000,3040,0,12.2,21960,2,30000,7078110,11,2026-08-21,LATE
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,PACK,22000,8086,0,36.8,13914,1,22000,7052684,6,2026-08-26,LATE
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,PACK,22000,6812,0,31.0,15188,1,22000,7052684,6,2026-08-26,LATE
PM0000726,CAPS 1 & 2 LTR WHITE AND MINT-GREEN WITH LOGO SO,PACK,25000,10836,0,43.3,14164,1,25000,6336460,6,2026-08-26,LATE
PM0000057,PET BOTTLE 2 LTR 66 GMS,PACK,21000,8691,8400,81.4,3909,2,42000,6188737,6,2026-08-26,LATE
PM0000009,CARTON 2 LTR 10 PCS,PACK,2100,1830,0,87.1,270,2,42000,6188737,6,2026-08-26,LATE
RM0000040,SO OLIVE OIL,OIL,32000,1661,0,5.2,30339,2,32000,5434621,11,2026-08-21,LATE
PM0000036,LABEL 2 LTR KACHCHI GHANI FRONT,PACK,15000,12353,0,82.4,2647,1,30000,4436199,6,2026-08-26,LATE
PM0000035,LABEL 2 LTR KACHCHI GHANI BACK,PACK,15000,10000,0,66.7,5000,1,30000,4436199,6,2026-08-26,LATE
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PACK,132500,50460,33360,63.3,48680,3,26500,4394165,6,2026-08-26,LATE
PM0000286,LABEL 1 LTR SOYABEAN FRONT,PACK,35000,3080,0,8.8,31920,1,35000,4370430,6,2026-08-26,LATE
PM0000287,LABEL 1 LTR SOYABEAN BACK,PACK,35000,4301,0,12.3,30699,1,35000,4370430,6,2026-08-26,LATE
PM0000118,LABEL 3 LTR COLD PRESS FRONT,PACK,6667,6379,0,95.7,288,1,20000,3809503,6,2026-08-26,LATE
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,PACK,105000,25930,0,24.7,79070,1,21000,3570000,6,2026-08-26,LATE
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,PACK,105000,25930,0,24.7,79070,1,21000,3570000,6,2026-08-26,LATE
PM0000887,LABEL 200 LTR POMACE SANO,PACK,75,14,52,88.0,9,1,15000,3534240,6,2026-08-26,LATE
PM0000560,PET BOTTLE 2 LTR 80 GRM (GREEN HANDLE),PACK,3500,106,0,3.0,3394,2,7000,3253526,6,2026-08-26,LATE
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PACK,15000,938,0,6.3,14062,1,15000,2279224,6,2026-08-26,LATE
PM0000503,LABEL 1 LTR POMACE FRONT ZANO,PACK,10000,1723,0,17.2,8277,1,10000,2229542,6,2026-08-26,LATE
PM0000504,LABEL 1 LTR POMACE BACK ZANO,PACK,10000,5866,0,58.7,4134,1,10000,2229542,6,2026-08-26,LATE
PM0000868,LABEL 15 LTR SANO POMACE,PACK,533,67,0,12.6,466,1,8000,2066133,6,2026-08-26,LATE
PM0000350,LABEL 2 LTR POMACE HANDLE BOTTLE BACK,PACK,4000,300,0,7.5,3700,1,8000,2004159,6,2026-08-26,LATE
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,PACK,6000,1530,0,25.5,4470,1,12000,1752537,6,2026-08-26,LATE
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,PACK,6000,3725,0,62.1,2275,1,12000,1752537,6,2026-08-26,LATE
PM0000895,LABEL 15 KG REFINED RICE BRAN OIL,PACK,607,22,0,3.6,585,1,10000,1444446,6,2026-08-26,LATE
PM0000276,CARTON CHOCO 375 GMS CHOCO 4 PCS,PACK,1584,301,0,19.0,1283,3,9300,1379469,6,2026-08-26,LATE
RM0000030,REFINED COTTON OIL,OIL,8929,179,0,2.0,8750,1,8000,1066667,11,2026-08-21,LATE
RM0000037,COCONUT EXTRA VIRGIN OIL,OIL,7000,5609,0,80.1,1391,3,7000,1038310,11,2026-08-21,LATE
PM0000126,LABEL 500 MLS COLD PRESS FRONT,PACK,10000,8142,0,81.4,1858,1,5000,850000,6,2026-08-26,LATE
