date,sap_onhand_l,standing_invoiced_not_dispatched_l,of_which_intercompany_l,physical_l,pct_of_827k,pct_of_907k,free_vs_827k,free_vs_907k
2026-07-01,142028,24364,0,166393,20.1,18.3,660607,740607
2026-07-02,179319,27174,0,206493,25.0,22.8,620507,700507
2026-07-03,182028,27497,0,209525,25.3,23.1,617475,697475
2026-07-04,187069,31193,0,218262,26.4,24.1,608738,688738
2026-07-05,187069,31193,0,218262,26.4,24.1,608738,688738
2026-07-06,193553,26805,0,220358,26.6,24.3,606642,686642
2026-07-07,190111,34830,15920,224941,27.2,24.8,602059,682059
2026-07-08,170837,28451,15920,199288,24.1,22.0,627712,707712
2026-07-09,232020,31308,15920,263328,31.8,29.0,563672,643672
2026-07-10,193666,126816,83620,320481,38.8,35.3,506519,586519
2026-07-11,223332,70143,40860,293475,35.5,32.4,533525,613525
2026-07-12,223332,58782,40860,282114,34.1,31.1,544886,624886
2026-07-13,218747,91861,40860,310608,37.6,34.2,516392,596392
2026-07-14,185380,102852,53211,288233,34.9,31.8,538767,618767
2026-07-15,201005,125562,88647,326567,39.5,36.0,500433,580433
2026-07-16,185388,59228,41356,244616,29.6,27.0,582384,662384
2026-07-17,194879,71139,60976,266018,32.2,29.3,560982,640982
2026-07-18,249257,61601,60976,310857,37.6,34.3,516143,596143
2026-07-19,249257,61601,60976,310857,37.6,34.3,516143,596143
2026-07-20,253533,76046,60976,329579,39.9,36.3,497421,577421
2026-07-21,261755,70295,60976,332050,40.2,36.6,494950,574950
2026-07-22,376962,65973,45056,442935,53.6,48.8,384065,464065
2026-07-23,718063,168480,76256,886543,107.2,97.7,-59543,20457
2026-07-24,743399,134827,60256,878226,106.2,96.8,-51226,28774
2026-07-25,713524,126119,76136,839643,101.5,92.6,-12643,67357
2026-07-26,713524,126113,76136,839637,101.5,92.6,-12637,67363
2026-07-27,761917,144275,91296,906191,109.6,99.9,-79191,809
2026-07-28,767764,205333,117136,973096,117.7,107.3,-146096,-66096
2026-07-29,757590,168008,83856,925598,111.9,102.1,-98598,-18598
2026-07-30,722998,174616,85782,897614,108.5,99.0,-70614,9386
2026-07-31,461225,479575,140896,940800,113.8,103.7,-113800,-33800
2026-08-01,468960,390245,76476,859205,103.9,94.7,-32205,47795
2026-08-02,468960,390245,76476,859205,103.9,94.7,-32205,47795
2026-08-03,426127,408748,101380,834875,101.0,92.0,-7875,72125
2026-08-04,459731,359661,86660,819392,99.1,90.3,7608,87608
2026-08-05,478015,311609,69104,789624,95.5,87.1,37376,117376
2026-08-06,533727,290447,75104,824174,99.7,90.9,2826,82826
2026-08-07,539118,232448,47422,771567,93.3,85.1,55433,135433
2026-08-08,574437,208260,59726,782698,94.6,86.3,44302,124302
2026-08-09,594109,190076,52726,784185,94.8,86.5,42815,122815
2026-08-10,587513,185008,57466,772522,93.4,85.2,54478,134478
2026-08-11,585866,193994,66166,779860,94.3,86.0,47140,127140
2026-08-12,583028,233757,105282,816785,98.8,90.1,10215,90215
2026-08-13,631395,112860,26682,744254,90.0,82.1,82746,162746
2026-08-14,693520,73118,8556,766638,92.7,84.5,60362,140362
2026-08-15,693520,67648,8556,761168,92.0,83.9,65832,145832
2026-08-16,693520,67648,8556,761168,92.0,83.9,65832,145832
2026-08-17,652195,91466,36636,743661,89.9,82.0,83339,163339
2026-08-18,683900,119737,52636,803637,97.2,88.6,23363,103363
2026-08-19,664961,136926,67836,801886,97.0,88.4,25114,105114
2026-08-20,681790,139000,101895,820790,99.2,90.5,6210,86210
2026-08-21,676497,133098,93355,809594,97.9,89.3,17406,97406
2026-08-22,811247,173495,137666,984742,119.1,108.6,-157742,-77742
2026-08-23,811247,123885,88066,935132,113.1,103.1,-108132,-28132
2026-08-24,726186,156040,92426,882227,106.7,97.3,-55227,24773
2026-08-25,696656,173835,66076,870491,105.3,96.0,-43491,36509
2026-08-26,641865,199359,73712,841224,101.7,92.7,-14224,65776
2026-08-27,651153,184279,59280,835431,101.0,92.1,-8431,71569
2026-08-28,658933,184279,59280,843211,102.0,93.0,-16211,63789
2026-08-29,668646,200897,112982,869544,105.1,95.9,-42544,37456
2026-08-30,668644,128797,42880,797442,96.4,87.9,29558,109558
