date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2024-09-30,BH-PF,41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-09-30,OIL-FG-TOTAL (BH-BT+BH-PF),41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-09-30,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-09-30,BH-FG (overflow / secondary),257542,,0,257542,,,,,257542,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-09-30,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-01,BH-PF,41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-01,OIL-FG-TOTAL (BH-BT+BH-PF),41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-01,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-01,BH-FG (overflow / secondary),257547,,0,257547,,,,,257547,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-01,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-02,BH-PF,41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-02,OIL-FG-TOTAL (BH-BT+BH-PF),41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-02,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-02,BH-FG (overflow / secondary),257547,,0,257547,,,,,257547,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-02,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-03,BH-PF,41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-03,OIL-FG-TOTAL (BH-BT+BH-PF),41355,0,0,41355,377000,335645,11.0,0,41355,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-03,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-03,BH-FG (overflow / secondary),233293,,0,233293,,,,,233293,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-03,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2024-10-04,BH-PF,78825,0,0,78825,377000,298175,20.9,0,78825,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-04,OIL-FG-TOTAL (BH-BT+BH-PF),78825,0,0,78825,377000,298175,20.9,0,78825,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2024-10-04,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
