blend,component,per_litre,note
RM0000021,RM0000002,0.555564,CANOLA COLD PRESS LOOSE OIL
RM0000021,RM0000025,0.145437,SOYABEAN REFINED LOOSE OIL
RM0000021,RM0000007,0.136707,RICE BRAN REFINED OIL
RM0000021,RM0000066,0.102620,PEANUT OIL
RM0000021,RM0000015,0.038162,LOOSE OIL COLD PRESS/REFINED
RM0000021,RM0000030,0.009336,REFINED COTTON OIL
RM0000021,RM0000013,0.008669,POMACE OLIVE LOOSE OIL IMPORTED
RM0000021,RM0000011,0.003501,GROUNDNUT LOOSE OIL
RM0000040,RM0000015,0.645771,LOOSE OIL COLD PRESS/REFINED
RM0000040,RM0000002,0.320785,CANOLA COLD PRESS LOOSE OIL
RM0000040,RM0000013,0.033444,POMACE OLIVE LOOSE OIL IMPORTED
